event_id,event_time,machine_id,event_type,is_failure,downtime_hours,cost_yuan,technician,status,note
MNT-000067,2024-03-11 03:00:00,M09,预防性保养,False,2.12,425.6,外部供应商,已修复,更换备件
MNT-000068,2025-03-08 16:00:00,M07,液压故障,True,9.89,7469.78,维修工B,已修复,
MNT-000069,2025-09-20 22:00:00,M03,加热故障,True,23.46,2725.31,维修工D,已修复,建议大修
MNT-000070,2025-02-22 18:00:00,M21,预防性保养,False,2.44,1390.91,外部供应商,已修复,
MNT-000071,2025-11-21 00:00:00,M11,预防性保养,False,1.59,1409.43,维修工C,已修复,需要厂家支持
MNT-000072,2024-08-22 23:00:00,M17,换油,True,22.04,4684.39,维修工C,已修复,需要厂家支持
MNT-000073,2024-09-08 18:00:00,M23,换油,True,0.76,4198.35,维修工B,已修复,更换备件
MNT-000074,2025-06-17 09:00:00,M15,密封件更换,True,7.2,2764.8,维修工A,已修复,需要厂家支持
MNT-000075,2026-02-16 13:00:00,M05,液压故障,True,21.77,3406.13,维修工A,已修复,
MNT-000076,2025-07-27 02:00:00,M01,故障维修,True,8.68,1267.48,维修工B,已修复,
MNT-000077,2024-08-10 05:00:00,M08,换油,True,15.9,4889.32,维修工C,已修复,需要厂家支持
MNT-000078,2024-11-16 07:00:00,M27,锁模故障,True,8.87,5529.56,维修工D,已修复,
MNT-000079,2024-05-16 22:00:00,M23,滤芯更换,True,13.81,5668.43,维修工B,待跟进,建议大修
MNT-000080,2026-02-18 07:00:00,M16,液压故障,True,16.08,1811.38,维修工B,已修复,
MNT-000081,2026-03-13 10:00:00,M22,换油,True,16.32,6332.57,外部供应商,已修复,
MNT-000082,2025-12-05 18:00:00,M27,锁模故障,True,21.49,5639.56,维修工A,已修复,
MNT-000083,2025-08-28 03:00:00,M13,液压故障,True,22.34,1554.16,维修工D,已修复,
MNT-000084,2025-07-27 08:00:00,M13,密封件更换,True,16.07,7190.05,维修工D,已修复,需要厂家支持
MNT-000085,2026-01-02 22:00:00,M01,换油,True,20.43,7963.07,维修工B,已修复,需要厂家支持
MNT-000086,2024-06-24 14:00:00,M24,滤芯更换,True,0.66,1113.47,外部供应商,已修复,
MNT-000087,2025-01-07 10:00:00,M22,换油,True,8.75,4733.11,维修工D,待跟进,
MNT-000088,2024-12-09 03:00:00,M27,故障维修,True,19.61,7379.94,外部供应商,已修复,需要厂家支持
MNT-000089,2024-04-23 20:00:00,M08,换油,True,17.97,2831.85,维修工C,已修复,更换备件
MNT-000090,2026-02-05 04:00:00,M18,滤芯更换,True,23.66,6330.49,维修工B,已修复,
MNT-000091,2024-07-24 19:00:00,M25,滤芯更换,True,23.98,1984.06,维修工A,已修复,
MNT-000092,2025-07-24 08:00:00,M01,故障维修,True,16.08,1442.75,维修工B,已修复,需要厂家支持
MNT-000093,2026-04-23 14:00:00,M17,电气故障,True,19.84,6198.14,维修工D,已修复,更换备件
MNT-000094,2025-07-14 11:00:00,M03,电气故障,True,23.45,5488.35,维修工A,已修复,
MNT-000095,2025-01-19 18:00:00,M03,故障维修,True,2.77,3419.26,维修工A,已修复,
MNT-000096,2025-09-08 13:00:00,M02,电气故障,True,12.8,5805.93,外部供应商,已修复,
MNT-000097,2024-05-23 17:00:00,M27,故障维修,True,7.84,6694.9,维修工B,已修复,需要厂家支持
MNT-000098,2024-11-20 08:00:00,M07,锁模故障,True,6.99,7091.35,维修工A,已修复,
MNT-000099,2025-10-22 07:00:00,M12,液压故障,True,4.94,5428.95,维修工C,已修复,建议大修
MNT-000100,2024-09-18 23:00:00,M05,密封件更换,True,19.12,4542.83,维修工C,已修复,
MNT-000101,2025-09-27 03:00:00,M11,故障维修,True,12.78,1973.81,外部供应商,已修复,
MNT-000102,2025-05-12 11:00:00,M06,换油,True,18.32,721.12,维修工B,已修复,
MNT-000103,2026-01-09 12:00:00,M13,注射故障,True,22.08,7421.95,维修工A,已修复,需要厂家支持
MNT-000104,2024-11-11 09:00:00,M12,滤芯更换,True,23.61,711.92,维修工D,已修复,更换备件
MNT-000105,2024-09-25 20:00:00,M17,故障维修,True,20.03,2599.49,维修工A,已修复,建议大修
MNT-000106,2024-09-11 00:00:00,M11,液压故障,True,8.49,7863.04,维修工B,已修复,更换备件
MNT-000107,2025-06-19 01:00:00,M08,故障维修,True,22.29,2349.89,外部供应商,已修复,更换备件
MNT-000108,2025-09-03 17:00:00,M17,电气故障,True,9.65,1807.7,维修工D,已修复,
MNT-000109,2025-04-03 14:00:00,M18,滤芯更换,True,21.38,3646.36,外部供应商,已修复,需要厂家支持
MNT-000110,2024-07-10 08:00:00,M16,锁模故障,True,7.7,6807.89,维修工A,已修复,更换备件
MNT-000111,2024-08-20 23:00:00,M02,滤芯更换,True,5.05,1532.69,维修工C,已修复,
MNT-000112,2024-01-30 16:00:00,M09,预防性保养,False,2.01,888.78,维修工B,已修复,建议大修
MNT-000113,2026-03-30 14:00:00,M13,故障维修,True,16.8,6445.12,维修工D,待跟进,
MNT-000114,2026-01-22 23:00:00,M29,锁模故障,True,10.36,7252.26,维修工B,已修复,更换备件
MNT-000115,2026-01-30 15:00:00,M23,预防性保养,False,0.97,175.34,外部供应商,已修复,
MNT-000116,2025-01-20 14:00:00,M09,预防性保养,False,2.7,943.93,维修工D,已修复,需要厂家支持
MNT-000117,2024-09-30 00:00:00,M06,注射故障,True,7.87,5102.64,维修工A,已修复,
MNT-000118,2024-09-16 23:00:00,M10,锁模故障,True,20.12,2657.13,维修工C,已修复,
MNT-000119,2025-05-15 20:00:00,M01,电气故障,True,3.81,465.13,维修工D,已修复,
MNT-000120,2025-01-25 15:00:00,M27,密封件更换,True,16.04,4296.84,维修工A,已修复,
MNT-000121,2025-08-04 05:00:00,M19,密封件更换,True,1.16,2249.59,外部供应商,已修复,
MNT-000122,2024-11-01 16:00:00,M10,换油,True,2.45,7905.89,维修工C,已修复,
MNT-000123,2024-12-04 17:00:00,M15,电气故障,True,12.77,7745.41,外部供应商,已修复,建议大修
MNT-000124,2024-06-24 23:00:00,M26,锁模故障,True,19.43,6788.87,维修工A,已修复,
MNT-000125,2025-01-28 13:00:00,M12,加热故障,True,16.53,3142.49,维修工A,已修复,需要厂家支持
MNT-000126,2025-01-24 09:00:00,M29,注射故障,True,2.64,1732.96,维修工C,已修复,
MNT-000127,2025-10-30 23:00:00,M18,换油,True,11.87,6671.61,维修工C,已修复,
MNT-000128,2024-04-30 19:00:00,M06,加热故障,True,23.63,7584.05,维修工C,已修复,
MNT-000129,2025-09-18 12:00:00,M18,液压故障,True,20.6,7422.55,维修工C,已修复,
MNT-000130,2025-10-14 10:00:00,M28,密封件更换,True,12.0,1898.13,维修工B,已修复,
MNT-000131,2025-12-18 10:00:00,M02,液压故障,True,0.55,1237.54,维修工A,已修复,建议大修
MNT-000132,2025-11-26 05:00:00,M08,预防性保养,False,3.42,1472.05,外部供应商,已修复,建议大修
MNT-000133,2025-10-28 12:00:00,M12,密封件更换,True,13.02,2937.19,维修工A,已修复,
MNT-000134,2026-02-27 05:00:00,M02,密封件更换,True,14.51,5137.65,维修工D,已修复,
MNT-000135,2025-05-25 21:00:00,M23,加热故障,True,20.07,6735.12,维修工A,已修复,
MNT-000136,2025-02-11 19:00:00,M10,密封件更换,True,1.65,2164.84,维修工D,已修复,需要厂家支持
MNT-000137,2025-10-31 11:00:00,M02,换油,True,9.86,5478.39,维修工B,已修复,
MNT-000138,2025-05-18 12:00:00,M18,换油,True,13.72,5701.44,外部供应商,已修复,更换备件
MNT-000139,2025-11-01 11:00:00,M10,电气故障,True,17.6,5384.59,维修工A,待跟进,建议大修
MNT-000140,2025-12-07 03:00:00,M28,液压故障,True,22.04,1490.87,维修工C,已修复,
MNT-000141,2026-03-12 07:00:00,M08,故障维修,True,18.16,3247.84,维修工C,已修复,
MNT-000142,2025-03-29 08:00:00,M14,密封件更换,True,23.74,3158.27,维修工A,已修复,需要厂家支持
MNT-000143,2025-12-21 06:00:00,M21,预防性保养,False,2.45,816.22,维修工D,已修复,
MNT-000144,2024-03-19 10:00:00,M08,滤芯更换,True,16.79,4581.31,外部供应商,已修复,更换备件
MNT-000145,2026-04-01 05:00:00,M01,液压故障,True,3.16,6630.49,维修工C,已修复,建议大修
MNT-000146,2026-02-21 22:00:00,M12,电气故障,True,21.39,1081.34,维修工D,已修复,更换备件
MNT-000147,2024-04-27 10:00:00,M05,预防性保养,False,3.08,741.25,外部供应商,已修复,需要厂家支持
MNT-000148,2024-06-10 10:00:00,M02,预防性保养,False,0.91,414.83,外部供应商,已修复,建议大修
MNT-000149,2024-03-05 05:00:00,M04,密封件更换,True,3.83,728.02,维修工A,已修复,
MNT-000150,2025-03-10 07:00:00,M24,预防性保养,False,2.73,1296.48,维修工D,已修复,
MNT-000151,2024-04-12 04:00:00,M04,预防性保养,False,0.92,106.66,维修工B,已修复,更换备件
MNT-000152,2025-04-18 16:00:00,M29,换油,True,17.33,4343.22,维修工B,已修复,需要厂家支持
MNT-000153,2024-03-13 14:00:00,M28,电气故障,True,2.07,7266.93,维修工C,已修复,需要厂家支持
MNT-000154,2026-02-08 14:00:00,M02,电气故障,True,22.76,2447.3,维修工A,已修复,建议大修
MNT-000155,2025-10-09 17:00:00,M10,锁模故障,True,20.19,1420.74,维修工B,已修复,
MNT-000156,2025-12-26 02:00:00,M23,注射故障,True,5.93,1174.93,维修工C,待跟进,
MNT-000157,2026-02-19 22:00:00,M06,注射故障,True,22.87,4947.35,外部供应商,已修复,需要厂家支持
MNT-000158,2025-02-09 09:00:00,M05,液压故障,True,5.2,634.4,外部供应商,已修复,建议大修
MNT-000159,2025-02-13 16:00:00,M03,预防性保养,False,2.35,368.96,维修工D,已修复,更换备件
MNT-000160,2025-05-20 07:00:00,M29,故障维修,True,4.73,6532.04,维修工C,已修复,建议大修
MNT-000161,2025-08-20 12:00:00,M10,密封件更换,True,11.43,5639.25,维修工B,已修复,
MNT-000162,2024-03-04 13:00:00,M22,滤芯更换,True,3.7,728.25,维修工A,待跟进,需要厂家支持
MNT-000163,2026-04-11 22:00:00,M02,电气故障,True,3.03,7921.06,外部供应商,已修复,需要厂家支持
MNT-000164,2024-01-12 00:00:00,M11,预防性保养,False,3.38,956.26,维修工A,已修复,需要厂家支持
MNT-000165,2026-01-11 23:00:00,M29,液压故障,True,7.28,2893.81,维修工C,已修复,需要厂家支持
MNT-000166,2025-03-02 11:00:00,M10,锁模故障,True,21.36,3158.89,维修工C,已修复,
MNT-000167,2024-01-07 05:00:00,M09,液压故障,True,21.39,4341.12,维修工A,已修复,
MNT-000168,2025-12-13 12:00:00,M21,密封件更换,True,13.22,7768.97,维修工D,待跟进,
MNT-000169,2024-05-09 10:00:00,M23,密封件更换,True,18.52,1878.1,维修工B,已修复,
MNT-000170,2024-12-20 00:00:00,M27,加热故障,True,19.43,3969.39,维修工B,已修复,建议大修
MNT-000171,2025-05-19 08:00:00,M09,预防性保养,False,1.7,1199.07,维修工C,已修复,更换备件
MNT-000172,2024-06-27 08:00:00,M09,电气故障,True,3.0,694.81,维修工C,已修复,建议大修
MNT-000173,2026-01-18 16:00:00,M15,液压故障,True,19.22,7278.28,维修工D,已修复,
MNT-000174,2024-12-07 18:00:00,M25,电气故障,True,6.38,385.07,维修工C,已修复,需要厂家支持
MNT-000175,2025-09-26 12:00:00,M11,故障维修,True,2.43,5854.25,维修工D,已修复,建议大修
MNT-000176,2024-04-30 17:00:00,M08,滤芯更换,True,14.64,427.77,维修工C,已修复,建议大修
MNT-000177,2025-05-22 20:00:00,M12,预防性保养,False,1.21,1151.2,外部供应商,已修复,建议大修
MNT-000178,2024-09-06 07:00:00,M09,液压故障,True,4.02,5230.98,维修工A,已修复,
MNT-000179,2025-07-14 21:00:00,M26,故障维修,True,20.93,5624.32,维修工C,已修复,
MNT-000180,2025-10-10 14:00:00,M03,换油,True,22.02,5607.23,维修工C,已修复,更换备件
MNT-000181,2025-10-05 23:00:00,M14,液压故障,True,8.97,4276.29,外部供应商,已修复,更换备件
MNT-000182,2026-01-18 03:00:00,M29,故障维修,True,1.77,4097.73,维修工D,已修复,建议大修
MNT-000183,2024-09-23 09:00:00,M05,注射故障,True,7.51,7060.4,外部供应商,已修复,建议大修
MNT-000184,2024-06-08 01:00:00,M23,注射故障,True,8.45,7292.56,外部供应商,已修复,
MNT-000185,2025-07-21 17:00:00,M17,换油,True,7.99,691.8,外部供应商,已修复,建议大修
MNT-000186,2025-09-29 06:00:00,M20,故障维修,True,1.64,436.81,维修工B,已修复,
MNT-000187,2024-05-15 00:00:00,M19,滤芯更换,True,10.8,3888.96,外部供应商,已修复,
MNT-000188,2026-04-18 15:00:00,M21,注射故障,True,9.81,5980.63,维修工A,已修复,
MNT-000189,2025-09-11 03:00:00,M01,故障维修,True,21.38,5413.58,维修工A,已修复,
MNT-000190,2025-05-12 09:00:00,M25,换油,True,22.41,6162.15,维修工D,已修复,更换备件
MNT-000191,2026-04-29 17:00:00,M15,电气故障,True,15.17,6288.2,维修工C,已修复,需要厂家支持
MNT-000192,2024-12-03 02:00:00,M01,密封件更换,True,2.84,461.72,维修工D,已修复,建议大修
MNT-000193,2024-08-11 17:00:00,M24,锁模故障,True,10.58,1038.04,维修工D,已修复,建议大修
MNT-000194,2024-01-21 23:00:00,M01,密封件更换,True,1.21,7145.46,外部供应商,已修复,需要厂家支持
MNT-000195,2025-07-22 06:00:00,M21,液压故障,True,2.87,4540.81,维修工B,已修复,需要厂家支持
MNT-000196,2026-03-07 13:00:00,M22,锁模故障,True,19.79,7131.07,维修工B,已修复,更换备件
MNT-000197,2025-03-06 23:00:00,M03,滤芯更换,True,13.61,1818.47,维修工B,已修复,建议大修
MNT-000198,2024-11-12 11:00:00,M29,液压故障,True,11.98,6332.32,维修工D,已修复,需要厂家支持
MNT-000199,2025-10-02 23:00:00,M13,故障维修,True,7.94,7118.87,维修工C,已修复,
MNT-000200,2024-07-07 02:00:00,M27,注射故障,True,3.76,6332.42,维修工A,已修复,建议大修
MNT-000201,2025-01-23 13:00:00,M12,故障维修,True,21.88,5107.83,维修工C,已修复,
MNT-000202,2024-09-28 09:00:00,M05,换油,True,2.23,5507.41,维修工B,已修复,
MNT-000203,2024-08-09 09:00:00,M28,预防性保养,False,0.51,882.23,维修工C,已修复,
MNT-000204,2025-08-19 11:00:00,M04,滤芯更换,True,6.37,1463.0,维修工B,待跟进,
MNT-000205,2024-03-17 00:00:00,M17,预防性保养,False,2.27,243.92,维修工B,已修复,
MNT-000206,2025-06-10 12:00:00,M06,加热故障,True,22.25,5663.93,维修工C,已修复,
MNT-000207,2024-06-13 19:00:00,M22,预防性保养,False,3.31,1284.19,维修工D,已修复,建议大修
MNT-000208,2025-10-03 04:00:00,M01,密封件更换,True,12.8,3134.57,维修工B,已修复,
MNT-000209,2024-08-15 19:00:00,M18,加热故障,True,14.03,7016.8,外部供应商,已修复,建议大修
MNT-000210,2024-01-28 03:00:00,M25,液压故障,True,9.6,3243.62,外部供应商,已修复,
MNT-000211,2025-09-11 04:00:00,M26,锁模故障,True,16.35,3735.51,维修工A,已修复,更换备件
MNT-000212,2024-02-14 10:00:00,M27,预防性保养,False,1.99,1054.94,维修工A,已修复,建议大修
MNT-000213,2025-04-03 21:00:00,M11,锁模故障,True,12.82,4596.64,外部供应商,已修复,建议大修
MNT-000214,2026-04-12 19:00:00,M01,加热故障,True,10.33,4443.96,维修工C,已修复,建议大修
MNT-000215,2024-07-25 04:00:00,M10,滤芯更换,True,19.24,885.25,维修工C,已修复,
MNT-000216,2025-10-07 00:00:00,M25,换油,True,21.27,5394.98,维修工B,待跟进,需要厂家支持
MNT-000217,2025-11-24 09:00:00,M08,锁模故障,True,11.39,3961.36,维修工A,已修复,更换备件
MNT-000218,2025-10-17 08:00:00,M05,液压故障,True,19.92,6244.35,维修工D,已修复,建议大修
MNT-000219,2026-03-19 23:00:00,M10,液压故障,True,23.23,5967.08,维修工A,待跟进,需要厂家支持
MNT-000220,2025-11-04 03:00:00,M22,锁模故障,True,22.39,4318.0,维修工D,已修复,
MNT-000221,2024-06-18 14:00:00,M15,锁模故障,True,12.92,1911.62,维修工A,已修复,
MNT-000222,2024-12-21 23:00:00,M21,故障维修,True,7.69,6671.1,外部供应商,已修复,更换备件
MNT-000223,2024-05-31 06:00:00,M23,液压故障,True,3.72,3779.04,维修工B,已修复,
MNT-000224,2026-02-27 08:00:00,M03,电气故障,True,20.37,5168.7,维修工D,已修复,
MNT-000225,2024-09-09 01:00:00,M24,液压故障,True,16.03,525.96,外部供应商,已修复,
MNT-000226,2024-07-24 13:00:00,M05,液压故障,True,23.0,7037.81,维修工D,已修复,更换备件
MNT-000227,2025-10-08 10:00:00,M23,液压故障,True,12.42,4138.63,外部供应商,已修复,建议大修
MNT-000228,2024-06-12 11:00:00,M14,电气故障,True,0.63,2373.0,外部供应商,已修复,
MNT-000229,2025-02-18 04:00:00,M18,加热故障,True,5.06,2101.68,维修工B,已修复,更换备件
MNT-000230,2024-03-01 05:00:00,M22,电气故障,True,14.62,6831.69,维修工B,已修复,
MNT-000231,2026-02-24 19:00:00,M11,加热故障,True,12.9,3446.9,维修工C,已修复,
MNT-000232,2026-01-27 17:00:00,M04,加热故障,True,19.07,3668.88,外部供应商,已修复,
MNT-000233,2024-02-23 15:00:00,M23,加热故障,True,20.56,4316.44,维修工D,已修复,
MNT-000234,2024-08-19 12:00:00,M01,加热故障,True,23.77,2767.26,维修工A,已修复,更换备件
MNT-000235,2024-11-16 06:00:00,M29,密封件更换,True,23.64,6564.7,维修工D,已修复,
MNT-000236,2024-09-19 05:00:00,M09,加热故障,True,13.32,6824.24,外部供应商,已修复,
MNT-000237,2025-07-11 10:00:00,M16,滤芯更换,True,19.18,7364.65,维修工C,已修复,更换备件
MNT-000238,2025-12-19 11:00:00,M15,故障维修,True,7.8,7785.14,维修工A,已修复,
MNT-000239,2026-01-14 19:00:00,M05,加热故障,True,18.66,1583.49,维修工B,已修复,需要厂家支持
MNT-000240,2024-04-18 08:00:00,M29,故障维修,True,2.2,6343.77,维修工B,已修复,建议大修
MNT-000241,2025-04-16 14:00:00,M13,预防性保养,False,3.77,1189.36,维修工C,已修复,
MNT-000242,2026-04-12 19:00:00,M12,换油,True,12.78,1435.72,外部供应商,已修复,需要厂家支持
MNT-000243,2025-11-13 03:00:00,M28,液压故障,True,12.29,3515.96,维修工C,已修复,
MNT-000244,2025-01-23 14:00:00,M11,预防性保养,False,3.25,156.14,维修工B,已修复,更换备件
MNT-000245,2025-05-17 23:00:00,M23,加热故障,True,18.56,4395.61,外部供应商,已修复,更换备件
MNT-000246,2024-03-25 20:00:00,M09,密封件更换,True,18.56,6845.46,维修工C,已修复,
MNT-000247,2025-05-13 16:00:00,M26,注射故障,True,5.53,6314.59,外部供应商,已修复,
MNT-000248,2024-12-23 14:00:00,M01,预防性保养,False,2.89,150.39,维修工B,已修复,更换备件
MNT-000249,2025-07-20 23:00:00,M02,密封件更换,True,19.39,3404.65,维修工A,已修复,
MNT-000250,2024-12-02 20:00:00,M02,换油,True,22.48,7508.27,维修工A,已修复,
MNT-000251,2025-12-19 08:00:00,M21,换油,True,21.19,4132.32,维修工B,已修复,更换备件
MNT-000252,2025-08-16 09:00:00,M04,加热故障,True,17.41,7736.82,维修工A,已修复,
MNT-000253,2025-09-10 14:00:00,M19,预防性保养,False,0.76,582.14,维修工B,已修复,
MNT-000254,2025-04-28 01:00:00,M01,预防性保养,False,1.53,203.07,维修工A,已修复,更换备件
MNT-000255,2025-04-15 07:00:00,M05,故障维修,True,2.52,4369.31,维修工D,已修复,
MNT-000256,2025-04-19 12:00:00,M14,换油,True,1.1,6874.88,维修工A,已修复,
MNT-000257,2025-02-07 16:00:00,M05,注射故障,True,19.67,6729.72,维修工B,已修复,需要厂家支持
MNT-000258,2025-07-12 13:00:00,M24,加热故障,True,10.93,3232.39,维修工B,已修复,
MNT-000259,2024-12-14 00:00:00,M17,换油,True,5.57,7995.11,维修工C,已修复,
MNT-000260,2025-03-24 04:00:00,M03,故障维修,True,18.92,435.55,维修工A,已修复,
MNT-000261,2024-07-19 06:00:00,M07,故障维修,True,9.36,212.23,维修工D,已修复,
MNT-000262,2025-04-08 15:00:00,M29,滤芯更换,True,23.93,4716.61,维修工C,已修复,需要厂家支持
MNT-000263,2024-12-04 08:00:00,M06,液压故障,True,19.5,258.39,外部供应商,已修复,更换备件
MNT-000264,2025-01-28 21:00:00,M03,加热故障,True,15.74,1892.42,维修工C,已修复,需要厂家支持
MNT-000265,2024-04-07 08:00:00,M06,锁模故障,True,21.17,1652.42,维修工D,待跟进,
MNT-000266,2025-01-11 06:00:00,M14,换油,True,20.06,1201.6,维修工D,已修复,更换备件
MNT-000267,2025-10-23 00:00:00,M01,预防性保养,False,3.44,508.17,外部供应商,已修复,需要厂家支持
