delivery_id,delivery_time,promised_time,sku,customer_id,customer_name,qty_delivered,amount_yuan,status,delay_hours,logistics_provider
DLV-0000025,2025-02-17 10:00:00,2025-02-15 17:00:00,TLM-003,C001,东风彼欧,48,389.76,LATE,41.0,德邦
DLV-0000026,2025-03-06 13:00:00,2025-03-08 07:00:00,DRH-002,C017,麦格纳,146,1370.94,OK,0,京东物流
DLV-0000027,2024-05-10 13:00:00,2024-05-10 03:00:00,LFR-009,C007,零跑汽车,39,641.16,LATE,10.0,宅急送
DLV-0000028,2025-05-23 17:00:00,2025-05-23 22:00:00,LRB-002,C001,东风彼欧,38,980.02,OK,0,客户自提
DLV-0000029,2024-06-07 07:00:00,2024-06-07 07:00:00,LRB-019,C004,佛吉亚,322,10902.92,OK,0,SF顺丰
DLV-0000030,2024-07-15 12:00:00,2024-07-15 17:00:00,BUM-024,C012,蔚来汽车,79,2192.25,OK,0,安能
DLV-0000031,2024-11-05 15:00:00,2024-11-06 02:00:00,BUM-026,C002,本田技研,205,2271.4,OK,0,安能
DLV-0000032,2024-06-14 17:00:00,2024-06-16 05:00:00,VEN-002,C010,极氪,190,6338.4,OK,0,SF顺丰
DLV-0000033,2024-05-12 17:00:00,2024-05-12 16:00:00,WLC-010,C007,零跑汽车,140,3523.8,LATE,1.0,SF顺丰
DLV-0000034,2025-06-21 18:00:00,2025-06-22 16:00:00,DRH-023,C009,路特斯,222,1824.84,OK,0,SF顺丰
DLV-0000035,2025-03-06 15:00:00,2025-03-05 20:00:00,VEN-004,C011,理想汽车,371,12005.56,LATE,19.0,SF顺丰
DLV-0000036,2025-01-15 07:00:00,2025-01-14 19:00:00,TLM-010,C017,麦格纳,96,956.16,LATE,12.0,SF顺丰
DLV-0000037,2024-11-26 10:00:00,2024-11-25 23:00:00,HND-009,C011,理想汽车,143,4355.78,LATE,11.0,SF顺丰
DLV-0000038,2025-03-18 12:00:00,2025-03-18 06:00:00,DRH-005,C019,布雷博,212,5461.12,LATE,6.0,德邦
DLV-0000039,2025-07-01 13:00:00,2025-07-01 20:00:00,TLP-012,C013,问界,215,4590.25,OK,0,安能
DLV-0000040,2026-01-26 17:00:00,2026-01-27 10:00:00,DUO-012,C017,麦格纳,252,2880.36,OK,0,安能
DLV-0000041,2024-09-14 17:00:00,2024-09-15 21:00:00,TLM-005,C003,伟世通,208,4442.88,OK,0,京东物流
DLV-0000042,2025-09-21 17:00:00,2025-09-22 04:00:00,LRB-022,C005,比亚迪,111,1958.04,OK,0,德邦
DLV-0000043,2025-12-16 08:00:00,2025-12-14 08:00:00,LRB-008,C005,比亚迪,361,11324.57,LATE,48.0,SF顺丰
DLV-0000044,2024-06-17 18:00:00,2024-06-18 11:00:00,DRH-022,C005,比亚迪,178,2169.82,OK,0,客户自提
DLV-0000045,2025-06-08 14:00:00,2025-06-07 12:00:00,LFR-014,C003,伟世通,603,5553.63,LATE,26.0,SF顺丰
DLV-0000046,2024-08-01 15:00:00,2024-08-01 01:00:00,TLM-026,C011,理想汽车,168,3124.8,LATE,14.0,京东物流
DLV-0000047,2024-02-24 11:00:00,2024-02-25 16:00:00,BUM-001,C006,小鹏汽车,50,259.5,OK,0,SF顺丰
DLV-0000048,2025-03-25 09:00:00,2025-03-23 09:00:00,TLM-015,C020,采埃孚,189,1408.05,LATE,48.0,京东物流
DLV-0000049,2025-04-22 11:00:00,2025-04-24 00:00:00,TLM-008,C016,安波福,30,698.7,OK,0,京东物流
DLV-0000050,2026-02-07 17:00:00,2026-02-06 02:00:00,LFR-011,C002,本田技研,169,3341.13,LATE,39.0,京东物流
DLV-0000051,2025-09-30 13:00:00,2025-10-01 20:00:00,CUP-016,C006,小鹏汽车,42,634.62,OK,0,客户自提
DLV-0000052,2025-02-26 14:00:00,2025-02-27 21:00:00,LRB-011,C011,理想汽车,262,1388.6,OK,0,京东物流
DLV-0000053,2025-05-26 11:00:00,2025-05-27 07:00:00,DUO-010,C003,伟世通,1970,30022.8,OK,0,安能
DLV-0000054,2025-07-05 16:00:00,2025-07-06 11:00:00,CUP-025,C017,麦格纳,82,2673.2,OK,0,德邦
DLV-0000055,2026-04-24 18:00:00,2026-04-24 18:00:00,BUM-003,C016,安波福,107,1889.62,OK,0,安能
DLV-0000056,2025-05-02 18:00:00,2025-05-01 21:00:00,TLP-019,C008,岚图汽车,76,191.52,LATE,21.0,SF顺丰
DLV-0000057,2024-01-01 16:00:00,2024-01-03 13:00:00,VEN-007,C007,零跑汽车,205,3116.0,OK,0,德邦
DLV-0000058,2025-01-27 15:00:00,2025-01-27 20:00:00,VEN-026,C001,东风彼欧,95,2015.9,OK,0,京东物流
DLV-0000059,2024-12-25 13:00:00,2024-12-26 18:00:00,VEN-010,C016,安波福,44,576.4,OK,0,客户自提
DLV-0000060,2025-07-14 13:00:00,2025-07-15 20:00:00,WLC-015,C002,本田技研,128,2762.24,OK,0,安能
DLV-0000061,2026-02-24 08:00:00,2026-02-26 00:00:00,VEN-013,C020,采埃孚,141,4389.33,OK,0,SF顺丰
DLV-0000062,2024-08-08 17:00:00,2024-08-07 07:00:00,TLP-006,C008,岚图汽车,120,3414.0,LATE,34.0,宅急送
DLV-0000063,2026-02-14 13:00:00,2026-02-15 16:00:00,TLP-013,C018,李尔,195,452.4,OK,0,安能
DLV-0000064,2025-11-23 15:00:00,2025-11-21 17:00:00,VEN-027,C019,布雷博,153,1373.94,LATE,46.0,客户自提
DLV-0000065,2025-08-19 15:00:00,2025-08-17 15:00:00,WLC-021,C006,小鹏汽车,93,834.21,LATE,48.0,安能
DLV-0000066,2025-09-22 17:00:00,2025-09-20 19:00:00,VEN-003,C008,岚图汽车,78,2290.86,LATE,46.0,宅急送
DLV-0000067,2024-05-31 15:00:00,2024-05-31 22:00:00,LFR-015,C012,蔚来汽车,111,540.57,OK,0,客户自提
DLV-0000068,2025-07-20 16:00:00,2025-07-21 20:00:00,LRB-009,C013,问界,103,2785.12,OK,0,客户自提
DLV-0000069,2026-03-28 13:00:00,2026-03-28 06:00:00,DRH-020,C008,岚图汽车,156,4733.04,LATE,7.0,宅急送
DLV-0000070,2024-04-02 07:00:00,2024-04-03 04:00:00,TLM-004,C007,零跑汽车,138,4478.1,OK,0,德邦
DLV-0000071,2024-12-08 15:00:00,2024-12-07 20:00:00,TLM-021,C006,小鹏汽车,199,1367.13,LATE,19.0,客户自提
DLV-0000072,2024-09-12 15:00:00,2024-09-12 07:00:00,VEN-023,C001,东风彼欧,736,5578.88,LATE,8.0,宅急送
DLV-0000073,2024-06-22 08:00:00,2024-06-21 20:00:00,LFR-013,C002,本田技研,149,1709.03,LATE,12.0,德邦
DLV-0000074,2024-12-16 14:00:00,2024-12-18 13:00:00,VEN-020,C006,小鹏汽车,116,223.88,OK,0,客户自提
DLV-0000075,2025-11-30 11:00:00,2025-12-01 23:00:00,HND-004,C001,东风彼欧,56,727.44,OK,0,客户自提
DLV-0000076,2024-11-21 12:00:00,2024-11-21 18:00:00,LRB-020,C008,岚图汽车,141,3083.67,OK,0,京东物流
DLV-0000077,2024-11-08 18:00:00,2024-11-09 19:00:00,DRH-001,C006,小鹏汽车,63,1885.59,OK,0,宅急送
DLV-0000078,2025-09-17 07:00:00,2025-09-15 20:00:00,HND-011,C002,本田技研,31,351.85,LATE,35.0,SF顺丰
DLV-0000079,2024-12-04 10:00:00,2024-12-04 13:00:00,DUO-004,C006,小鹏汽车,266,5564.72,OK,0,京东物流
DLV-0000080,2024-12-25 15:00:00,2024-12-23 15:00:00,LRB-022,C015,马瑞利,444,7832.16,LATE,48.0,客户自提
DLV-0000081,2025-03-10 17:00:00,2025-03-11 23:00:00,LFR-013,C018,李尔,213,2443.11,OK,0,宅急送
DLV-0000082,2026-01-08 11:00:00,2026-01-09 20:00:00,TLM-013,C004,佛吉亚,86,2525.82,OK,0,客户自提
DLV-0000083,2025-05-04 13:00:00,2025-05-06 01:00:00,DUO-015,C012,蔚来汽车,83,1719.76,OK,0,客户自提
DLV-0000084,2024-06-20 18:00:00,2024-06-20 09:00:00,TLM-026,C008,岚图汽车,36,669.6,LATE,9.0,SF顺丰
DLV-0000085,2024-12-19 13:00:00,2024-12-19 09:00:00,LFR-022,C001,东风彼欧,172,5995.92,LATE,4.0,德邦
DLV-0000086,2024-03-10 09:00:00,2024-03-09 01:00:00,TLP-008,C009,路特斯,118,2822.56,LATE,32.0,京东物流
DLV-0000087,2024-05-08 07:00:00,2024-05-06 23:00:00,TLM-023,C004,佛吉亚,101,3106.76,LATE,32.0,SF顺丰
DLV-0000088,2026-04-12 16:00:00,2026-04-14 09:00:00,LRB-022,C017,麦格纳,203,3580.92,OK,0,京东物流
DLV-0000089,2024-06-22 13:00:00,2024-06-21 16:00:00,BUM-006,C016,安波福,35,800.45,LATE,21.0,宅急送
DLV-0000090,2025-08-22 17:00:00,2025-08-24 02:00:00,TLM-013,C015,马瑞利,192,5639.04,OK,0,京东物流
DLV-0000091,2024-08-22 07:00:00,2024-08-20 19:00:00,DRH-004,C016,安波福,532,7969.36,LATE,36.0,京东物流
DLV-0000092,2024-08-25 17:00:00,2024-08-26 12:00:00,DRH-020,C007,零跑汽车,145,4399.3,OK,0,宅急送
DLV-0000093,2025-04-17 08:00:00,2025-04-18 13:00:00,LRB-005,C015,马瑞利,53,1301.15,OK,0,SF顺丰
DLV-0000094,2025-12-12 12:00:00,2025-12-13 12:00:00,LFR-012,C004,佛吉亚,273,4867.59,OK,0,德邦
DLV-0000095,2026-03-18 15:00:00,2026-03-19 18:00:00,DRH-007,C001,东风彼欧,86,755.08,OK,0,京东物流
DLV-0000096,2025-05-18 13:00:00,2025-05-19 11:00:00,DRH-028,C006,小鹏汽车,951,25039.83,OK,0,宅急送
DLV-0000097,2024-12-18 08:00:00,2024-12-18 07:00:00,TLM-014,C018,李尔,136,2932.16,LATE,1.0,京东物流
DLV-0000098,2024-05-14 09:00:00,2024-05-15 22:00:00,WLC-006,C020,采埃孚,222,2644.02,OK,0,德邦
DLV-0000099,2024-12-16 13:00:00,2024-12-18 09:00:00,BUM-008,C008,岚图汽车,183,5559.54,OK,0,安能
DLV-0000100,2024-05-14 07:00:00,2024-05-14 13:00:00,TLM-010,C018,李尔,1436,14302.56,OK,0,客户自提
DLV-0000101,2024-04-16 09:00:00,2024-04-17 15:00:00,LRB-014,C008,岚图汽车,209,3962.64,OK,0,安能
DLV-0000102,2025-12-09 17:00:00,2025-12-07 19:00:00,LRB-018,C011,理想汽车,580,6287.2,LATE,46.0,SF顺丰
DLV-0000103,2025-02-22 11:00:00,2025-02-21 17:00:00,LFR-006,C002,本田技研,109,819.68,LATE,18.0,SF顺丰
DLV-0000104,2025-07-24 07:00:00,2025-07-24 03:00:00,VEN-011,C011,理想汽车,87,2810.97,LATE,4.0,SF顺丰
DLV-0000105,2026-04-14 13:00:00,2026-04-14 22:00:00,DUO-001,C004,佛吉亚,295,5389.65,OK,0,德邦
DLV-0000106,2024-10-10 10:00:00,2024-10-10 00:00:00,BUM-023,C018,李尔,343,2130.03,LATE,10.0,客户自提
DLV-0000107,2025-09-01 14:00:00,2025-09-03 00:00:00,WLC-019,C014,阿维塔,147,2892.96,OK,0,安能
DLV-0000108,2025-09-20 14:00:00,2025-09-18 23:00:00,CUP-018,C015,马瑞利,193,3564.71,LATE,39.0,SF顺丰
DLV-0000109,2026-03-14 15:00:00,2026-03-12 22:00:00,BUM-012,C020,采埃孚,559,14746.42,LATE,41.0,宅急送
DLV-0000110,2025-12-21 13:00:00,2025-12-21 17:00:00,CUP-011,C020,采埃孚,305,8979.2,OK,0,客户自提
DLV-0000111,2026-01-12 13:00:00,2026-01-10 15:00:00,LRB-019,C011,理想汽车,349,11817.14,LATE,46.0,客户自提
DLV-0000112,2024-06-25 09:00:00,2024-06-23 15:00:00,WLC-016,C002,本田技研,344,10660.56,LATE,42.0,客户自提
DLV-0000113,2024-02-10 13:00:00,2024-02-08 18:00:00,LRB-003,C007,零跑汽车,56,1099.84,LATE,43.0,京东物流
DLV-0000114,2025-12-16 15:00:00,2025-12-17 12:00:00,LFR-015,C009,路特斯,388,1889.56,OK,0,客户自提
DLV-0000115,2026-01-20 07:00:00,2026-01-19 10:00:00,DUO-010,C019,布雷博,217,3307.08,LATE,21.0,SF顺丰
DLV-0000116,2024-12-06 17:00:00,2024-12-06 23:00:00,DRH-026,C007,零跑汽车,85,254.15,OK,0,SF顺丰
DLV-0000117,2024-12-17 08:00:00,2024-12-16 09:00:00,DRH-016,C020,采埃孚,78,1518.66,LATE,23.0,客户自提
DLV-0000118,2024-07-19 17:00:00,2024-07-21 08:00:00,CUP-018,C003,伟世通,203,3749.41,OK,0,客户自提
DLV-0000119,2025-01-29 18:00:00,2025-01-29 17:00:00,CUP-019,C020,采埃孚,70,1218.0,LATE,1.0,安能
DLV-0000120,2026-02-03 17:00:00,2026-02-03 22:00:00,LFR-015,C004,佛吉亚,73,355.51,OK,0,客户自提
DLV-0000121,2024-08-08 10:00:00,2024-08-07 15:00:00,WLC-003,C013,问界,183,1328.58,LATE,19.0,京东物流
DLV-0000122,2024-09-07 18:00:00,2024-09-07 10:00:00,WLC-021,C002,本田技研,101,905.97,LATE,8.0,SF顺丰
DLV-0000123,2026-02-05 13:00:00,2026-02-07 13:00:00,TLM-026,C016,安波福,517,9616.2,OK,0,SF顺丰
DLV-0000124,2025-12-26 15:00:00,2025-12-26 12:00:00,LFR-019,C020,采埃孚,59,985.3,LATE,3.0,京东物流
DLV-0000125,2024-06-10 16:00:00,2024-06-10 02:00:00,VEN-012,C020,采埃孚,106,1584.7,LATE,14.0,宅急送
DLV-0000126,2024-06-16 13:00:00,2024-06-15 05:00:00,DRH-029,C011,理想汽车,60,1143.0,LATE,32.0,客户自提
DLV-0000127,2025-05-05 13:00:00,2025-05-06 20:00:00,BUM-005,C008,岚图汽车,172,2839.72,OK,0,德邦
DLV-0000128,2026-04-20 12:00:00,2026-04-22 05:00:00,DUO-010,C010,极氪,131,1996.44,OK,0,安能
DLV-0000129,2026-03-15 16:00:00,2026-03-13 22:00:00,TLP-009,C020,采埃孚,139,3552.84,LATE,42.0,京东物流
DLV-0000130,2025-07-16 10:00:00,2025-07-17 19:00:00,TLM-020,C012,蔚来汽车,137,4318.24,OK,0,德邦
DLV-0000131,2026-01-29 18:00:00,2026-01-28 03:00:00,LFR-019,C017,麦格纳,396,6613.2,LATE,39.0,京东物流
DLV-0000132,2026-02-01 14:00:00,2026-02-01 17:00:00,CUP-020,C008,岚图汽车,186,1052.76,OK,0,宅急送
DLV-0000133,2024-10-15 10:00:00,2024-10-14 21:00:00,DRH-003,C003,伟世通,237,2206.47,LATE,13.0,客户自提
DLV-0000134,2024-01-04 13:00:00,2024-01-05 01:00:00,BUM-013,C012,蔚来汽车,184,1076.4,OK,0,京东物流
DLV-0000135,2024-07-22 18:00:00,2024-07-23 13:00:00,HND-006,C013,问界,172,2031.32,OK,0,SF顺丰
DLV-0000136,2024-11-20 14:00:00,2024-11-19 12:00:00,DRH-024,C002,本田技研,151,1200.45,LATE,26.0,德邦
DLV-0000137,2024-08-02 17:00:00,2024-08-03 07:00:00,DUO-016,C019,布雷博,30,681.3,OK,0,德邦
DLV-0000138,2026-01-10 13:00:00,2026-01-10 20:00:00,BUM-017,C020,采埃孚,30,175.8,OK,0,SF顺丰
DLV-0000139,2025-12-19 08:00:00,2025-12-20 18:00:00,DRH-014,C007,零跑汽车,137,1037.09,OK,0,安能
DLV-0000140,2025-12-06 15:00:00,2025-12-05 06:00:00,LRB-016,C010,极氪,152,3614.56,LATE,33.0,SF顺丰
DLV-0000141,2025-01-23 09:00:00,2025-01-24 09:00:00,BUM-013,C013,问界,290,1696.5,OK,0,SF顺丰
DLV-0000142,2024-06-18 13:00:00,2024-06-18 00:00:00,WLC-011,C020,采埃孚,348,5689.8,LATE,13.0,SF顺丰
DLV-0000143,2024-03-06 08:00:00,2024-03-07 03:00:00,BUM-004,C014,阿维塔,633,20464.89,OK,0,SF顺丰
DLV-0000144,2026-03-04 10:00:00,2026-03-04 16:00:00,HND-028,C001,东风彼欧,194,1879.86,OK,0,客户自提
DLV-0000145,2026-01-28 11:00:00,2026-01-26 16:00:00,BUM-015,C015,马瑞利,118,1347.56,LATE,43.0,SF顺丰
DLV-0000146,2025-06-03 10:00:00,2025-06-03 03:00:00,TLP-013,C008,岚图汽车,135,313.2,LATE,7.0,德邦
DLV-0000147,2024-11-05 08:00:00,2024-11-05 14:00:00,DUO-025,C007,零跑汽车,654,7959.18,OK,0,京东物流
DLV-0000148,2025-03-14 18:00:00,2025-03-13 22:00:00,VEN-012,C015,马瑞利,515,7699.25,LATE,20.0,德邦
DLV-0000149,2025-11-22 13:00:00,2025-11-22 23:00:00,TLM-026,C006,小鹏汽车,188,3496.8,OK,0,安能
DLV-0000150,2026-02-16 15:00:00,2026-02-14 22:00:00,DUO-002,C009,路特斯,118,2016.62,LATE,41.0,德邦
DLV-0000151,2025-07-02 13:00:00,2025-07-02 06:00:00,TLP-020,C003,伟世通,104,180.96,LATE,7.0,京东物流
DLV-0000152,2024-04-12 13:00:00,2024-04-14 02:00:00,BUM-014,C010,极氪,216,1637.28,OK,0,安能
DLV-0000153,2026-04-20 07:00:00,2026-04-22 04:00:00,WLC-024,C013,问界,140,945.0,OK,0,SF顺丰
DLV-0000154,2025-12-04 17:00:00,2025-12-02 17:00:00,VEN-016,C013,问界,131,4374.09,LATE,48.0,安能
DLV-0000155,2024-03-07 08:00:00,2024-03-09 05:00:00,WLC-006,C003,伟世通,592,7050.72,OK,0,客户自提
DLV-0000156,2025-04-15 15:00:00,2025-04-14 23:00:00,VEN-020,C001,东风彼欧,169,326.17,LATE,16.0,宅急送
DLV-0000157,2025-03-24 15:00:00,2025-03-23 23:00:00,VEN-001,C007,零跑汽车,296,1036.0,LATE,16.0,安能
DLV-0000158,2025-06-13 16:00:00,2025-06-12 14:00:00,CUP-029,C017,麦格纳,77,173.25,LATE,26.0,客户自提
DLV-0000159,2025-06-21 10:00:00,2025-06-22 03:00:00,VEN-028,C008,岚图汽车,69,1235.79,OK,0,德邦
DLV-0000160,2024-04-03 14:00:00,2024-04-02 16:00:00,VEN-024,C014,阿维塔,91,1228.5,LATE,22.0,京东物流
DLV-0000161,2024-06-22 10:00:00,2024-06-21 22:00:00,TLM-024,C005,比亚迪,361,5869.86,LATE,12.0,SF顺丰
DLV-0000162,2025-09-09 13:00:00,2025-09-10 03:00:00,CUP-023,C001,东风彼欧,119,1508.92,OK,0,京东物流
DLV-0000163,2025-05-06 14:00:00,2025-05-08 00:00:00,VEN-014,C010,极氪,298,2115.8,OK,0,安能
DLV-0000164,2024-08-02 15:00:00,2024-07-31 17:00:00,VEN-015,C001,东风彼欧,54,1718.82,LATE,46.0,客户自提
DLV-0000165,2024-03-17 15:00:00,2024-03-19 07:00:00,VEN-008,C001,东风彼欧,32,1063.04,OK,0,客户自提
DLV-0000166,2026-02-28 09:00:00,2026-02-27 21:00:00,CUP-023,C019,布雷博,174,2206.32,LATE,12.0,客户自提
DLV-0000167,2024-07-10 09:00:00,2024-07-11 13:00:00,VEN-014,C008,岚图汽车,320,2272.0,OK,0,客户自提
DLV-0000168,2024-01-18 09:00:00,2024-01-16 14:00:00,LFR-008,C014,阿维塔,111,2200.02,LATE,43.0,客户自提
DLV-0000169,2024-12-04 13:00:00,2024-12-05 22:00:00,DRH-007,C017,麦格纳,352,3090.56,OK,0,安能
DLV-0000170,2025-02-22 12:00:00,2025-02-22 10:00:00,LFR-011,C014,阿维塔,544,10754.88,LATE,2.0,宅急送
DLV-0000171,2025-11-30 12:00:00,2025-12-01 08:00:00,TLM-005,C006,小鹏汽车,42,897.12,OK,0,京东物流
DLV-0000172,2024-09-02 17:00:00,2024-09-03 13:00:00,DUO-004,C017,麦格纳,428,8953.76,OK,0,安能
DLV-0000173,2024-02-04 17:00:00,2024-02-06 08:00:00,WLC-001,C019,布雷博,171,3156.66,OK,0,安能
DLV-0000174,2024-06-25 14:00:00,2024-06-26 01:00:00,VEN-024,C002,本田技研,174,2349.0,OK,0,德邦
DLV-0000175,2025-08-14 11:00:00,2025-08-12 15:00:00,DRH-008,C011,理想汽车,317,11053.79,LATE,44.0,宅急送
DLV-0000176,2024-03-12 07:00:00,2024-03-12 16:00:00,BUM-004,C009,路特斯,30,969.9,OK,0,安能
DLV-0000177,2024-11-13 14:00:00,2024-11-14 22:00:00,DRH-004,C013,问界,109,1632.82,OK,0,京东物流
DLV-0000178,2025-02-20 09:00:00,2025-02-20 23:00:00,TLP-017,C016,安波福,153,4426.29,OK,0,SF顺丰
DLV-0000179,2024-07-18 13:00:00,2024-07-17 08:00:00,WLC-013,C011,理想汽车,200,4680.0,LATE,29.0,德邦
DLV-0000180,2025-10-05 14:00:00,2025-10-03 17:00:00,TLM-005,C008,岚图汽车,79,1687.44,LATE,45.0,京东物流
DLV-0000181,2026-03-16 10:00:00,2026-03-14 23:00:00,HND-020,C009,路特斯,263,2590.55,LATE,35.0,安能
DLV-0000182,2024-06-03 09:00:00,2024-06-02 13:00:00,LRB-018,C003,伟世通,174,1886.16,LATE,20.0,京东物流
DLV-0000183,2024-06-26 11:00:00,2024-06-27 00:00:00,LFR-005,C013,问界,287,490.77,OK,0,京东物流
DLV-0000184,2025-07-26 10:00:00,2025-07-28 05:00:00,DUO-020,C010,极氪,489,10381.47,OK,0,德邦
DLV-0000185,2025-12-28 12:00:00,2025-12-30 10:00:00,TLM-027,C014,阿维塔,30,453.3,OK,0,安能
DLV-0000186,2024-01-09 08:00:00,2024-01-08 20:00:00,LFR-013,C009,路特斯,37,424.39,LATE,12.0,京东物流
DLV-0000187,2025-03-08 13:00:00,2025-03-06 18:00:00,TLP-011,C004,佛吉亚,30,1028.1,LATE,43.0,德邦
DLV-0000188,2025-08-10 12:00:00,2025-08-10 12:00:00,BUM-026,C015,马瑞利,216,2393.28,OK,0,德邦
DLV-0000189,2025-01-05 09:00:00,2025-01-06 04:00:00,TLP-010,C007,零跑汽车,30,140.7,OK,0,安能
DLV-0000190,2025-04-27 16:00:00,2025-04-27 08:00:00,CUP-007,C017,麦格纳,1884,39808.92,LATE,8.0,SF顺丰
DLV-0000191,2025-12-10 12:00:00,2025-12-09 15:00:00,LRB-006,C013,问界,99,3383.82,LATE,21.0,宅急送
DLV-0000192,2025-08-08 17:00:00,2025-08-07 03:00:00,BUM-005,C018,李尔,180,2971.8,LATE,38.0,安能
DLV-0000193,2024-04-15 13:00:00,2024-04-14 07:00:00,VEN-019,C003,伟世通,280,4858.0,LATE,30.0,宅急送
DLV-0000194,2025-02-09 12:00:00,2025-02-08 10:00:00,DUO-021,C013,问界,161,1519.84,LATE,26.0,德邦
DLV-0000195,2025-08-31 14:00:00,2025-08-30 12:00:00,HND-016,C012,蔚来汽车,49,745.29,LATE,26.0,德邦
DLV-0000196,2025-02-25 14:00:00,2025-02-27 11:00:00,LFR-008,C002,本田技研,93,1843.26,OK,0,京东物流
DLV-0000197,2024-05-08 18:00:00,2024-05-07 01:00:00,TLP-015,C013,问界,306,6165.9,LATE,41.0,安能
DLV-0000198,2025-03-16 16:00:00,2025-03-14 20:00:00,HND-011,C018,李尔,30,340.5,LATE,44.0,宅急送
DLV-0000199,2026-01-18 07:00:00,2026-01-19 18:00:00,HND-001,C013,问界,37,246.05,OK,0,SF顺丰
DLV-0000200,2024-11-29 15:00:00,2024-11-29 16:00:00,TLP-019,C014,阿维塔,168,423.36,OK,0,安能
DLV-0000201,2024-12-27 15:00:00,2024-12-28 05:00:00,TLM-017,C001,东风彼欧,345,4591.95,OK,0,客户自提
DLV-0000202,2024-05-28 18:00:00,2024-05-28 13:00:00,DUO-004,C015,马瑞利,176,3681.92,LATE,5.0,SF顺丰
DLV-0000203,2025-08-15 14:00:00,2025-08-17 09:00:00,CUP-001,C012,蔚来汽车,155,1023.0,OK,0,安能
DLV-0000204,2024-05-25 13:00:00,2024-05-24 15:00:00,CUP-011,C012,蔚来汽车,67,1972.48,LATE,22.0,京东物流
DLV-0000205,2026-03-02 08:00:00,2026-03-01 21:00:00,VEN-011,C010,极氪,72,2326.32,LATE,11.0,宅急送
DLV-0000206,2025-03-21 15:00:00,2025-03-22 00:00:00,TLP-020,C006,小鹏汽车,245,426.3,OK,0,宅急送
DLV-0000207,2025-11-13 10:00:00,2025-11-13 19:00:00,LFR-012,C005,比亚迪,1312,23392.96,OK,0,京东物流
