snapshot_date,sku,family,wip_qty,finished_goods_qty,reorder_point,value_yuan,status,aging_days
2024-01-02,BUM-003,BUM,50,286,387,5050.76,正常,14
2024-01-02,CUP-024,CUP,55,1210,539,2238.5,低库存预警,19
2024-01-02,LRB-013,LRB,102,1613,386,55422.68,低库存预警,6
2024-01-02,HND-004,HND,455,113,355,1467.87,正常,5
2024-01-02,TLP-013,TLP,187,1296,659,3006.72,低库存预警,12
2024-01-02,CUP-029,CUP,401,784,372,1764.0,正常,4
2024-01-02,LRB-002,LRB,299,718,155,18517.22,正常,1
2024-01-02,CUP-008,CUP,431,362,372,760.2,正常,5
2024-01-02,HND-003,HND,220,1453,551,15619.75,低库存预警,30
2024-01-02,WLC-019,WLC,476,1883,675,37057.44,正常,0
2024-01-02,LRB-016,LRB,483,1033,794,24564.74,低库存预警,24
2024-01-02,VEN-010,VEN,387,1971,657,25820.1,过库存,29
2024-01-02,LRB-018,LRB,483,1608,502,17430.72,正常,1
2024-01-02,TLM-017,TLM,478,331,443,4405.61,低库存预警,10
2024-01-02,DUO-008,DUO,470,725,404,7010.75,低库存预警,14
2024-01-02,LFR-008,LFR,466,825,535,16351.5,正常,18
2024-01-02,LFR-009,LFR,53,1685,519,27701.4,正常,13
2024-01-02,LRB-020,LRB,418,334,358,7304.58,低库存预警,20
2024-01-02,BUM-004,BUM,321,887,397,28676.71,低库存预警,9
2024-01-02,DRH-003,DRH,264,1456,636,13555.36,过库存,6
2024-01-02,LFR-019,LFR,265,970,499,16199.0,正常,28
2024-01-02,BUM-024,BUM,227,1158,134,32134.5,低库存预警,28
2024-01-02,HND-024,HND,440,1047,201,21913.71,正常,6
2024-01-02,WLC-024,WLC,483,761,520,5136.75,过库存,15
2024-01-02,DRH-030,DRH,77,372,231,2005.08,过库存,29
2024-01-02,DUO-012,DUO,392,102,580,1165.86,正常,2
2024-01-02,LFR-006,LFR,274,469,358,3526.88,正常,13
2024-01-02,DRH-018,DRH,30,1582,178,32462.64,正常,11
2024-01-02,LRB-008,LRB,179,572,561,17943.64,低库存预警,18
2024-01-02,TLP-009,TLP,92,1187,221,30339.72,过库存,5
2024-01-02,TLP-003,TLP,97,773,617,11672.3,正常,15
2024-01-02,BUM-009,BUM,259,350,531,7745.5,正常,29
2024-01-02,LFR-018,LFR,36,938,216,22802.78,正常,12
2024-01-02,LFR-004,LFR,73,1512,638,28198.8,正常,26
2024-01-02,VEN-025,VEN,177,67,285,909.19,正常,23
2024-01-02,BUM-017,BUM,122,815,360,4775.9,过库存,0
2024-01-02,TLM-024,TLM,165,417,250,6780.42,正常,19
2024-01-02,VEN-029,VEN,379,1660,544,19239.4,正常,26
2024-01-02,TLP-011,TLP,284,1408,447,48252.16,低库存预警,3
2024-01-02,CUP-001,CUP,109,1823,133,12031.8,正常,7
2024-01-02,TLM-022,TLM,90,1442,395,6056.4,正常,26
2024-01-02,TLP-014,TLP,412,959,186,31157.91,正常,8
2024-01-02,TLM-016,TLM,77,1536,375,53253.12,低库存预警,15
2024-01-03,HND-009,HND,80,245,413,7462.7,正常,24
2024-01-03,VEN-003,VEN,480,692,535,20324.04,低库存预警,3
2024-01-03,DUO-008,DUO,298,18,632,174.06,正常,20
2024-01-03,LFR-008,LFR,90,610,550,12090.2,正常,27
2024-01-03,DUO-015,DUO,312,19,180,393.68,低库存预警,10
2024-01-03,BUM-028,BUM,190,1230,376,38400.6,正常,3
2024-01-03,DRH-028,DRH,249,219,717,5766.27,正常,15
2024-01-03,HND-013,HND,165,206,471,3456.68,低库存预警,4
2024-01-03,CUP-026,CUP,33,1363,711,15851.69,正常,27
2024-01-03,WLC-024,WLC,429,1901,678,12831.75,低库存预警,5
2024-01-03,LRB-001,LRB,411,787,519,9924.07,正常,4
2024-01-03,TLP-025,TLP,78,803,485,2465.21,低库存预警,22
2024-01-03,CUP-025,CUP,359,720,213,23472.0,过库存,23
2024-01-03,CUP-021,CUP,4,1237,722,33980.39,过库存,21
2024-01-03,VEN-001,VEN,351,1251,662,4378.5,正常,6
2024-01-03,CUP-020,CUP,352,268,729,1516.88,正常,1
2024-01-03,BUM-002,BUM,426,963,624,20868.21,正常,8
2024-01-03,BUM-026,BUM,100,1511,611,16741.88,过库存,7
2024-01-03,LRB-017,LRB,483,1528,448,38887.6,过库存,26
2024-01-03,TLM-009,TLM,460,157,706,3227.92,正常,11
2024-01-03,DUO-006,DUO,111,1822,715,60217.1,正常,21
2024-01-03,TLP-006,TLP,1,1205,280,34282.25,正常,14
2024-01-03,TLP-005,TLP,317,1962,578,11281.5,正常,23
2024-01-03,VEN-025,VEN,107,135,455,1831.95,正常,4
2024-01-03,WLC-016,WLC,231,1790,438,55472.1,低库存预警,11
2024-01-03,WLC-008,WLC,245,139,269,2356.05,低库存预警,23
2024-01-03,TLM-004,TLM,186,1955,630,63439.75,正常,30
2024-01-03,TLM-013,TLM,172,213,791,6255.81,正常,24
2024-01-03,TLM-005,TLM,472,1011,539,21594.96,低库存预警,30
2024-01-03,TLP-020,TLP,453,735,677,1278.9,正常,15
2024-01-03,VEN-027,VEN,277,1599,454,14359.02,正常,4
2024-01-03,HND-012,HND,35,163,374,697.64,正常,28
2024-01-03,VEN-030,VEN,89,619,736,7168.02,正常,17
2024-01-03,DUO-002,DUO,314,1198,451,20473.82,正常,2
2024-01-03,DRH-003,DRH,230,1295,678,12056.45,正常,29
2024-01-03,LFR-006,LFR,489,230,347,1729.6,正常,2
2024-01-03,HND-017,HND,264,1783,387,39190.34,正常,25
2024-01-03,TLM-002,TLM,46,772,192,3836.84,正常,3
2024-01-03,DRH-008,DRH,219,744,355,25943.28,正常,6
2024-01-03,WLC-011,WLC,202,432,734,7063.2,过库存,18
2024-01-03,BUM-021,BUM,105,1019,723,23172.06,低库存预警,25
2024-01-03,LRB-015,LRB,480,1383,146,29236.62,过库存,28
2024-01-03,DRH-012,DRH,438,1705,353,41806.6,过库存,23
2024-01-03,TLP-013,TLP,181,503,387,1166.96,正常,23
2024-01-03,BUM-007,BUM,492,796,392,8071.44,正常,11
2024-01-03,VEN-015,VEN,431,488,281,15533.04,正常,24
2024-01-03,LRB-020,LRB,82,816,719,17845.92,正常,29
2024-01-03,DRH-023,DRH,99,1405,480,11549.1,正常,10
2024-01-03,LFR-005,LFR,393,1753,297,2997.63,过库存,15
2024-01-03,TLP-017,TLP,327,1072,565,31012.96,过库存,27
2024-01-03,DRH-010,DRH,401,403,345,2643.68,正常,22
2024-01-03,VEN-014,VEN,240,1811,643,12858.1,正常,19
2024-01-03,CUP-014,CUP,27,1991,345,37530.35,过库存,28
2024-01-03,DRH-001,DRH,363,319,291,9547.67,低库存预警,7
2024-01-03,DUO-011,DUO,139,416,344,2433.6,正常,10
2024-01-03,TLP-007,TLP,188,1786,724,20789.04,正常,14
2024-01-03,DRH-024,DRH,308,1022,424,8124.9,低库存预警,5
2024-01-03,DUO-016,DUO,299,1834,434,41650.14,正常,13
2024-01-03,TLP-004,TLP,287,1742,274,14807.0,低库存预警,10
2024-01-03,HND-005,HND,488,1241,114,34437.75,低库存预警,7
2024-01-04,BUM-002,BUM,244,1451,549,31443.17,低库存预警,2
2024-01-04,DUO-010,DUO,217,184,610,2804.16,过库存,26
2024-01-04,TLP-015,TLP,481,1796,509,36189.4,过库存,8
2024-01-04,WLC-009,WLC,360,1446,638,44724.78,正常,23
2024-01-04,WLC-014,WLC,38,1735,220,14990.4,正常,21
2024-01-04,DUO-006,DUO,227,1681,499,55557.05,低库存预警,4
2024-01-04,HND-017,HND,159,301,113,6615.98,正常,15
2024-01-04,CUP-004,CUP,233,483,413,16504.11,正常,5
2024-01-04,VEN-022,VEN,48,1511,118,50694.05,正常,22
2024-01-04,DRH-029,DRH,137,64,228,1219.2,正常,1
2024-01-04,TLP-021,TLP,107,150,191,1302.0,正常,27
2024-01-04,CUP-008,CUP,86,795,441,1669.5,正常,28
2024-01-04,TLM-023,TLM,417,1472,227,45278.72,正常,0
2024-01-04,HND-019,HND,49,1192,610,25604.16,正常,10
2024-01-04,TLM-028,TLM,196,1989,604,65656.89,正常,24
2024-01-04,LFR-020,LFR,139,1757,734,54607.56,低库存预警,2
2024-01-04,WLC-005,WLC,96,1223,411,4696.32,正常,12
2024-01-04,CUP-021,CUP,442,820,437,22525.4,正常,9
2024-01-04,VEN-028,VEN,41,1159,782,20757.69,正常,30
2024-01-04,LFR-021,LFR,474,1324,369,25910.68,正常,25
2024-01-04,BUM-004,BUM,179,304,295,9828.32,正常,11
2024-01-04,LFR-004,LFR,182,1916,599,35733.4,过库存,8
2024-01-04,CUP-022,CUP,124,647,244,9821.46,正常,12
2024-01-04,TLP-011,TLP,457,1024,788,35092.48,正常,24
2024-01-04,WLC-018,WLC,229,1976,494,64259.52,低库存预警,11
2024-01-04,TLM-010,TLM,465,879,393,8754.84,低库存预警,19
2024-01-04,VEN-006,VEN,477,1090,132,15216.4,过库存,2
2024-01-04,BUM-020,BUM,304,217,501,7375.83,正常,28
2024-01-04,BUM-017,BUM,161,332,642,1945.52,低库存预警,25
2024-01-04,DRH-021,DRH,176,68,461,260.44,正常,14
2024-01-04,DUO-015,DUO,91,712,345,14752.64,正常,22
2024-01-04,HND-016,HND,151,246,338,3741.66,过库存,3
2024-01-04,BUM-014,BUM,253,1094,714,8292.52,正常,7
2024-01-04,CUP-018,CUP,399,1812,771,33467.64,正常,16
2024-01-04,CUP-016,CUP,28,642,343,9700.62,正常,13
2024-01-04,CUP-010,CUP,495,787,208,22594.77,正常,25
2024-01-04,LRB-016,LRB,384,1545,188,36740.1,正常,24
2024-01-04,LRB-014,LRB,291,1819,428,34488.24,正常,29
2024-01-04,DRH-004,DRH,488,974,187,14590.52,过库存,24
2024-01-04,CUP-020,CUP,314,1407,368,7963.62,正常,22
2024-01-04,TLM-002,TLM,12,1537,115,7638.89,正常,16
2024-01-04,LRB-008,LRB,439,1883,748,59069.71,正常,21
2024-01-04,WLC-017,WLC,43,453,341,1168.74,低库存预警,5
2024-01-04,TLP-023,TLP,230,813,622,20698.98,正常,21
2024-01-04,HND-026,HND,207,651,380,19276.11,正常,19
2024-01-04,BUM-001,BUM,448,1876,329,9736.44,过库存,8
2024-01-04,LFR-012,LFR,251,295,363,5259.85,正常,0
2024-01-04,CUP-023,CUP,108,1807,757,22912.76,正常,3
2024-01-04,CUP-003,CUP,496,1215,204,41553.0,低库存预警,11
2024-01-04,VEN-012,VEN,43,158,375,2362.1,正常,4
2024-01-04,CUP-027,CUP,195,1568,308,31438.4,正常,11
2024-01-04,DUO-025,DUO,487,1910,722,23244.7,正常,3
2024-01-04,TLM-019,TLM,361,109,398,3214.41,过库存,5
2024-01-04,DRH-009,DRH,474,1723,192,22295.62,正常,21
2024-01-04,DRH-014,DRH,142,1519,565,11498.83,低库存预警,28
2024-01-04,LFR-022,LFR,328,75,739,2614.5,低库存预警,13
2024-01-04,TLM-011,TLM,131,274,515,9420.12,正常,29
2024-01-04,VEN-010,VEN,34,695,799,9104.5,过库存,21
2024-01-04,LFR-009,LFR,245,1994,314,32781.36,正常,6
2024-01-04,VEN-008,VEN,51,571,496,18968.62,低库存预警,25
2024-01-05,WLC-018,WLC,455,264,136,8585.28,正常,11
2024-01-05,CUP-013,CUP,451,325,516,6305.0,过库存,22
2024-01-05,WLC-019,WLC,495,622,247,12240.96,正常,15
2024-01-05,WLC-016,WLC,494,351,756,10877.49,过库存,28
2024-01-05,DRH-023,DRH,195,2000,551,16440.0,正常,20
2024-01-05,WLC-013,WLC,271,1885,390,44109.0,正常,26
2024-01-05,HND-010,HND,224,1103,619,35659.99,正常,6
2024-01-05,CUP-026,CUP,313,703,381,8175.89,过库存,27
2024-01-05,DUO-010,DUO,367,563,638,8580.12,正常,29
2024-01-05,BUM-017,BUM,434,274,530,1605.64,正常,25
2024-01-05,DUO-012,DUO,141,1706,682,19499.58,低库存预警,24
2024-01-05,CUP-029,CUP,458,1070,387,2407.5,低库存预警,10
2024-01-05,TLP-024,TLP,68,37,782,129.5,正常,12
2024-01-05,HND-021,HND,96,843,669,22415.37,正常,13
2024-01-05,DUO-013,DUO,429,72,115,255.6,过库存,19
2024-01-05,WLC-008,WLC,483,1848,624,31323.6,正常,6
2024-01-05,CUP-002,CUP,127,970,391,4656.0,正常,2
2024-01-05,WLC-023,WLC,95,1000,493,23920.0,过库存,10
2024-01-05,CUP-030,CUP,106,546,230,13966.68,正常,12
2024-01-05,DUO-015,DUO,486,399,536,8267.28,低库存预警,20
2024-01-05,DRH-029,DRH,271,1204,634,22936.2,正常,13
2024-01-05,TLM-001,TLM,401,1938,468,13236.54,正常,16
2024-01-05,DUO-003,DUO,377,1014,491,1612.26,正常,20
2024-01-05,TLP-016,TLP,373,687,661,17745.21,低库存预警,1
2024-01-05,BUM-019,BUM,414,874,368,16317.58,低库存预警,5
2024-01-05,TLP-025,TLP,317,1590,669,4881.3,正常,21
2024-01-05,LRB-009,LRB,286,1696,717,45859.84,低库存预警,6
2024-01-05,LFR-004,LFR,405,1553,684,28963.45,正常,27
2024-01-05,CUP-015,CUP,449,383,670,11670.01,低库存预警,24
2024-01-05,VEN-018,VEN,369,1937,497,12009.4,低库存预警,6
2024-01-05,TLP-021,TLP,81,1412,365,12256.16,正常,7
2024-01-05,HND-017,HND,234,1975,547,43410.5,过库存,24
2024-01-05,TLM-007,TLM,53,534,588,1778.22,低库存预警,30
2024-01-05,LRB-007,LRB,409,77,664,398.09,正常,0
2024-01-05,DUO-009,DUO,423,1712,179,35900.64,正常,15
2024-01-05,TLP-005,TLP,185,1953,727,11229.75,正常,10
2024-01-05,LFR-002,LFR,360,1781,295,19306.04,低库存预警,2
2024-01-05,TLP-004,TLP,304,1367,548,11619.5,低库存预警,30
2024-01-05,TLP-003,TLP,71,1193,512,18014.3,正常,7
2024-01-05,BUM-028,BUM,272,479,557,14954.38,正常,30
2024-01-05,VEN-030,VEN,84,454,155,5257.32,过库存,12
2024-01-05,TLM-006,TLM,310,1514,214,10340.62,正常,6
2024-01-05,HND-008,HND,440,520,712,12885.6,正常,29
2024-01-05,DRH-017,DRH,489,127,152,656.59,低库存预警,25
2024-01-05,LFR-007,LFR,77,129,671,448.92,过库存,14
2024-01-05,VEN-027,VEN,189,189,103,1697.22,正常,0
2024-01-05,DRH-013,DRH,264,1898,644,15582.58,正常,15
2024-01-05,DUO-011,DUO,290,1923,545,11249.55,正常,10
2024-01-05,BUM-011,BUM,235,1867,448,53545.56,正常,12
2024-01-05,WLC-004,WLC,100,715,220,4711.85,低库存预警,5
2024-01-05,BUM-010,BUM,264,356,103,11146.36,正常,7
2024-01-05,DRH-024,DRH,295,387,559,3076.65,正常,9
2024-01-05,WLC-007,WLC,417,1959,256,67389.6,低库存预警,8
2024-01-05,LRB-019,LRB,97,1525,294,51636.5,低库存预警,27
2024-01-05,LRB-004,LRB,483,1140,589,14911.2,过库存,13
2024-01-05,CUP-004,CUP,95,723,790,24704.91,过库存,3
2024-01-05,LFR-019,LFR,88,1371,125,22895.7,低库存预警,26
2024-01-05,WLC-005,WLC,394,1614,534,6197.76,正常,7
2024-01-05,TLP-018,TLP,413,1344,206,23990.4,正常,29
2024-01-05,VEN-008,VEN,452,346,605,11494.12,低库存预警,6
2024-01-06,WLC-015,WLC,163,1318,593,28442.44,正常,23
2024-01-06,BUM-004,BUM,212,1676,388,54185.08,过库存,20
2024-01-06,HND-024,HND,133,514,268,10758.02,过库存,4
2024-01-06,DRH-009,DRH,427,1885,588,24391.9,正常,9
2024-01-06,HND-014,HND,244,287,343,6509.16,过库存,21
2024-01-06,TLM-026,TLM,465,893,514,16609.8,过库存,26
2024-01-06,BUM-011,BUM,32,93,456,2667.24,低库存预警,14
2024-01-06,BUM-021,BUM,325,483,772,10983.42,正常,3
2024-01-06,CUP-029,CUP,346,904,263,2034.0,正常,21
2024-01-06,DUO-018,DUO,174,480,717,1228.8,正常,16
2024-01-06,WLC-023,WLC,299,44,193,1052.48,低库存预警,28
2024-01-06,TLM-007,TLM,36,1167,338,3886.11,正常,3
2024-01-06,LRB-001,LRB,409,944,742,11903.84,正常,2
2024-01-06,DUO-023,DUO,426,632,471,20641.12,过库存,20
2024-01-06,HND-022,HND,103,1719,271,55437.75,正常,4
2024-01-06,VEN-022,VEN,151,735,351,24659.25,过库存,7
2024-01-06,BUM-026,BUM,390,1535,762,17007.8,低库存预警,11
2024-01-06,LRB-014,LRB,500,1976,752,37464.96,低库存预警,12
2024-01-06,TLM-014,TLM,303,432,535,9313.92,正常,12
2024-01-06,TLP-021,TLP,458,1235,106,10719.8,低库存预警,6
2024-01-06,DUO-020,DUO,238,1131,723,24011.13,正常,26
2024-01-06,TLP-017,TLP,269,278,197,8042.54,过库存,5
2024-01-06,LRB-003,LRB,243,1531,640,30068.84,低库存预警,23
2024-01-06,TLP-004,TLP,377,1368,338,11628.0,正常,16
2024-01-06,DUO-016,DUO,118,943,281,21415.53,正常,14
2024-01-06,LFR-005,LFR,470,1565,749,2676.15,正常,27
2024-01-06,TLM-003,TLM,336,710,330,5765.2,正常,10
2024-01-06,LFR-009,LFR,11,1193,633,19612.92,正常,25
2024-01-06,TLP-022,TLP,180,65,291,1531.4,正常,9
2024-01-06,LRB-020,LRB,328,509,599,11131.83,低库存预警,23
2024-01-06,LFR-002,LFR,55,1179,422,12780.36,正常,9
2024-01-06,DUO-006,DUO,455,1152,778,38073.6,正常,8
2024-01-06,WLC-013,WLC,345,723,747,16918.2,低库存预警,2
2024-01-06,WLC-016,WLC,231,348,244,10784.52,低库存预警,24
2024-01-06,LFR-016,LFR,5,305,556,5127.05,正常,9
2024-01-06,TLM-023,TLM,298,1055,316,32451.8,过库存,22
2024-01-06,LRB-016,LRB,9,1222,767,29059.16,过库存,8
2024-01-06,BUM-003,BUM,450,89,211,1571.74,低库存预警,11
2024-01-06,LFR-001,LFR,59,250,328,995.0,正常,5
2024-01-06,DUO-001,DUO,376,503,328,9189.81,正常,27
2024-01-06,VEN-009,VEN,128,331,383,3012.1,正常,17
2024-01-06,BUM-025,BUM,58,1703,374,38351.56,低库存预警,2
2024-01-06,DUO-024,DUO,435,1653,535,16282.05,过库存,6
2024-01-06,WLC-020,WLC,391,231,190,2723.49,低库存预警,14
2024-01-06,DUO-014,DUO,465,1945,441,22542.55,低库存预警,9
2024-01-06,LFR-021,LFR,234,1213,472,23738.41,低库存预警,24
2024-01-06,HND-021,HND,455,464,243,12337.76,过库存,22
2024-01-06,DUO-011,DUO,149,1173,654,6862.05,过库存,30
2024-01-06,VEN-002,VEN,319,979,629,32659.44,正常,5
2024-01-06,DRH-028,DRH,95,1472,294,38757.76,低库存预警,9
2024-01-06,VEN-007,VEN,237,1215,163,18468.0,过库存,16
2024-01-06,LRB-007,LRB,224,840,106,4342.8,正常,24
2024-01-06,CUP-025,CUP,154,1001,452,32632.6,正常,25
2024-01-06,DRH-015,DRH,263,1861,152,13883.06,正常,25
2024-01-06,LRB-006,LRB,300,1660,688,56738.8,正常,11
2024-01-06,WLC-005,WLC,456,812,465,3118.08,正常,24
2024-01-06,DUO-021,DUO,232,471,614,4446.24,过库存,10
2024-01-06,BUM-019,BUM,5,764,702,14263.88,正常,7
2024-01-06,DRH-018,DRH,443,1521,702,31210.92,低库存预警,27
2024-01-06,CUP-013,CUP,212,1135,593,22019.0,低库存预警,3
2024-01-07,CUP-002,CUP,89,1186,243,5692.8,正常,5
2024-01-07,TLP-008,TLP,359,518,589,12390.56,正常,21
2024-01-07,TLP-024,TLP,160,378,679,1323.0,正常,13
2024-01-07,TLP-007,TLP,151,196,186,2281.44,过库存,19
2024-01-07,BUM-015,BUM,178,1576,546,17997.92,低库存预警,5
2024-01-07,LFR-022,LFR,146,1696,721,59122.56,正常,8
2024-01-07,LFR-019,LFR,117,1929,738,32214.3,正常,27
2024-01-07,HND-005,HND,292,1486,702,41236.5,正常,8
2024-01-07,TLM-009,TLM,459,900,132,18504.0,正常,11
2024-01-07,DUO-015,DUO,251,623,303,12908.56,正常,14
2024-01-07,DUO-011,DUO,307,420,462,2457.0,过库存,0
2024-01-07,BUM-026,BUM,421,1975,113,21883.0,低库存预警,18
2024-01-07,WLC-002,WLC,500,1049,791,27085.18,正常,30
2024-01-07,TLM-003,TLM,22,1417,496,11506.04,正常,15
2024-01-07,LRB-011,LRB,181,1851,393,9810.3,正常,26
2024-01-07,VEN-017,VEN,460,999,505,22637.34,过库存,23
2024-01-07,VEN-016,VEN,448,320,469,10684.8,正常,10
2024-01-07,HND-012,HND,83,1296,346,5546.88,正常,13
2024-01-07,BUM-003,BUM,209,839,225,14816.74,低库存预警,12
2024-01-07,TLP-002,TLP,234,1413,666,9382.32,正常,15
2024-01-07,CUP-013,CUP,379,374,300,7255.6,低库存预警,5
2024-01-07,CUP-025,CUP,193,1100,720,35860.0,低库存预警,17
2024-01-07,VEN-027,VEN,405,528,630,4741.44,正常,6
2024-01-07,VEN-003,VEN,402,1646,173,48343.02,正常,19
2024-01-07,DRH-019,DRH,313,1121,123,21579.25,正常,15
2024-01-07,LFR-006,LFR,425,1525,307,11468.0,低库存预警,27
2024-01-07,WLC-016,WLC,5,23,601,712.77,正常,30
2024-01-07,TLP-014,TLP,36,1602,731,52048.98,正常,21
2024-01-07,LRB-017,LRB,68,947,200,24101.15,低库存预警,25
2024-01-07,DRH-018,DRH,450,1469,619,30143.88,正常,20
2024-01-07,CUP-006,CUP,105,1450,429,27535.5,正常,7
2024-01-07,DRH-002,DRH,125,836,696,7850.04,正常,12
2024-01-07,LFR-015,LFR,457,992,321,4831.04,正常,6
2024-01-07,VEN-006,VEN,449,192,624,2680.32,正常,15
2024-01-07,LRB-001,LRB,316,336,728,4236.96,正常,3
2024-01-07,HND-013,HND,311,871,604,14615.38,正常,28
2024-01-07,BUM-021,BUM,296,237,626,5389.38,正常,18
2024-01-07,TLM-019,TLM,271,1742,283,51371.58,正常,4
2024-01-07,BUM-017,BUM,449,290,793,1699.4,过库存,8
2024-01-07,BUM-016,BUM,147,723,303,6347.94,正常,5
2024-01-07,DUO-012,DUO,60,1166,451,13327.38,低库存预警,1
2024-01-07,WLC-019,WLC,184,1541,781,30326.88,正常,16
2024-01-07,WLC-014,WLC,404,554,548,4786.56,过库存,22
2024-01-07,TLM-018,TLM,252,339,193,10044.57,正常,27
2024-01-07,WLC-024,WLC,271,913,321,6162.75,正常,14
2024-01-07,TLP-011,TLP,430,1813,106,62131.51,低库存预警,24
2024-01-07,VEN-015,VEN,113,732,361,23299.56,正常,28
