inspection_id,inspection_time,machine_id,sku,sample_size,defect_count,defect_rate,result,main_defect_type,inspector_id,standard
QI-0000089,2024-12-15 06:00:00,M06,CUP-018,21,0,0.0034,PASS,,QC-D,IATF 16949
QI-0000090,2024-03-27 07:00:00,M21,BUM-005,191,0,0.0039,PASS,,QC-B,IATF 16949
QI-0000091,2024-06-06 23:00:00,M20,TLM-018,144,0,0.0028,PASS,,QC-D,ISO 9001
QI-0000092,2024-06-23 13:00:00,M11,CUP-017,125,3,0.025,FAIL,尺寸不合格,QC-D,客户标准
QI-0000093,2025-12-09 21:00:00,M14,HND-006,32,0,0.0212,PASS,,QC-C,ISO 9001
QI-0000094,2026-03-11 07:00:00,M05,DRH-011,100,0,0.0067,PASS,,QC-A,客户标准
QI-0000095,2026-03-23 13:00:00,M02,VEN-012,169,5,0.031,PASS,变形,QC-C,IATF 16949
QI-0000096,2025-03-05 19:00:00,M02,CUP-009,86,0,0.0007,PASS,,QC-D,ISO 9001
QI-0000097,2024-06-25 02:00:00,M26,LFR-021,133,0,0.0046,PASS,,QC-B,IATF 16949
QI-0000098,2026-03-19 18:00:00,M10,DRH-008,64,0,0.0031,PASS,,QC-A,ISO 9001
QI-0000099,2024-03-29 03:00:00,M15,TLM-002,74,3,0.05,PASS,缺料,QC-C,IATF 16949
QI-0000100,2024-07-06 16:00:00,M05,CUP-006,112,0,0.0007,PASS,,QC-D,客户标准
QI-0000101,2026-04-05 04:00:00,M26,LFR-001,164,0,0.0024,PASS,,QC-C,IATF 16949
QI-0000102,2025-11-06 09:00:00,M03,DRH-003,100,0,0.0024,PASS,,QC-C,ISO 9001
QI-0000103,2025-07-19 11:00:00,M07,VEN-013,111,2,0.0211,PASS,银纹,QC-D,客户标准
QI-0000104,2024-06-24 11:00:00,M14,BUM-017,122,0,0.0074,PASS,,QC-C,客户标准
QI-0000105,2025-10-14 03:00:00,M15,TLM-026,155,0,0.0012,PASS,,QC-A,ISO 9001
QI-0000106,2026-01-20 20:00:00,M28,LFR-008,193,0,0.0029,PASS,,QC-A,ISO 9001
QI-0000107,2025-01-21 23:00:00,M02,CUP-019,145,4,0.0289,FAIL,色差,QC-D,IATF 16949
QI-0000108,2026-01-02 02:00:00,M02,VEN-015,53,0,0.0078,PASS,,QC-A,客户标准
QI-0000109,2024-01-21 14:00:00,M03,VEN-002,66,0,0.0049,PASS,,QC-B,ISO 9001
QI-0000110,2025-06-21 13:00:00,M19,HND-019,180,1,0.0086,PASS,色差,QC-A,客户标准
QI-0000111,2025-12-31 08:00:00,M01,CUP-010,74,0,0.0026,PASS,,QC-A,IATF 16949
QI-0000112,2025-12-14 06:00:00,M28,LFR-021,175,1,0.0073,PASS,色差,QC-D,IATF 16949
QI-0000113,2025-12-09 20:00:00,M11,CUP-018,96,0,0.0016,PASS,,QC-D,客户标准
QI-0000114,2025-09-14 03:00:00,M07,CUP-003,42,0,0.0163,PASS,,QC-A,IATF 16949
QI-0000115,2024-08-24 16:00:00,M12,VEN-028,81,2,0.0288,FAIL,飞边,QC-A,客户标准
QI-0000116,2025-06-05 16:00:00,M04,VEN-002,84,0,0.0041,PASS,,QC-B,IATF 16949
QI-0000117,2024-10-23 15:00:00,M24,WLC-005,148,0,0.0013,PASS,,QC-A,客户标准
QI-0000118,2025-02-09 20:00:00,M21,TLM-011,44,0,0.0029,PASS,,QC-A,客户标准
QI-0000119,2026-02-27 07:00:00,M18,HND-021,113,0,0.0084,PASS,,QC-A,IATF 16949
QI-0000120,2025-12-04 16:00:00,M06,DRH-012,159,1,0.008,PASS,银纹,QC-B,客户标准
QI-0000121,2025-06-24 02:00:00,M04,DRH-019,124,1,0.0143,FAIL,变形,QC-C,ISO 9001
QI-0000122,2024-03-30 15:00:00,M24,TLP-011,156,2,0.0156,PASS,气泡,QC-C,客户标准
QI-0000123,2024-08-11 17:00:00,M06,VEN-003,197,5,0.0255,PASS,色差,QC-B,ISO 9001
QI-0000124,2024-03-29 19:00:00,M10,VEN-028,82,0,0.0047,PASS,,QC-B,客户标准
QI-0000125,2024-01-01 13:00:00,M25,WLC-019,179,0,0.0021,PASS,,QC-A,IATF 16949
QI-0000126,2025-05-21 08:00:00,M14,HND-011,86,0,0.0017,PASS,,QC-A,客户标准
QI-0000127,2025-11-22 04:00:00,M09,VEN-004,81,0,0.0045,PASS,,QC-A,IATF 16949
QI-0000128,2024-09-04 11:00:00,M10,CUP-017,41,0,0.0033,PASS,,QC-C,客户标准
QI-0000129,2025-04-13 13:00:00,M16,HND-027,34,1,0.0451,PASS,气泡,QC-D,客户标准
QI-0000130,2024-07-22 05:00:00,M11,CUP-014,75,0,0.0068,PASS,,QC-D,客户标准
QI-0000131,2025-07-17 17:00:00,M09,CUP-022,161,0,0.0016,PASS,,QC-A,IATF 16949
QI-0000132,2025-10-21 06:00:00,M28,LRB-008,98,1,0.011,PASS,变形,QC-D,IATF 16949
QI-0000133,2024-06-14 08:00:00,M07,CUP-029,78,1,0.0186,PASS,银纹,QC-B,ISO 9001
QI-0000134,2024-08-25 15:00:00,M27,LFR-017,33,0,0.0022,PASS,,QC-B,客户标准
QI-0000135,2026-03-22 13:00:00,M03,VEN-013,127,1,0.0111,PASS,气泡,QC-B,客户标准
QI-0000136,2024-04-02 06:00:00,M06,DRH-008,104,2,0.028,PASS,缺料,QC-A,IATF 16949
QI-0000137,2025-05-18 18:00:00,M15,HND-004,185,0,0.004,PASS,,QC-D,ISO 9001
QI-0000138,2026-01-22 08:00:00,M13,VEN-011,91,0,0.0062,PASS,,QC-A,IATF 16949
QI-0000139,2024-12-22 18:00:00,M13,DRH-026,170,0,0.0036,PASS,,QC-A,IATF 16949
QI-0000140,2025-10-14 19:00:00,M11,VEN-005,198,6,0.0326,FAIL,缩痕,QC-C,ISO 9001
QI-0000141,2025-12-22 13:00:00,M06,CUP-020,27,0,0.0008,PASS,,QC-D,客户标准
QI-0000142,2026-04-09 15:00:00,M12,DRH-021,171,1,0.0112,PASS,飞边,QC-D,ISO 9001
QI-0000143,2025-11-25 02:00:00,M15,TLM-005,145,1,0.0101,PASS,尺寸不合格,QC-D,ISO 9001
QI-0000144,2024-01-22 15:00:00,M14,HND-006,142,0,0.0014,PASS,,QC-B,ISO 9001
QI-0000145,2024-03-27 14:00:00,M03,VEN-007,93,0,0.0094,PASS,,QC-D,客户标准
QI-0000146,2025-01-28 07:00:00,M21,TLM-020,76,0,0.0058,PASS,,QC-A,ISO 9001
QI-0000147,2025-06-14 06:00:00,M11,DRH-008,150,0,0.0022,PASS,,QC-C,客户标准
QI-0000148,2025-10-01 19:00:00,M15,BUM-021,41,0,0.0172,PASS,,QC-D,客户标准
QI-0000149,2025-08-18 18:00:00,M20,TLM-012,49,0,0.009,PASS,,QC-C,客户标准
QI-0000150,2025-01-14 21:00:00,M14,HND-003,162,0,0.0053,PASS,,QC-B,IATF 16949
QI-0000151,2025-07-21 17:00:00,M24,WLC-012,70,0,0.0061,PASS,,QC-C,ISO 9001
QI-0000152,2025-01-21 18:00:00,M16,HND-014,69,1,0.0223,PASS,缺料,QC-A,IATF 16949
QI-0000153,2024-11-08 13:00:00,M23,DUO-001,51,0,0.0014,PASS,,QC-C,客户标准
QI-0000154,2024-02-09 05:00:00,M29,LFR-008,43,0,0.0051,PASS,,QC-A,ISO 9001
QI-0000155,2025-08-09 21:00:00,M04,VEN-012,129,0,0.0027,PASS,,QC-C,IATF 16949
QI-0000156,2026-03-04 14:00:00,M10,DRH-020,57,0,0.0036,PASS,,QC-D,IATF 16949
QI-0000157,2026-04-22 17:00:00,M06,VEN-013,123,0,0.0068,PASS,,QC-D,ISO 9001
QI-0000158,2025-08-31 12:00:00,M10,CUP-024,83,0,0.0039,PASS,,QC-B,ISO 9001
QI-0000159,2025-10-22 23:00:00,M07,DRH-029,161,2,0.0126,PASS,银纹,QC-D,ISO 9001
QI-0000160,2026-01-15 15:00:00,M28,LRB-022,43,0,0.0087,PASS,,QC-C,客户标准
QI-0000161,2024-02-07 00:00:00,M03,VEN-009,199,0,0.0043,PASS,,QC-D,客户标准
QI-0000162,2025-07-15 09:00:00,M13,DRH-010,146,1,0.011,FAIL,缩痕,QC-D,客户标准
QI-0000163,2025-08-29 02:00:00,M17,HND-013,116,0,0.004,PASS,,QC-B,客户标准
QI-0000164,2025-09-04 06:00:00,M15,HND-024,76,0,0.004,PASS,,QC-B,ISO 9001
QI-0000165,2025-01-18 17:00:00,M10,DRH-012,38,0,0.0251,PASS,,QC-C,IATF 16949
QI-0000166,2024-01-07 04:00:00,M28,LRB-009,48,0,0.0074,PASS,,QC-C,客户标准
QI-0000167,2025-09-16 01:00:00,M14,BUM-017,179,0,0.0039,PASS,,QC-A,ISO 9001
QI-0000168,2025-01-06 23:00:00,M12,VEN-016,47,0,0.0083,PASS,,QC-D,IATF 16949
QI-0000169,2024-07-09 16:00:00,M01,VEN-001,141,0,0.002,PASS,,QC-B,ISO 9001
QI-0000170,2025-02-22 14:00:00,M14,BUM-024,51,0,0.0059,PASS,,QC-D,IATF 16949
QI-0000171,2025-12-09 16:00:00,M01,DRH-017,32,0,0.0017,PASS,,QC-C,IATF 16949
QI-0000172,2024-12-08 15:00:00,M10,VEN-026,109,0,0.0086,PASS,,QC-C,IATF 16949
QI-0000173,2024-11-26 18:00:00,M02,VEN-002,163,0,0.0022,PASS,,QC-A,IATF 16949
QI-0000174,2024-04-08 21:00:00,M26,LFR-013,170,0,0.0038,PASS,,QC-A,ISO 9001
QI-0000175,2024-09-14 02:00:00,M24,WLC-011,95,0,0.0009,PASS,,QC-D,客户标准
QI-0000176,2025-03-11 09:00:00,M24,WLC-025,81,0,0.0071,PASS,,QC-A,ISO 9001
QI-0000177,2025-02-13 11:00:00,M15,HND-021,120,1,0.0136,FAIL,色差,QC-D,ISO 9001
QI-0000178,2024-06-29 03:00:00,M05,CUP-029,20,0,0.0143,PASS,,QC-A,客户标准
QI-0000179,2026-04-12 19:00:00,M24,TLP-009,178,0,0.0015,PASS,,QC-A,IATF 16949
QI-0000180,2025-01-30 21:00:00,M17,TLM-020,21,0,0.0095,PASS,,QC-C,客户标准
QI-0000181,2024-01-21 16:00:00,M18,BUM-026,165,1,0.0109,PASS,飞边,QC-B,客户标准
QI-0000182,2026-03-21 20:00:00,M03,DRH-005,93,1,0.0111,PASS,色差,QC-C,ISO 9001
QI-0000183,2024-08-20 04:00:00,M08,VEN-026,147,0,0.0025,PASS,,QC-B,IATF 16949
QI-0000184,2024-04-08 13:00:00,M23,WLC-013,191,0,0.0023,PASS,,QC-C,客户标准
QI-0000185,2024-07-04 04:00:00,M02,CUP-018,137,1,0.0074,PASS,变形,QC-C,客户标准
QI-0000186,2024-10-09 08:00:00,M11,VEN-004,150,1,0.0109,PASS,尺寸不合格,QC-D,ISO 9001
QI-0000187,2024-02-04 17:00:00,M29,LRB-022,97,0,0.009,PASS,,QC-A,ISO 9001
QI-0000188,2025-10-08 11:00:00,M10,VEN-005,198,1,0.0074,PASS,熔接痕,QC-B,IATF 16949
QI-0000189,2024-04-08 04:00:00,M26,LFR-011,120,0,0.0029,PASS,,QC-B,IATF 16949
QI-0000190,2026-02-04 16:00:00,M01,DRH-014,34,0,0.0033,PASS,,QC-A,IATF 16949
QI-0000191,2025-09-16 08:00:00,M15,TLM-016,104,1,0.0097,PASS,气泡,QC-B,客户标准
QI-0000192,2025-01-12 23:00:00,M05,VEN-029,196,0,0.005,PASS,,QC-B,IATF 16949
QI-0000193,2025-01-01 01:00:00,M17,BUM-019,40,0,0.0212,PASS,,QC-A,IATF 16949
QI-0000194,2024-08-07 20:00:00,M29,LRB-014,193,2,0.0136,PASS,色差,QC-D,客户标准
QI-0000195,2025-05-13 03:00:00,M11,CUP-021,151,0,0.0042,PASS,,QC-D,ISO 9001
QI-0000196,2025-05-27 03:00:00,M29,LFR-012,141,1,0.0131,PASS,黑点,QC-D,客户标准
QI-0000197,2026-01-15 09:00:00,M01,VEN-028,144,0,0.0036,PASS,,QC-A,ISO 9001
QI-0000198,2025-04-13 15:00:00,M13,DRH-013,53,0,0.0165,PASS,,QC-D,IATF 16949
QI-0000199,2025-12-14 12:00:00,M27,LRB-008,34,0,0.0045,PASS,,QC-B,客户标准
QI-0000200,2024-11-22 23:00:00,M08,DRH-027,109,1,0.0119,PASS,变形,QC-C,IATF 16949
QI-0000201,2025-01-05 10:00:00,M09,VEN-024,154,0,0.0018,PASS,,QC-D,IATF 16949
QI-0000202,2024-07-09 04:00:00,M12,VEN-005,191,1,0.0084,PASS,色差,QC-D,ISO 9001
QI-0000203,2024-11-16 02:00:00,M11,CUP-014,141,1,0.012,FAIL,缩痕,QC-D,IATF 16949
QI-0000204,2025-02-06 03:00:00,M24,TLP-020,93,0,0.002,PASS,,QC-D,客户标准
QI-0000205,2025-08-09 01:00:00,M28,LFR-008,61,0,0.0012,PASS,,QC-A,客户标准
QI-0000206,2026-03-24 23:00:00,M03,DRH-028,51,2,0.05,PASS,色差,QC-C,ISO 9001
QI-0000207,2024-08-04 16:00:00,M19,BUM-008,52,0,0.0043,PASS,,QC-B,IATF 16949
QI-0000208,2025-04-04 18:00:00,M25,TLP-005,116,0,0.0042,PASS,,QC-D,IATF 16949
QI-0000209,2025-03-15 04:00:00,M05,VEN-029,140,0,0.007,PASS,,QC-D,客户标准
QI-0000210,2024-07-04 13:00:00,M11,DRH-025,57,0,0.0131,PASS,,QC-C,IATF 16949
QI-0000211,2024-12-28 14:00:00,M21,HND-020,43,0,0.0113,PASS,,QC-B,IATF 16949
QI-0000212,2025-11-16 16:00:00,M09,DRH-007,153,0,0.0031,PASS,,QC-C,IATF 16949
QI-0000213,2024-06-20 18:00:00,M11,DRH-002,189,9,0.05,PASS,尺寸不合格,QC-B,客户标准
QI-0000214,2025-04-06 13:00:00,M01,DRH-009,33,0,0.0035,PASS,,QC-C,ISO 9001
QI-0000215,2026-04-13 19:00:00,M08,DRH-001,172,1,0.0097,PASS,变形,QC-D,IATF 16949
QI-0000216,2024-04-29 16:00:00,M04,DRH-018,179,1,0.0072,PASS,变形,QC-C,IATF 16949
QI-0000217,2024-03-15 21:00:00,M17,BUM-016,20,0,0.0082,PASS,,QC-C,ISO 9001
QI-0000218,2025-04-12 09:00:00,M10,VEN-016,68,1,0.0177,FAIL,缩痕,QC-B,客户标准
QI-0000219,2025-01-02 09:00:00,M14,TLM-018,159,2,0.0135,FAIL,黑点,QC-C,ISO 9001
QI-0000220,2025-09-30 18:00:00,M07,DRH-004,57,0,0.0035,PASS,,QC-A,客户标准
QI-0000221,2024-01-14 09:00:00,M25,WLC-005,165,0,0.0011,PASS,,QC-B,ISO 9001
QI-0000222,2025-07-28 19:00:00,M29,LFR-001,193,0,0.0041,PASS,,QC-B,客户标准
QI-0000223,2026-01-07 02:00:00,M19,BUM-011,114,0,0.0078,PASS,,QC-B,ISO 9001
QI-0000224,2024-02-14 18:00:00,M10,DRH-025,91,0,0.0075,PASS,,QC-D,ISO 9001
QI-0000225,2025-05-30 16:00:00,M26,LRB-016,173,1,0.0064,PASS,气泡,QC-D,ISO 9001
QI-0000226,2025-10-21 08:00:00,M17,HND-003,66,0,0.006,PASS,,QC-C,IATF 16949
QI-0000227,2025-04-12 00:00:00,M15,BUM-003,103,1,0.0124,PASS,缺料,QC-A,IATF 16949
QI-0000228,2025-07-02 23:00:00,M17,TLM-010,48,2,0.05,PASS,缩痕,QC-B,客户标准
QI-0000229,2026-04-01 06:00:00,M15,TLM-014,95,1,0.0181,FAIL,银纹,QC-C,客户标准
QI-0000230,2025-05-25 17:00:00,M12,VEN-002,64,0,0.0119,PASS,,QC-C,客户标准
QI-0000231,2024-03-03 19:00:00,M22,TLM-007,159,1,0.0067,PASS,尺寸不合格,QC-C,客户标准
QI-0000232,2025-07-03 04:00:00,M26,LFR-019,176,0,0.0031,PASS,,QC-C,ISO 9001
QI-0000233,2025-06-25 21:00:00,M26,LFR-013,182,1,0.01,PASS,缩痕,QC-B,ISO 9001
QI-0000234,2024-07-09 02:00:00,M15,BUM-008,34,0,0.0053,PASS,,QC-B,客户标准
QI-0000235,2024-01-30 22:00:00,M15,TLM-015,193,2,0.0119,PASS,气泡,QC-B,IATF 16949
QI-0000236,2024-04-05 18:00:00,M04,CUP-005,175,2,0.0155,PASS,熔接痕,QC-C,客户标准
QI-0000237,2024-02-07 06:00:00,M01,CUP-010,168,0,0.0059,PASS,,QC-A,ISO 9001
QI-0000238,2026-04-28 23:00:00,M21,TLM-026,76,0,0.0066,PASS,,QC-D,客户标准
QI-0000239,2024-02-11 02:00:00,M27,LRB-019,121,0,0.0051,PASS,,QC-D,IATF 16949
QI-0000240,2024-12-11 05:00:00,M20,BUM-009,68,1,0.021,PASS,缺料,QC-C,IATF 16949
QI-0000241,2026-04-27 00:00:00,M11,VEN-006,101,1,0.0111,PASS,变形,QC-B,客户标准
QI-0000242,2025-10-30 10:00:00,M06,VEN-021,46,0,0.0111,PASS,,QC-B,客户标准
QI-0000243,2025-04-20 11:00:00,M07,VEN-020,77,0,0.0018,PASS,,QC-A,ISO 9001
QI-0000244,2024-02-26 15:00:00,M01,VEN-026,139,1,0.0117,PASS,气泡,QC-A,客户标准
QI-0000245,2024-08-10 14:00:00,M05,DRH-027,63,0,0.0033,PASS,,QC-B,客户标准
QI-0000246,2025-04-27 01:00:00,M14,TLM-016,184,6,0.0356,PASS,熔接痕,QC-A,IATF 16949
QI-0000247,2024-11-21 19:00:00,M13,CUP-020,127,0,0.0054,PASS,,QC-A,IATF 16949
QI-0000248,2024-05-21 21:00:00,M10,CUP-023,141,2,0.0154,FAIL,黑点,QC-B,IATF 16949
QI-0000249,2024-02-23 10:00:00,M20,TLM-003,55,2,0.0437,PASS,变形,QC-C,ISO 9001
QI-0000250,2024-03-14 06:00:00,M16,TLM-004,120,2,0.0197,PASS,气泡,QC-C,客户标准
