shift_id,shift_date,shift_name,operator_id,operator_name,assigned_machines,effective_hours,overtime_hours,attended
SH-0000127,2024-01-03,晚班,OP003,操作员03,M29,6.76,1.22,True
SH-0000128,2024-01-03,晚班,OP019,操作员19,M25;M12;M09,6.51,0.62,False
SH-0000129,2024-01-03,晚班,OP019,操作员19,M22;M14,7.77,1.59,True
SH-0000130,2024-01-03,晚班,OP025,操作员25,M15,6.91,1.33,False
SH-0000131,2024-01-03,晚班,OP021,操作员21,M16;M18,6.87,0.16,False
SH-0000132,2024-01-03,晚班,OP028,操作员28,M14;M15,8.36,0.71,True
SH-0000133,2024-01-03,晚班,OP012,操作员12,M11;M02;M19,7.16,1.56,True
SH-0000134,2024-01-03,晚班,OP038,操作员38,M12,8.15,1.26,True
SH-0000135,2024-01-03,晚班,OP033,操作员33,M23,7.85,0.06,True
SH-0000136,2024-01-03,晚班,OP013,操作员13,M11;M27,8.38,0.88,True
SH-0000137,2024-01-03,晚班,OP038,操作员38,M17;M15,6.66,1.34,True
SH-0000138,2024-01-03,晚班,OP037,操作员37,M20;M13,7.8,1.43,True
SH-0000139,2024-01-03,晚班,OP002,操作员02,M13,8.44,0.8,True
SH-0000140,2024-01-03,晚班,OP019,操作员19,M14,7.98,1.68,True
SH-0000141,2024-01-04,白班,OP044,操作员44,M29;M17;M24,8.33,1.33,True
SH-0000142,2024-01-04,白班,OP034,操作员34,M21;M20;M02,8.03,1.7,True
SH-0000143,2024-01-04,白班,OP020,操作员20,M06;M15,8.04,0.03,True
SH-0000144,2024-01-04,白班,OP045,操作员45,M16;M05;M07,7.81,0.43,True
SH-0000145,2024-01-04,白班,OP039,操作员39,M25;M22;M04,7.38,0.4,True
SH-0000146,2024-01-04,白班,OP030,操作员30,M07;M03;M25,7.71,1.88,True
SH-0000147,2024-01-04,白班,OP017,操作员17,M04;M06,8.16,1.6,True
SH-0000148,2024-01-04,白班,OP045,操作员45,M04;M15;M13,7.01,0.73,True
SH-0000149,2024-01-04,白班,OP026,操作员26,M20;M25,6.61,0.45,True
SH-0000150,2024-01-04,白班,OP028,操作员28,M17,8.43,0.24,True
SH-0000151,2024-01-04,白班,OP046,操作员46,M14,8.43,1.47,True
SH-0000152,2024-01-04,白班,OP033,操作员33,M02;M10,7.3,0.15,False
SH-0000153,2024-01-04,白班,OP007,操作员07,M06;M02;M22,6.61,1.73,True
SH-0000154,2024-01-04,白班,OP018,操作员18,M08;M07;M26,7.86,1.37,True
SH-0000155,2024-01-04,白班,OP047,操作员47,M21,7.72,0.41,False
SH-0000156,2024-01-04,白班,OP011,操作员11,M05;M19,8.07,0.61,True
SH-0000157,2024-01-04,白班,OP001,操作员01,M07,6.6,0.76,True
SH-0000158,2024-01-04,夜班,OP039,操作员39,M21;M11,8.03,0.46,True
SH-0000159,2024-01-04,夜班,OP019,操作员19,M13,7.4,0.09,True
SH-0000160,2024-01-04,夜班,OP011,操作员11,M26;M25,7.58,1.9,True
SH-0000161,2024-01-04,夜班,OP034,操作员34,M26;M02,6.7,1.68,False
SH-0000162,2024-01-04,夜班,OP028,操作员28,M29,6.99,0.13,False
SH-0000163,2024-01-04,夜班,OP037,操作员37,M12;M19,6.86,0.78,True
SH-0000164,2024-01-04,夜班,OP025,操作员25,M10;M27;M29,7.26,0.13,True
SH-0000165,2024-01-04,夜班,OP038,操作员38,M13,8.2,1.55,True
SH-0000166,2024-01-04,夜班,OP048,操作员48,M12;M08,6.81,0.06,True
SH-0000167,2024-01-04,夜班,OP011,操作员11,M14;M21,6.77,0.59,True
SH-0000168,2024-01-04,夜班,OP030,操作员30,M14;M15;M01,7.84,1.81,True
SH-0000169,2024-01-04,夜班,OP033,操作员33,M11;M16;M21,6.67,1.91,True
SH-0000170,2024-01-04,夜班,OP002,操作员02,M15;M16,7.0,0.03,True
SH-0000171,2024-01-04,夜班,OP009,操作员09,M07;M11;M09,7.19,1.31,True
SH-0000172,2024-01-04,夜班,OP030,操作员30,M13,7.57,0.97,True
SH-0000173,2024-01-04,夜班,OP007,操作员07,M29,6.5,0.21,True
SH-0000174,2024-01-04,夜班,OP038,操作员38,M14;M07;M13,8.37,1.27,False
SH-0000175,2024-01-04,夜班,OP037,操作员37,M05;M12,6.87,1.09,True
SH-0000176,2024-01-04,夜班,OP006,操作员06,M02;M22;M08,6.87,1.51,True
SH-0000177,2024-01-04,夜班,OP007,操作员07,M12;M04,7.39,0.85,True
SH-0000178,2024-01-04,晚班,OP041,操作员41,M04,7.22,0.25,False
SH-0000179,2024-01-04,晚班,OP007,操作员07,M02;M18,7.43,0.62,True
SH-0000180,2024-01-04,晚班,OP038,操作员38,M10,8.09,0.98,True
SH-0000181,2024-01-04,晚班,OP009,操作员09,M12;M20,7.26,0.22,True
SH-0000182,2024-01-04,晚班,OP038,操作员38,M15;M12,7.52,1.35,True
SH-0000183,2024-01-04,晚班,OP047,操作员47,M17;M19;M21,6.83,0.76,True
SH-0000184,2024-01-04,晚班,OP020,操作员20,M25,6.73,0.53,True
SH-0000185,2024-01-04,晚班,OP046,操作员46,M29;M18,6.82,1.31,True
SH-0000186,2024-01-04,晚班,OP020,操作员20,M18;M26,6.66,1.83,False
SH-0000187,2024-01-04,晚班,OP014,操作员14,M25;M04,7.59,0.64,False
SH-0000188,2024-01-04,晚班,OP038,操作员38,M17;M10;M27,7.82,1.07,True
SH-0000189,2024-01-04,晚班,OP041,操作员41,M12;M15;M09,7.66,0.49,True
SH-0000190,2024-01-04,晚班,OP006,操作员06,M09;M15,8.34,1.23,False
SH-0000191,2024-01-04,晚班,OP042,操作员42,M07;M11;M03,7.7,0.59,True
SH-0000192,2024-01-04,晚班,OP036,操作员36,M17;M15,7.77,1.82,True
SH-0000193,2024-01-04,晚班,OP028,操作员28,M09;M06;M29,6.62,2.0,True
SH-0000194,2024-01-04,晚班,OP013,操作员13,M27;M24;M05,8.44,1.59,True
SH-0000195,2024-01-04,晚班,OP025,操作员25,M15;M29,8.21,0.7,False
SH-0000196,2024-01-05,白班,OP039,操作员39,M05;M03,6.99,1.4,True
SH-0000197,2024-01-05,白班,OP005,操作员05,M02;M05,7.33,1.38,True
SH-0000198,2024-01-05,白班,OP024,操作员24,M23;M11,8.36,0.66,True
SH-0000199,2024-01-05,白班,OP022,操作员22,M29;M27,7.93,1.8,True
SH-0000200,2024-01-05,白班,OP002,操作员02,M19;M18,8.46,1.18,True
SH-0000201,2024-01-05,白班,OP003,操作员03,M20;M08,8.24,1.02,True
SH-0000202,2024-01-05,白班,OP037,操作员37,M14,7.71,1.75,True
SH-0000203,2024-01-05,白班,OP047,操作员47,M12;M28,7.85,0.04,True
SH-0000204,2024-01-05,白班,OP027,操作员27,M01;M12;M24,8.17,0.37,True
SH-0000205,2024-01-05,白班,OP021,操作员21,M08,7.51,1.93,True
SH-0000206,2024-01-05,白班,OP018,操作员18,M12;M27,8.17,0.04,True
SH-0000207,2024-01-05,白班,OP030,操作员30,M01;M15;M29,7.71,1.77,False
SH-0000208,2024-01-05,白班,OP031,操作员31,M02;M27;M24,7.85,1.98,False
SH-0000209,2024-01-05,白班,OP039,操作员39,M17,7.3,1.05,False
SH-0000210,2024-01-05,白班,OP039,操作员39,M13,7.65,1.16,True
SH-0000211,2024-01-05,白班,OP005,操作员05,M03;M24,6.56,1.51,True
SH-0000212,2024-01-05,白班,OP033,操作员33,M17;M27,7.97,1.58,True
SH-0000213,2024-01-05,白班,OP010,操作员10,M02,7.43,1.52,True
SH-0000214,2024-01-05,白班,OP020,操作员20,M03;M29,6.83,0.91,True
SH-0000215,2024-01-05,白班,OP023,操作员23,M15,8.1,0.57,True
SH-0000216,2024-01-05,夜班,OP013,操作员13,M03;M22;M14,7.05,0.35,True
SH-0000217,2024-01-05,夜班,OP036,操作员36,M24;M18,6.7,0.62,True
SH-0000218,2024-01-05,夜班,OP034,操作员34,M05;M04;M02,6.67,0.21,True
SH-0000219,2024-01-05,夜班,OP016,操作员16,M25,7.63,0.15,False
SH-0000220,2024-01-05,夜班,OP026,操作员26,M23,7.54,0.13,True
SH-0000221,2024-01-05,夜班,OP035,操作员35,M05;M03;M01,8.27,1.14,True
SH-0000222,2024-01-05,夜班,OP042,操作员42,M10;M21;M13,7.34,0.37,True
SH-0000223,2024-01-05,夜班,OP023,操作员23,M01,7.0,0.61,False
SH-0000224,2024-01-05,夜班,OP040,操作员40,M15;M02;M29,7.28,0.49,True
SH-0000225,2024-01-05,夜班,OP028,操作员28,M22;M14;M10,7.37,0.1,True
SH-0000226,2024-01-05,夜班,OP044,操作员44,M29;M16;M01,7.12,1.16,True
SH-0000227,2024-01-05,夜班,OP001,操作员01,M26;M04,7.04,0.72,True
SH-0000228,2024-01-05,夜班,OP026,操作员26,M19;M17;M11,6.65,0.46,True
SH-0000229,2024-01-05,夜班,OP033,操作员33,M01,6.85,0.42,True
SH-0000230,2024-01-05,晚班,OP031,操作员31,M24;M19,6.54,0.86,False
SH-0000231,2024-01-05,晚班,OP032,操作员32,M29;M23;M22,7.17,0.95,True
SH-0000232,2024-01-05,晚班,OP031,操作员31,M12;M19;M01,8.24,1.31,True
SH-0000233,2024-01-05,晚班,OP004,操作员04,M25;M23,7.43,0.67,True
SH-0000234,2024-01-05,晚班,OP003,操作员03,M21,8.23,0.89,True
SH-0000235,2024-01-05,晚班,OP026,操作员26,M27;M19,7.59,0.69,False
SH-0000236,2024-01-05,晚班,OP004,操作员04,M22;M23,7.33,0.31,False
SH-0000237,2024-01-05,晚班,OP038,操作员38,M04,6.53,0.87,True
SH-0000238,2024-01-05,晚班,OP034,操作员34,M28;M19,7.89,0.46,True
SH-0000239,2024-01-05,晚班,OP032,操作员32,M01,6.59,0.38,True
SH-0000240,2024-01-05,晚班,OP041,操作员41,M21;M27,8.49,1.17,False
SH-0000241,2024-01-05,晚班,OP027,操作员27,M09;M10,6.94,1.52,True
SH-0000242,2024-01-06,白班,OP005,操作员05,M03;M28;M01,6.69,0.96,False
SH-0000243,2024-01-06,白班,OP032,操作员32,M21;M09;M26,6.58,1.85,True
SH-0000244,2024-01-06,白班,OP028,操作员28,M11;M27;M24,7.37,1.54,False
SH-0000245,2024-01-06,白班,OP016,操作员16,M17;M20,7.31,1.26,True
SH-0000246,2024-01-06,白班,OP004,操作员04,M27;M19,7.95,0.58,False
SH-0000247,2024-01-06,白班,OP012,操作员12,M19;M13;M03,6.54,1.7,True
SH-0000248,2024-01-06,白班,OP041,操作员41,M10;M03;M14,6.71,0.33,True
SH-0000249,2024-01-06,白班,OP048,操作员48,M04;M23,8.25,1.99,True
SH-0000250,2024-01-06,白班,OP005,操作员05,M15,8.01,1.59,False
SH-0000251,2024-01-06,白班,OP042,操作员42,M13,6.81,1.08,True
SH-0000252,2024-01-06,白班,OP041,操作员41,M04,7.05,1.75,True
SH-0000253,2024-01-06,白班,OP039,操作员39,M24;M09;M23,7.67,1.75,True
SH-0000254,2024-01-06,白班,OP002,操作员02,M21;M24;M15,7.96,1.51,True
SH-0000255,2024-01-06,白班,OP044,操作员44,M04;M18;M01,7.44,0.91,True
SH-0000256,2024-01-06,白班,OP024,操作员24,M17,6.76,1.27,True
SH-0000257,2024-01-06,白班,OP014,操作员14,M02,6.82,0.07,False
SH-0000258,2024-01-06,夜班,OP015,操作员15,M19;M12,7.2,1.86,True
SH-0000259,2024-01-06,夜班,OP005,操作员05,M08,7.26,1.35,True
SH-0000260,2024-01-06,夜班,OP035,操作员35,M21;M23,7.15,1.38,True
SH-0000261,2024-01-06,夜班,OP033,操作员33,M17;M08;M11,6.78,0.72,False
SH-0000262,2024-01-06,夜班,OP007,操作员07,M05;M02;M25,8.49,1.84,True
SH-0000263,2024-01-06,夜班,OP044,操作员44,M17;M13,6.82,1.76,True
SH-0000264,2024-01-06,夜班,OP042,操作员42,M16;M03;M19,7.94,0.61,True
SH-0000265,2024-01-06,夜班,OP039,操作员39,M27;M18;M11,7.29,0.79,True
SH-0000266,2024-01-06,夜班,OP001,操作员01,M17;M18,7.62,0.69,True
SH-0000267,2024-01-06,夜班,OP028,操作员28,M06;M10;M09,7.86,0.51,True
SH-0000268,2024-01-06,夜班,OP012,操作员12,M10;M27,7.53,0.68,False
SH-0000269,2024-01-06,夜班,OP042,操作员42,M02;M29;M18,8.05,0.12,True
SH-0000270,2024-01-06,夜班,OP029,操作员29,M10;M25;M20,7.25,1.85,True
SH-0000271,2024-01-06,夜班,OP042,操作员42,M17;M01;M23,7.76,1.73,True
SH-0000272,2024-01-06,夜班,OP002,操作员02,M23,7.44,0.81,True
SH-0000273,2024-01-06,夜班,OP007,操作员07,M24,7.9,0.71,False
SH-0000274,2024-01-06,夜班,OP011,操作员11,M16;M06;M22,7.08,1.7,True
SH-0000275,2024-01-06,夜班,OP038,操作员38,M23;M28,6.52,0.26,False
SH-0000276,2024-01-06,夜班,OP010,操作员10,M09,6.78,1.04,True
SH-0000277,2024-01-06,晚班,OP040,操作员40,M14;M29,8.44,1.76,True
SH-0000278,2024-01-06,晚班,OP018,操作员18,M24,6.65,0.16,True
SH-0000279,2024-01-06,晚班,OP047,操作员47,M22;M27;M09,7.01,0.13,True
SH-0000280,2024-01-06,晚班,OP041,操作员41,M18,7.51,1.11,True
SH-0000281,2024-01-06,晚班,OP028,操作员28,M06,7.36,0.49,True
SH-0000282,2024-01-06,晚班,OP033,操作员33,M17,7.07,0.93,True
SH-0000283,2024-01-06,晚班,OP035,操作员35,M27;M14,7.18,1.08,True
SH-0000284,2024-01-06,晚班,OP011,操作员11,M25;M11,7.55,0.99,True
SH-0000285,2024-01-06,晚班,OP016,操作员16,M28,7.14,1.34,True
SH-0000286,2024-01-06,晚班,OP037,操作员37,M20;M28,8.12,1.12,True
SH-0000287,2024-01-06,晚班,OP003,操作员03,M09,8.31,1.49,True
SH-0000288,2024-01-06,晚班,OP011,操作员11,M14,7.31,0.72,True
SH-0000289,2024-01-07,白班,OP001,操作员01,M25;M12,7.2,1.34,True
SH-0000290,2024-01-07,白班,OP008,操作员08,M29;M02;M21,7.11,1.14,True
SH-0000291,2024-01-07,白班,OP011,操作员11,M07;M04;M03,8.36,1.68,True
SH-0000292,2024-01-07,白班,OP003,操作员03,M01;M11;M03,6.77,0.36,False
SH-0000293,2024-01-07,白班,OP012,操作员12,M29;M08,8.45,1.25,False
SH-0000294,2024-01-07,白班,OP047,操作员47,M29,8.21,0.39,True
SH-0000295,2024-01-07,白班,OP043,操作员43,M25;M15,7.92,0.5,True
SH-0000296,2024-01-07,白班,OP024,操作员24,M02;M21;M25,8.09,1.1,True
SH-0000297,2024-01-07,白班,OP018,操作员18,M17;M19,7.95,0.92,True
SH-0000298,2024-01-07,白班,OP016,操作员16,M25;M11;M08,7.79,0.74,True
SH-0000299,2024-01-07,白班,OP035,操作员35,M24,6.51,1.4,True
SH-0000300,2024-01-07,白班,OP026,操作员26,M14;M10;M01,7.6,0.33,True
SH-0000301,2024-01-07,白班,OP044,操作员44,M17,6.79,0.57,True
SH-0000302,2024-01-07,白班,OP022,操作员22,M12,8.01,0.83,False
SH-0000303,2024-01-07,白班,OP016,操作员16,M26;M29,8.02,1.22,True
SH-0000304,2024-01-07,白班,OP029,操作员29,M25;M14;M16,8.15,0.97,True
SH-0000305,2024-01-07,夜班,OP014,操作员14,M18;M03;M25,8.45,0.58,True
SH-0000306,2024-01-07,夜班,OP023,操作员23,M20;M17;M15,6.85,1.3,True
SH-0000307,2024-01-07,夜班,OP017,操作员17,M12,7.94,0.88,True
SH-0000308,2024-01-07,夜班,OP004,操作员04,M18;M20,7.33,1.96,True
SH-0000309,2024-01-07,夜班,OP005,操作员05,M19;M21;M16,6.72,1.55,False
SH-0000310,2024-01-07,夜班,OP022,操作员22,M20;M13;M15,8.03,0.07,False
SH-0000311,2024-01-07,夜班,OP022,操作员22,M07;M13;M23,7.69,0.78,True
SH-0000312,2024-01-07,夜班,OP009,操作员09,M29,6.69,1.13,False
SH-0000313,2024-01-07,夜班,OP035,操作员35,M10;M20,7.29,0.67,True
SH-0000314,2024-01-07,夜班,OP048,操作员48,M16;M11;M02,7.14,0.01,False
SH-0000315,2024-01-07,夜班,OP035,操作员35,M18;M09,6.74,1.36,True
SH-0000316,2024-01-07,夜班,OP009,操作员09,M19,6.88,1.17,True
SH-0000317,2024-01-07,夜班,OP007,操作员07,M01,8.07,1.31,True
SH-0000318,2024-01-07,夜班,OP032,操作员32,M24;M16,6.85,1.79,True
SH-0000319,2024-01-07,夜班,OP040,操作员40,M09,7.46,1.22,False
SH-0000320,2024-01-07,夜班,OP020,操作员20,M07;M20,6.84,0.21,False
SH-0000321,2024-01-07,夜班,OP011,操作员11,M22;M19,6.84,1.83,True
SH-0000322,2024-01-07,晚班,OP005,操作员05,M15;M11,6.67,0.85,False
SH-0000323,2024-01-07,晚班,OP010,操作员10,M08,7.33,1.17,False
SH-0000324,2024-01-07,晚班,OP023,操作员23,M03,6.96,0.18,True
SH-0000325,2024-01-07,晚班,OP042,操作员42,M11;M02,7.69,1.95,False
SH-0000326,2024-01-07,晚班,OP044,操作员44,M02,6.52,0.97,True
