log_date,shift,machine_id,runtime_hours,energy_consumed_kwh,energy_cost_yuan,eco_mode_enabled
2024-01-02,白班,M02,3.36,20.06,14.26,True
2024-01-02,夜班,M02,6.06,47.58,26.31,True
2024-01-02,晚班,M02,3.62,30.2,22.19,False
2024-01-02,白班,M03,6.14,48.33,36.51,True
2024-01-02,夜班,M03,2.71,33.24,28.11,True
2024-01-02,晚班,M03,4.72,35.77,21.98,True
2024-01-02,白班,M04,6.98,82.53,56.29,True
2024-01-02,夜班,M04,3.79,58.31,39.55,True
2024-01-02,晚班,M04,2.3,23.83,18.33,False
2024-01-02,白班,M05,2.83,55.55,40.47,True
2024-01-02,夜班,M05,5.83,58.57,34.77,True
2024-01-02,晚班,M05,2.51,46.19,36.25,True
2024-01-02,白班,M06,6.39,131.15,94.6,True
2024-01-02,夜班,M06,2.17,53.55,32.5,True
2024-01-02,晚班,M06,2.21,47.31,39.41,True
2024-01-02,白班,M07,4.97,77.53,58.11,True
2024-01-02,夜班,M07,2.31,54.58,44.3,True
2024-01-02,晚班,M07,3.71,90.8,75.01,True
2024-01-02,白班,M08,3.54,58.88,45.7,True
2024-01-02,夜班,M08,7.46,196.64,145.53,True
2024-01-02,晚班,M08,3.13,64.82,41.29,True
2024-01-02,白班,M09,7.66,184.67,134.53,False
2024-01-02,夜班,M09,7.88,350.42,221.77,True
2024-01-02,晚班,M09,7.93,194.12,118.32,True
2024-01-02,白班,M10,4.99,121.66,77.31,True
2024-01-02,夜班,M10,6.33,144.33,95.43,True
2024-01-02,晚班,M10,2.29,57.96,38.31,True
2024-01-02,白班,M11,4.79,108.18,60.26,False
2024-01-02,夜班,M11,2.07,89.9,51.5,True
2024-01-02,晚班,M11,4.38,95.39,79.09,True
2024-01-02,白班,M12,7.45,385.3,321.0,True
2024-01-02,夜班,M12,5.65,241.5,197.53,True
2024-01-02,晚班,M12,2.38,131.13,105.26,True
2024-01-02,白班,M13,4.71,134.05,93.16,False
2024-01-02,夜班,M13,2.26,76.53,61.79,True
2024-01-02,晚班,M13,3.2,137.78,99.43,True
2024-01-02,白班,M14,3.32,164.61,121.03,True
2024-01-02,夜班,M14,7.97,249.24,161.08,False
2024-01-02,晚班,M14,5.11,126.42,72.29,False
2024-01-02,白班,M15,3.77,175.52,126.57,True
2024-01-02,夜班,M15,2.48,92.06,56.95,False
2024-01-02,晚班,M15,4.58,211.59,168.02,False
2024-01-02,白班,M16,3.93,185.46,141.98,True
2024-01-02,夜班,M16,4.63,195.89,110.15,True
2024-01-02,晚班,M16,3.41,184.74,144.03,True
2024-01-02,白班,M17,2.26,208.1,122.06,False
2024-01-02,夜班,M17,5.9,501.84,368.09,False
2024-01-02,晚班,M17,7.65,394.14,288.48,True
2024-01-02,白班,M18,5.35,378.79,287.08,True
2024-01-02,夜班,M18,5.07,322.86,203.01,True
2024-01-02,晚班,M18,7.58,707.59,530.78,True
2024-01-02,白班,M19,6.8,884.43,587.19,False
2024-01-02,夜班,M19,3.47,388.08,295.6,True
2024-01-02,晚班,M19,3.82,435.48,274.33,False
2024-01-02,白班,M20,3.36,290.19,227.5,False
2024-01-02,夜班,M20,7.04,654.6,555.61,True
2024-01-02,晚班,M20,6.61,582.21,404.4,True
2024-01-02,白班,M21,5.96,760.52,594.69,True
2024-01-02,夜班,M21,2.02,283.76,202.78,True
2024-01-02,晚班,M21,2.33,365.52,272.7,True
2024-01-02,白班,M22,4.38,808.89,492.19,True
2024-01-02,夜班,M22,4.47,972.0,780.79,False
2024-01-02,晚班,M22,2.93,525.23,331.54,True
2024-01-02,白班,M23,7.55,370.21,313.51,True
2024-01-02,夜班,M23,3.15,75.46,53.49,True
2024-01-02,晚班,M23,4.45,176.36,149.88,True
2024-01-02,白班,M24,2.47,415.97,327.53,True
2024-01-02,夜班,M24,7.02,593.43,357.6,True
2024-01-02,晚班,M24,7.62,623.47,478.5,False
2024-01-02,白班,M25,2.06,282.43,203.13,True
2024-01-02,夜班,M25,7.15,622.64,379.53,True
2024-01-02,晚班,M25,3.51,352.24,295.63,False
2024-01-02,白班,M26,3.11,813.67,571.19,True
2024-01-02,夜班,M26,3.74,545.92,393.39,True
2024-01-02,晚班,M26,4.1,1114.69,742.39,False
2024-01-02,白班,M27,4.52,1364.8,1010.01,True
2024-01-02,夜班,M27,6.89,1219.29,1013.13,True
2024-01-02,晚班,M27,4.67,721.3,561.51,True
2024-01-02,白班,M28,6.14,1829.4,1275.86,True
2024-01-02,夜班,M28,6.92,1692.82,945.79,True
2024-01-02,晚班,M28,4.57,1332.13,762.49,False
2024-01-02,白班,M29,2.59,739.7,615.99,True
2024-01-02,夜班,M29,5.64,2337.28,1630.45,True
2024-01-02,晚班,M29,2.04,803.31,577.46,True
2024-01-03,白班,M01,4.94,37.8,27.81,True
2024-01-03,夜班,M01,4.53,41.32,34.39,True
2024-01-03,晚班,M01,7.74,74.58,59.05,True
2024-01-03,白班,M02,4.73,36.86,23.57,True
2024-01-03,夜班,M02,5.42,53.4,44.11,False
2024-01-03,晚班,M02,7.83,46.02,37.15,True
2024-01-03,白班,M03,6.57,75.59,58.46,True
2024-01-03,夜班,M03,3.29,46.19,27.72,True
2024-01-03,晚班,M03,5.65,57.11,32.62,True
2024-01-03,白班,M04,4.94,86.05,59.83,False
2024-01-03,夜班,M04,5.68,118.75,86.16,True
2024-01-03,晚班,M04,5.32,98.56,73.79,True
2024-01-03,白班,M05,5.5,94.4,68.99,True
2024-01-03,夜班,M05,7.45,156.74,129.59,True
2024-01-03,晚班,M05,5.26,111.73,61.83,True
2024-01-03,白班,M06,4.52,69.53,49.6,True
2024-01-03,夜班,M06,6.56,139.0,114.13,True
2024-01-03,晚班,M06,3.98,59.79,49.45,True
2024-01-03,白班,M07,3.89,77.14,60.23,False
2024-01-03,夜班,M07,3.41,85.12,49.54,True
2024-01-03,晚班,M07,4.94,73.5,41.48,True
2024-01-03,白班,M08,7.52,232.34,130.9,True
2024-01-03,夜班,M08,3.64,106.05,73.46,False
2024-01-03,晚班,M08,5.31,130.32,107.49,True
2024-01-03,白班,M09,3.09,108.19,60.83,True
2024-01-03,夜班,M09,3.83,107.39,77.4,True
2024-01-03,晚班,M09,5.46,168.15,115.43,True
2024-01-03,白班,M10,4.63,132.53,88.57,False
2024-01-03,夜班,M10,6.9,243.72,156.15,True
2024-01-03,晚班,M10,2.9,86.4,65.24,True
2024-01-03,白班,M11,5.69,187.87,103.88,False
2024-01-03,夜班,M11,2.7,84.42,56.43,True
2024-01-03,晚班,M11,4.88,208.62,164.05,True
2024-01-03,白班,M12,7.56,386.57,274.48,True
2024-01-03,夜班,M12,4.12,132.29,90.1,True
2024-01-03,晚班,M12,7.9,294.63,180.58,True
2024-01-03,白班,M13,5.56,345.73,247.89,False
2024-01-03,夜班,M13,4.33,216.32,156.12,True
2024-01-03,晚班,M13,3.13,164.5,122.22,False
2024-01-03,白班,M14,7.74,185.65,119.5,True
2024-01-03,夜班,M14,6.58,265.68,147.05,False
2024-01-03,晚班,M14,6.07,229.35,180.96,False
2024-01-03,白班,M15,2.61,76.65,43.3,False
2024-01-03,夜班,M15,6.93,409.0,301.06,True
2024-01-03,晚班,M15,4.28,174.49,119.69,True
2024-01-03,白班,M16,5.75,400.61,266.66,True
2024-01-03,夜班,M16,2.37,88.43,73.53,True
2024-01-03,晚班,M16,3.23,224.17,172.74,True
2024-01-03,白班,M17,3.25,241.8,140.98,True
2024-01-03,夜班,M17,3.34,166.2,136.8,True
2024-01-03,晚班,M17,2.91,194.77,147.91,False
2024-01-03,白班,M18,3.6,224.73,187.4,True
2024-01-03,夜班,M18,7.34,583.49,403.54,True
2024-01-03,晚班,M18,6.59,658.58,531.12,False
2024-01-03,白班,M19,2.37,243.93,197.8,True
2024-01-03,夜班,M19,6.62,860.77,558.13,True
2024-01-03,晚班,M19,3.82,382.34,314.32,True
2024-01-03,白班,M20,7.12,697.6,471.46,True
2024-01-03,夜班,M20,6.03,689.13,567.41,True
2024-01-03,晚班,M20,2.59,185.82,132.26,True
2024-01-03,白班,M21,4.16,545.0,330.67,True
2024-01-03,夜班,M21,3.86,595.66,465.59,True
2024-01-03,晚班,M21,3.07,475.49,368.31,True
2024-01-03,白班,M22,3.55,549.53,421.72,True
2024-01-03,夜班,M22,4.7,745.46,448.27,True
2024-01-03,晚班,M22,6.27,1624.98,992.49,True
2024-01-03,白班,M23,5.14,169.75,128.3,True
2024-01-03,夜班,M23,5.87,249.67,140.94,True
2024-01-03,晚班,M23,5.86,200.38,164.91,False
2024-01-03,白班,M24,6.91,1004.07,849.89,False
2024-01-03,夜班,M24,4.49,399.63,328.64,True
2024-01-03,晚班,M24,4.95,625.63,467.74,True
2024-01-03,白班,M25,2.53,386.87,322.46,True
2024-01-03,夜班,M25,5.16,634.4,376.52,False
2024-01-03,晚班,M25,6.9,917.23,684.21,True
2024-01-03,白班,M26,5.21,916.02,505.14,False
2024-01-03,夜班,M26,5.74,867.94,512.39,True
2024-01-03,晚班,M26,7.39,1011.6,822.92,True
2024-01-03,白班,M27,4.12,653.24,533.09,True
2024-01-03,夜班,M27,4.02,953.43,639.15,False
2024-01-03,晚班,M27,5.05,1417.07,907.75,True
2024-01-03,白班,M28,4.15,1181.7,837.59,False
2024-01-03,夜班,M28,7.28,1930.19,1215.53,True
2024-01-03,晚班,M28,6.08,1268.67,988.21,True
2024-01-03,白班,M29,4.38,1093.45,871.11,True
2024-01-03,夜班,M29,7.26,2937.26,2135.1,True
2024-01-03,晚班,M29,5.77,2371.43,1591.72,True
2024-01-04,白班,M01,3.8,38.3,21.97,True
2024-01-04,夜班,M01,5.52,57.05,39.07,True
2024-01-04,晚班,M01,4.91,34.46,21.32,True
2024-01-04,白班,M02,3.45,23.65,19.03,False
2024-01-04,夜班,M02,3.4,29.27,16.74,True
2024-01-04,晚班,M02,4.64,45.89,32.74,True
2024-01-04,白班,M03,6.55,60.14,41.02,True
2024-01-04,夜班,M03,4.07,28.58,18.09,True
2024-01-04,晚班,M03,7.33,79.94,64.75,True
2024-01-04,白班,M04,5.32,83.44,69.21,True
2024-01-04,夜班,M04,5.3,114.09,87.32,False
2024-01-04,晚班,M04,7.01,71.31,56.39,True
2024-01-04,白班,M05,3.9,45.82,32.19,False
2024-01-04,夜班,M05,3.74,69.39,40.37,True
2024-01-04,晚班,M05,3.23,39.43,24.24,True
2024-01-04,白班,M06,7.8,144.29,96.4,False
2024-01-04,夜班,M06,3.24,69.73,41.04,False
2024-01-04,晚班,M06,7.7,156.99,114.54,False
2024-01-04,白班,M07,7.94,191.61,156.98,True
2024-01-04,夜班,M07,2.49,79.43,48.74,True
2024-01-04,晚班,M07,5.91,101.72,68.19,False
2024-01-04,白班,M08,4.01,63.78,41.16,True
2024-01-04,夜班,M08,7.32,188.38,111.2,True
2024-01-04,晚班,M08,5.72,107.85,75.41,True
2024-01-04,白班,M09,5.88,236.21,170.1,True
2024-01-04,夜班,M09,7.54,168.68,98.39,True
2024-01-04,晚班,M09,5.97,123.11,77.83,True
2024-01-04,白班,M10,2.34,63.88,36.36,True
2024-01-04,夜班,M10,3.1,83.17,69.32,False
2024-01-04,晚班,M10,5.78,120.83,94.79,True
2024-01-04,白班,M11,6.6,232.36,155.44,True
2024-01-04,夜班,M11,7.49,301.02,215.29,True
2024-01-04,晚班,M11,2.63,79.98,53.96,True
2024-01-04,白班,M12,4.79,180.56,135.19,True
2024-01-04,夜班,M12,3.85,239.73,203.42,True
2024-01-04,晚班,M12,6.7,374.59,280.11,False
2024-01-04,白班,M13,6.65,213.0,152.9,True
2024-01-04,夜班,M13,3.08,187.64,136.73,True
2024-01-04,晚班,M13,6.49,281.17,181.17,True
2024-01-04,白班,M14,4.31,105.32,65.38,True
2024-01-04,夜班,M14,6.0,135.07,95.67,True
2024-01-04,晚班,M14,3.94,173.66,131.63,False
2024-01-04,白班,M15,6.75,317.61,267.26,True
2024-01-04,夜班,M15,3.23,173.47,140.33,True
2024-01-04,晚班,M15,3.51,123.98,104.16,True
2024-01-04,白班,M16,6.92,351.36,239.15,True
2024-01-04,夜班,M16,7.49,300.97,233.34,True
2024-01-04,晚班,M16,4.21,182.71,147.58,True
2024-01-04,白班,M17,5.68,321.27,249.53,True
2024-01-04,夜班,M17,7.67,563.69,399.19,True
2024-01-04,晚班,M17,3.67,215.2,175.0,False
2024-01-04,白班,M18,6.86,666.85,511.8,True
2024-01-04,夜班,M18,5.63,318.98,201.57,False
2024-01-04,晚班,M18,7.98,543.94,318.09,True
2024-01-04,白班,M19,4.8,350.85,264.54,True
2024-01-04,夜班,M19,2.74,165.49,103.9,True
2024-01-04,晚班,M19,7.9,995.14,761.47,True
2024-01-04,白班,M20,5.98,554.36,315.71,True
2024-01-04,夜班,M20,2.71,303.93,225.43,True
2024-01-04,晚班,M20,4.33,525.57,397.7,True
2024-01-04,白班,M21,2.97,316.37,193.47,True
2024-01-04,夜班,M21,5.65,981.2,628.54,True
2024-01-04,晚班,M21,7.39,1592.03,1119.48,True
2024-01-04,白班,M22,4.81,781.92,577.07,True
2024-01-04,夜班,M22,2.26,545.88,319.72,True
2024-01-04,晚班,M22,4.76,978.56,772.55,True
2024-01-04,白班,M23,2.37,76.55,46.0,True
2024-01-04,夜班,M23,7.02,171.03,110.66,True
2024-01-04,晚班,M23,3.89,185.95,140.31,False
2024-01-04,白班,M24,4.13,687.28,476.63,False
2024-01-04,夜班,M24,7.65,812.02,578.27,True
2024-01-04,晚班,M24,7.39,594.4,471.96,True
2024-01-04,白班,M25,3.42,322.78,262.19,False
2024-01-04,夜班,M25,2.58,364.87,282.52,True
2024-01-04,晚班,M25,4.16,376.04,283.25,True
2024-01-04,白班,M26,7.35,1550.59,1303.93,True
2024-01-04,夜班,M26,4.48,1024.03,649.16,True
2024-01-04,晚班,M26,4.44,826.39,518.03,True
2024-01-04,白班,M27,7.86,1504.81,1205.46,True
2024-01-04,夜班,M27,4.16,992.18,572.39,True
2024-01-04,晚班,M27,6.84,1934.94,1422.22,True
2024-01-04,白班,M28,7.21,2480.33,1535.34,True
2024-01-04,夜班,M28,4.52,1045.26,778.93,True
2024-01-04,晚班,M28,3.61,1289.43,771.91,False
2024-01-04,白班,M29,4.49,1817.9,1347.17,True
2024-01-04,夜班,M29,2.46,677.96,575.6,True
2024-01-04,晚班,M29,6.15,1316.18,1078.78,True
2024-01-05,白班,M01,3.29,20.53,14.12,True
2024-01-05,夜班,M01,2.97,26.67,18.87,True
2024-01-05,晚班,M01,4.23,29.78,24.25,False
2024-01-05,白班,M02,4.9,26.74,21.56,False
2024-01-05,夜班,M02,3.77,37.97,27.06,True
2024-01-05,晚班,M02,4.95,49.51,27.9,True
2024-01-05,白班,M03,5.42,57.17,31.53,True
2024-01-05,夜班,M03,2.53,26.99,16.22,True
2024-01-05,晚班,M03,3.95,41.89,31.23,True
2024-01-05,白班,M04,3.4,45.43,36.49,False
2024-01-05,夜班,M04,6.46,99.19,68.39,True
2024-01-05,晚班,M04,3.3,60.55,44.48,True
2024-01-05,白班,M05,6.57,105.93,64.22,True
2024-01-05,夜班,M05,7.71,155.74,93.63,True
2024-01-05,晚班,M05,7.67,104.96,60.99,True
2024-01-05,白班,M06,2.2,31.0,17.61,True
2024-01-05,夜班,M06,5.06,61.87,36.62,True
2024-01-05,晚班,M06,5.8,96.34,76.81,True
2024-01-05,白班,M07,5.5,137.05,100.91,True
2024-01-05,夜班,M07,3.87,98.84,63.11,True
2024-01-05,晚班,M07,2.45,62.37,37.78,True
2024-01-05,白班,M08,3.04,64.37,41.82,True
2024-01-05,夜班,M08,6.7,213.92,153.67,True
2024-01-05,晚班,M08,2.51,55.82,47.43,True
2024-01-05,白班,M09,6.83,226.6,125.35,True
2024-01-05,夜班,M09,4.99,108.3,63.32,True
2024-01-05,晚班,M09,7.44,174.65,129.77,True
2024-01-05,白班,M10,3.55,87.82,49.68,True
2024-01-05,夜班,M10,4.86,119.57,80.7,True
2024-01-05,晚班,M10,2.43,78.43,61.23,False
2024-01-05,白班,M11,6.45,277.24,235.56,False
2024-01-05,夜班,M11,6.03,226.95,131.27,True
2024-01-05,晚班,M11,5.53,119.38,69.21,True
2024-01-05,白班,M12,5.09,283.46,205.29,True
2024-01-05,夜班,M12,7.58,269.31,152.8,True
2024-01-05,晚班,M12,6.21,283.77,156.49,True
2024-01-05,白班,M13,5.82,312.6,178.27,False
2024-01-05,夜班,M13,2.52,128.86,86.97,True
2024-01-05,晚班,M13,6.49,218.88,160.36,True
2024-01-05,白班,M14,7.24,234.78,168.68,True
2024-01-05,夜班,M14,3.66,145.9,105.73,True
2024-01-05,晚班,M14,7.4,169.34,123.59,True
2024-01-05,白班,M15,4.46,217.65,148.06,True
2024-01-05,夜班,M15,6.17,347.55,235.03,False
2024-01-05,晚班,M15,7.14,274.1,201.85,True
2024-01-05,白班,M16,6.97,283.26,198.29,True
2024-01-05,夜班,M16,3.84,306.99,236.81,True
2024-01-05,晚班,M16,6.33,351.21,246.14,False
2024-01-05,白班,M17,6.41,439.46,351.46,True
2024-01-05,夜班,M17,5.15,476.66,287.24,False
2024-01-05,晚班,M17,6.16,538.19,432.45,False
2024-01-05,白班,M18,4.03,328.31,237.54,True
2024-01-05,夜班,M18,2.71,163.68,91.6,True
2024-01-05,晚班,M18,7.31,467.96,379.97,True
2024-01-05,白班,M19,2.35,174.52,116.16,True
2024-01-05,夜班,M19,3.83,357.57,240.15,True
2024-01-05,晚班,M19,2.97,220.79,142.46,True
2024-01-05,白班,M20,7.26,535.22,353.66,True
2024-01-05,夜班,M20,2.71,231.67,159.81,True
2024-01-05,晚班,M20,4.48,439.42,270.5,False
2024-01-05,白班,M21,6.95,1106.18,810.67,True
2024-01-05,夜班,M21,6.43,1045.6,655.34,False
2024-01-05,晚班,M21,5.37,965.97,816.24,True
2024-01-05,白班,M22,6.81,1128.09,688.89,True
2024-01-05,夜班,M22,3.1,586.01,361.98,True
2024-01-05,晚班,M22,4.06,576.29,407.55,True
2024-01-05,白班,M23,3.89,100.03,72.74,True
2024-01-05,夜班,M23,5.63,166.64,98.08,False
2024-01-05,晚班,M23,4.38,121.69,90.49,False
2024-01-05,白班,M24,2.68,286.56,167.34,True
2024-01-05,夜班,M24,6.93,1064.91,607.81,True
2024-01-05,晚班,M24,4.88,851.69,590.12,False
2024-01-05,白班,M25,7.85,1048.44,651.83,True
2024-01-05,夜班,M25,5.5,695.09,545.82,False
2024-01-05,晚班,M25,7.36,1120.9,787.14,False
2024-01-05,白班,M26,5.05,1168.11,821.1,True
2024-01-05,夜班,M26,3.58,886.44,639.09,False
2024-01-05,晚班,M26,3.79,722.27,408.75,False
2024-01-05,白班,M27,7.41,1159.96,892.1,True
2024-01-05,夜班,M27,7.22,2044.32,1392.58,True
2024-01-05,晚班,M27,6.65,1208.86,744.26,True
2024-01-05,白班,M28,4.22,693.18,518.02,True
2024-01-05,夜班,M28,4.83,825.01,473.32,True
2024-01-05,晚班,M28,7.8,2341.5,1563.08,False
2024-01-05,白班,M29,2.64,964.83,604.83,True
2024-01-05,夜班,M29,6.05,1757.22,1164.04,False
2024-01-05,晚班,M29,2.24,790.29,615.39,True
2024-01-06,白班,M01,6.24,58.33,34.4,True
2024-01-06,夜班,M01,2.54,17.98,12.9,True
2024-01-06,晚班,M01,5.8,30.31,21.96,True
2024-01-06,白班,M02,6.63,44.33,33.91,True
2024-01-06,夜班,M02,4.26,45.49,31.6,False
2024-01-06,晚班,M02,4.7,49.99,32.62,False
2024-01-06,白班,M03,7.89,89.23,64.01,False
2024-01-06,夜班,M03,6.4,81.23,55.73,True
2024-01-06,晚班,M03,5.93,76.2,49.36,True
2024-01-06,白班,M04,4.93,69.41,38.27,True
2024-01-06,夜班,M04,7.74,106.11,89.1,True
2024-01-06,晚班,M04,2.5,45.36,38.34,True
2024-01-06,白班,M05,5.54,62.06,38.42,True
2024-01-06,夜班,M05,6.85,111.12,65.85,True
2024-01-06,晚班,M05,5.76,73.33,58.62,True
2024-01-06,白班,M06,2.25,34.81,26.71,False
2024-01-06,夜班,M06,4.6,108.21,89.12,True
2024-01-06,晚班,M06,6.19,102.03,84.89,False
2024-01-06,白班,M07,5.29,169.06,97.92,True
2024-01-06,夜班,M07,5.6,133.66,103.43,True
2024-01-06,晚班,M07,2.58,42.46,24.98,True
2024-01-06,白班,M08,5.69,142.18,93.24,True
2024-01-06,夜班,M08,2.59,40.77,25.2,True
2024-01-06,晚班,M08,2.58,68.55,56.42,True
2024-01-06,白班,M09,4.48,148.42,100.75,True
2024-01-06,夜班,M09,3.95,116.77,78.26,True
2024-01-06,晚班,M09,3.11,92.72,72.41,False
2024-01-06,白班,M10,2.58,111.11,79.42,True
2024-01-06,夜班,M10,2.25,84.61,68.42,True
2024-01-06,晚班,M10,6.52,190.29,115.19,True
2024-01-06,白班,M11,7.0,293.47,210.16,False
2024-01-06,夜班,M11,3.54,101.01,71.76,True
2024-01-06,晚班,M11,2.35,72.55,50.84,True
2024-01-06,白班,M12,4.3,195.33,154.15,True
2024-01-06,夜班,M12,6.52,381.06,308.19,False
2024-01-06,晚班,M12,6.31,216.0,172.48,True
2024-01-06,白班,M13,2.82,104.84,68.7,True
2024-01-06,夜班,M13,6.74,213.97,178.09,True
2024-01-06,晚班,M13,6.25,368.87,257.39,True
2024-01-06,白班,M14,4.27,113.16,75.09,True
2024-01-06,夜班,M14,5.57,137.64,100.28,False
2024-01-06,晚班,M14,3.16,114.04,76.73,True
2024-01-06,白班,M15,2.8,166.77,97.08,True
2024-01-06,夜班,M15,4.09,143.18,120.92,True
2024-01-06,晚班,M15,5.93,252.82,186.22,True
2024-01-06,白班,M16,5.1,236.13,176.33,True
2024-01-06,夜班,M16,2.62,124.23,90.14,True
2024-01-06,晚班,M16,7.64,370.45,301.19,True
2024-01-06,白班,M17,6.26,430.99,337.55,False
2024-01-06,夜班,M17,6.29,614.49,501.87,True
2024-01-06,晚班,M17,7.8,486.81,342.77,True
2024-01-06,白班,M18,2.63,145.31,84.2,True
2024-01-06,夜班,M18,7.27,806.36,615.29,True
2024-01-06,晚班,M18,4.15,468.56,292.77,True
2024-01-06,白班,M19,4.5,549.54,339.26,True
2024-01-06,夜班,M19,5.74,355.86,212.73,True
2024-01-06,晚班,M19,5.33,633.63,397.06,False
2024-01-06,白班,M20,2.49,280.39,192.69,True
2024-01-06,夜班,M20,5.05,464.91,377.92,True
2024-01-06,晚班,M20,3.76,364.17,257.59,True
2024-01-06,白班,M21,3.17,382.11,291.66,True
2024-01-06,夜班,M21,4.81,822.71,666.43,False
2024-01-06,晚班,M21,2.09,394.42,221.68,False
2024-01-06,白班,M22,5.85,1398.29,832.77,True
