changeover_time,machine_id,sku_from,sku_to,family_from,family_to,standard_minutes,actual_minutes,operator_id,remark
2025-12-10 10:34:00,M20,TLM-006,HND-022,TLM,HND,226.0,226.6,OP031,工具缺失
2026-01-26 02:04:00,M24,WLC-019,DUO-012,WLC,DUO,234.4,240.9,OP007,正常
2025-03-20 02:00:00,M05,VEN-006,VEN-016,VEN,VEN,44.8,48.6,OP017,正常
2025-05-14 04:31:00,M02,VEN-012,CUP-028,VEN,CUP,184.9,218.9,OP041,工具缺失
2024-08-26 07:02:00,M05,DRH-021,DRH-018,DRH,DRH,26.1,29.0,OP014,正常
2025-10-04 13:03:00,M27,LRB-014,LFR-021,LRB,LFR,383.0,473.9,OP015,正常
2025-02-23 15:28:00,M16,HND-014,BUM-022,HND,BUM,232.2,244.1,OP042,正常
2025-09-01 22:37:00,M28,LFR-017,LFR-020,LFR,LFR,39.8,44.5,OP048,物料未到位
2025-11-21 01:46:00,M16,HND-022,BUM-014,HND,BUM,150.9,184.1,OP011,正常
2024-01-24 04:56:00,M29,LRB-014,LRB-007,LRB,LRB,40.2,40.5,OP037,物料未到位
2024-05-07 18:04:00,M16,BUM-028,BUM-003,BUM,BUM,38.0,33.7,OP028,正常
2024-04-27 06:49:00,M27,LFR-012,LFR-011,LFR,LFR,98.9,96.1,OP042,正常
2025-02-19 18:23:00,M11,DRH-017,DRH-020,DRH,DRH,44.9,55.0,OP023,物料未到位
2024-07-25 03:25:00,M22,HND-003,HND-002,HND,HND,36.0,31.6,OP020,正常
2025-04-16 22:59:00,M12,VEN-025,CUP-008,VEN,CUP,96.1,108.6,OP028,物料未到位
2025-12-23 05:31:00,M20,BUM-015,TLM-006,BUM,TLM,230.8,274.0,OP016,物料未到位
2025-01-27 01:53:00,M03,VEN-016,CUP-008,VEN,CUP,122.3,144.1,OP032,正常
2025-08-02 13:12:00,M14,TLM-017,BUM-006,TLM,BUM,219.5,237.5,OP046,正常
2025-10-29 23:11:00,M08,VEN-009,VEN-027,VEN,VEN,23.6,26.3,OP011,物料未到位
2025-10-29 21:10:00,M20,HND-018,HND-009,HND,HND,30.5,26.2,OP025,正常
2026-01-31 08:19:00,M13,VEN-011,CUP-019,VEN,CUP,188.2,205.2,OP024,物料未到位
2025-01-09 08:25:00,M07,VEN-011,DRH-008,VEN,DRH,78.4,86.2,OP005,物料未到位
2025-08-15 12:47:00,M23,TLP-021,DUO-009,TLP,DUO,244.2,236.8,OP010,模具故障
2024-12-22 10:11:00,M14,TLM-016,TLM-013,TLM,TLM,26.6,28.3,OP011,正常
2024-10-29 06:29:00,M27,LFR-017,LRB-012,LFR,LRB,223.0,278.0,OP003,正常
2024-09-26 07:17:00,M07,VEN-030,VEN-013,VEN,VEN,21.1,20.6,OP039,正常
2024-12-07 23:19:00,M27,LRB-022,LFR-002,LRB,LFR,154.3,177.1,OP022,正常
2025-12-14 15:45:00,M09,VEN-029,CUP-010,VEN,CUP,115.2,129.6,OP042,正常
2024-12-12 16:26:00,M11,VEN-003,VEN-007,VEN,VEN,17.2,18.8,OP009,正常
2025-07-12 13:59:00,M05,CUP-021,CUP-020,CUP,CUP,15.3,13.1,OP010,正常
2024-07-08 17:22:00,M22,TLM-006,BUM-011,TLM,BUM,210.3,252.2,OP023,工具缺失
2025-02-10 00:24:00,M18,HND-027,TLM-028,HND,TLM,104.8,107.4,OP031,工具缺失
2025-07-11 07:48:00,M16,TLM-020,HND-001,TLM,HND,117.7,120.4,OP012,工具缺失
2024-07-11 00:38:00,M18,HND-016,BUM-001,HND,BUM,65.7,67.1,OP047,正常
2024-09-11 15:25:00,M05,DRH-028,DRH-023,DRH,DRH,44.8,40.0,OP044,模具故障
2026-03-15 18:44:00,M23,DUO-014,DUO-015,DUO,DUO,29.3,33.7,OP027,正常
2026-02-04 18:22:00,M13,CUP-025,DRH-029,CUP,DRH,156.0,136.3,OP035,正常
2025-11-21 22:53:00,M29,LFR-009,LRB-009,LFR,LRB,506.7,501.2,OP028,工具缺失
2024-02-15 21:51:00,M05,DRH-020,DRH-006,DRH,DRH,26.3,26.4,OP036,正常
2025-02-18 11:39:00,M10,CUP-025,DRH-017,CUP,DRH,231.6,244.2,OP009,模具故障
2024-11-24 20:44:00,M12,VEN-021,DRH-012,VEN,DRH,114.6,126.7,OP029,模具故障
2025-12-03 11:24:00,M10,DRH-024,DRH-029,DRH,DRH,24.7,26.3,OP047,正常
2025-11-23 02:18:00,M25,TLP-022,DUO-023,TLP,DUO,393.7,487.5,OP010,工具缺失
2025-12-04 19:41:00,M13,VEN-028,CUP-026,VEN,CUP,208.5,208.6,OP036,正常
2024-07-19 20:08:00,M06,DRH-019,CUP-014,DRH,CUP,198.3,180.4,OP047,正常
2025-05-25 14:48:00,M28,LRB-008,LFR-021,LRB,LFR,196.0,199.3,OP010,模具故障
2025-11-19 14:40:00,M08,CUP-023,CUP-024,CUP,CUP,31.1,29.7,OP016,正常
2024-07-03 04:30:00,M14,BUM-013,BUM-010,BUM,BUM,44.6,41.6,OP042,工具缺失
2025-06-27 22:04:00,M02,VEN-029,CUP-025,VEN,CUP,233.4,288.7,OP015,正常
2025-08-16 07:56:00,M29,LFR-002,LFR-021,LFR,LFR,40.0,47.0,OP027,正常
2024-01-12 14:14:00,M11,CUP-001,DRH-007,CUP,DRH,160.2,170.0,OP044,工具缺失
2026-03-26 19:53:00,M23,DUO-008,DUO-014,DUO,DUO,85.2,105.1,OP026,物料未到位
2025-10-03 14:39:00,M08,DRH-001,CUP-030,DRH,CUP,229.9,268.4,OP012,正常
2025-07-12 09:22:00,M20,BUM-018,BUM-001,BUM,BUM,39.7,48.2,OP031,正常
2025-11-20 01:38:00,M29,LRB-015,LFR-002,LRB,LFR,346.7,342.9,OP022,物料未到位
2025-05-20 06:12:00,M26,LFR-021,LFR-018,LFR,LFR,45.5,49.7,OP038,模具故障
2024-05-08 17:03:00,M12,DRH-017,VEN-028,DRH,VEN,213.6,223.9,OP032,正常
2025-04-02 18:27:00,M15,HND-025,TLM-016,HND,TLM,70.2,81.6,OP022,模具故障
2025-06-26 23:49:00,M29,LFR-014,LRB-021,LFR,LRB,188.2,210.7,OP014,正常
2026-01-11 20:52:00,M07,DRH-027,DRH-016,DRH,DRH,36.6,36.9,OP037,正常
2025-01-24 06:05:00,M10,DRH-017,DRH-007,DRH,DRH,37.8,46.9,OP044,正常
2025-03-13 03:46:00,M16,BUM-023,TLM-015,BUM,TLM,139.9,136.7,OP004,工具缺失
2025-06-16 12:50:00,M05,VEN-007,DRH-004,VEN,DRH,124.8,145.7,OP013,正常
2025-09-28 06:14:00,M24,DUO-004,TLP-013,DUO,TLP,169.8,177.4,OP043,正常
2025-05-05 12:56:00,M01,VEN-013,DRH-026,VEN,DRH,179.7,163.5,OP031,正常
2025-02-17 11:17:00,M17,TLM-010,HND-014,TLM,HND,229.6,214.2,OP037,正常
2024-02-09 20:05:00,M21,BUM-011,TLM-001,BUM,TLM,130.1,129.9,OP006,正常
2025-01-29 20:50:00,M04,CUP-030,CUP-006,CUP,CUP,21.5,22.6,OP009,正常
2024-11-02 00:33:00,M21,BUM-013,HND-009,BUM,HND,87.7,91.9,OP019,物料未到位
2025-08-13 07:36:00,M07,CUP-009,VEN-020,CUP,VEN,142.4,163.2,OP013,正常
2026-03-20 02:48:00,M19,BUM-018,HND-023,BUM,HND,169.9,163.5,OP003,工具缺失
2025-05-27 12:55:00,M12,DRH-011,DRH-029,DRH,DRH,34.1,36.4,OP021,正常
2025-08-28 14:44:00,M12,VEN-012,DRH-003,VEN,DRH,130.5,126.6,OP029,正常
2025-01-12 23:21:00,M28,LFR-011,LFR-013,LFR,LFR,42.5,51.0,OP022,模具故障
2026-01-13 15:34:00,M20,BUM-016,TLM-009,BUM,TLM,74.7,86.6,OP042,模具故障
2024-03-08 17:48:00,M05,DRH-004,DRH-010,DRH,DRH,31.8,33.8,OP043,正常
2024-04-09 06:49:00,M07,CUP-002,DRH-003,CUP,DRH,186.2,179.8,OP043,正常
2025-11-12 06:28:00,M04,CUP-012,CUP-022,CUP,CUP,41.1,44.9,OP020,工具缺失
2025-08-23 09:18:00,M12,CUP-007,VEN-015,CUP,VEN,145.7,165.7,OP027,物料未到位
2024-02-25 05:46:00,M05,VEN-007,DRH-028,VEN,DRH,127.0,141.6,OP013,物料未到位
2025-11-20 22:50:00,M23,WLC-022,WLC-011,WLC,WLC,35.4,37.0,OP014,正常
2024-11-26 00:15:00,M24,WLC-004,TLP-017,WLC,TLP,189.2,207.3,OP024,工具缺失
2025-01-01 13:00:00,M16,TLM-014,BUM-016,TLM,BUM,238.2,216.9,OP046,模具故障
2024-11-03 17:19:00,M29,LRB-021,LFR-005,LRB,LFR,242.0,225.2,OP015,模具故障
2025-02-15 11:14:00,M25,DUO-005,WLC-023,DUO,WLC,476.6,408.6,OP048,物料未到位
2025-03-29 06:42:00,M13,VEN-007,VEN-024,VEN,VEN,16.0,17.5,OP045,工具缺失
2024-12-27 18:45:00,M08,CUP-005,DRH-021,CUP,DRH,133.6,115.2,OP018,正常
2025-08-15 05:47:00,M05,VEN-030,VEN-012,VEN,VEN,18.2,21.8,OP001,正常
2025-10-30 14:04:00,M15,HND-010,TLM-013,HND,TLM,122.5,129.1,OP038,正常
2025-08-19 05:49:00,M19,BUM-025,HND-004,BUM,HND,208.3,201.7,OP048,正常
2026-04-18 22:47:00,M16,BUM-023,HND-020,BUM,HND,205.6,196.2,OP042,物料未到位
2024-12-31 00:37:00,M14,HND-021,TLM-018,HND,TLM,146.3,144.5,OP002,物料未到位
2024-11-19 06:36:00,M22,HND-013,TLM-008,HND,TLM,117.7,133.9,OP005,正常
2024-01-09 11:49:00,M09,CUP-018,DRH-020,CUP,DRH,63.6,66.3,OP029,模具故障
2024-08-24 03:08:00,M10,DRH-019,CUP-001,DRH,CUP,100.5,95.0,OP048,正常
2024-03-21 01:17:00,M27,LRB-010,LRB-009,LRB,LRB,33.3,28.9,OP045,物料未到位
2024-03-07 01:59:00,M25,TLP-018,DUO-011,TLP,DUO,417.8,455.7,OP043,工具缺失
2024-09-11 08:11:00,M26,LFR-022,LFR-003,LFR,LFR,77.1,69.6,OP048,模具故障
2026-01-26 11:53:00,M17,HND-001,HND-008,HND,HND,15.0,16.5,OP041,模具故障
2024-11-17 07:43:00,M27,LRB-006,LRB-014,LRB,LRB,72.6,90.1,OP009,模具故障
2024-12-04 02:36:00,M06,CUP-007,DRH-004,CUP,DRH,90.9,99.2,OP046,模具故障
2026-03-29 05:54:00,M20,BUM-019,HND-009,BUM,HND,224.3,220.1,OP004,正常
2026-02-13 18:06:00,M03,CUP-012,CUP-023,CUP,CUP,40.6,38.6,OP006,模具故障
2024-04-29 19:54:00,M06,CUP-004,CUP-030,CUP,CUP,39.8,37.0,OP008,正常
2025-09-09 04:17:00,M05,CUP-025,CUP-008,CUP,CUP,19.1,19.9,OP016,物料未到位
2025-12-13 20:22:00,M01,VEN-008,CUP-030,VEN,CUP,111.0,102.0,OP026,模具故障
2024-03-18 17:37:00,M26,LFR-016,LFR-003,LFR,LFR,57.3,51.6,OP010,正常
2026-02-27 04:19:00,M09,VEN-018,DRH-019,VEN,DRH,234.0,233.1,OP001,正常
2024-08-06 08:19:00,M09,VEN-007,CUP-015,VEN,CUP,210.7,198.0,OP006,物料未到位
2024-02-13 03:22:00,M08,DRH-021,DRH-013,DRH,DRH,39.9,48.8,OP013,模具故障
2025-10-26 18:48:00,M09,DRH-017,DRH-018,DRH,DRH,28.6,35.3,OP029,正常
2025-10-04 04:47:00,M05,DRH-012,VEN-030,DRH,VEN,124.9,110.7,OP024,工具缺失
2024-11-21 08:40:00,M04,VEN-019,CUP-020,VEN,CUP,141.6,141.3,OP006,正常
2024-08-20 14:04:00,M06,DRH-020,CUP-021,DRH,CUP,165.9,193.0,OP009,正常
2025-07-10 08:25:00,M08,DRH-029,CUP-016,DRH,CUP,60.0,62.8,OP018,模具故障
2025-09-20 19:49:00,M25,TLP-020,WLC-012,TLP,WLC,345.8,394.8,OP032,工具缺失
2024-06-07 02:49:00,M07,VEN-028,DRH-025,VEN,DRH,193.0,204.1,OP012,物料未到位
2026-01-24 19:39:00,M08,VEN-012,VEN-001,VEN,VEN,22.4,27.8,OP041,正常
2025-10-01 00:13:00,M18,TLM-009,HND-007,TLM,HND,137.4,163.9,OP039,模具故障
2026-03-05 02:02:00,M04,DRH-030,CUP-005,DRH,CUP,235.6,285.5,OP045,正常
2025-11-01 18:48:00,M16,TLM-024,TLM-004,TLM,TLM,16.6,15.8,OP024,模具故障
2025-12-21 04:10:00,M21,HND-022,BUM-019,HND,BUM,178.1,218.3,OP045,工具缺失
2024-04-20 00:50:00,M09,CUP-013,VEN-014,CUP,VEN,202.9,216.9,OP010,正常
2025-07-17 23:09:00,M03,VEN-004,CUP-010,VEN,CUP,161.4,170.7,OP020,正常
2024-05-15 03:50:00,M04,VEN-005,CUP-028,VEN,CUP,111.4,96.1,OP038,正常
2024-12-17 15:46:00,M15,TLM-003,BUM-010,TLM,BUM,235.8,290.0,OP048,正常
2025-08-21 16:47:00,M18,HND-023,BUM-003,HND,BUM,130.2,147.9,OP038,物料未到位
2024-09-17 04:12:00,M01,DRH-026,DRH-012,DRH,DRH,31.3,35.5,OP015,正常
2024-12-31 21:33:00,M07,CUP-023,VEN-006,CUP,VEN,222.3,275.1,OP042,模具故障
2024-08-20 23:28:00,M20,HND-023,HND-003,HND,HND,31.6,30.9,OP036,正常
2024-05-30 18:33:00,M24,WLC-022,DUO-007,WLC,DUO,412.0,359.4,OP011,正常
2026-02-09 12:01:00,M06,VEN-025,DRH-029,VEN,DRH,157.9,160.2,OP020,物料未到位
2024-05-11 21:28:00,M14,TLM-013,BUM-023,TLM,BUM,108.1,118.8,OP036,正常
2026-03-18 18:11:00,M17,HND-014,BUM-026,HND,BUM,164.8,161.6,OP014,正常
2025-07-17 22:40:00,M12,CUP-023,CUP-018,CUP,CUP,38.6,44.5,OP029,正常
2024-07-05 10:04:00,M03,CUP-015,VEN-027,CUP,VEN,132.3,147.4,OP024,模具故障
2024-07-24 06:39:00,M17,HND-017,BUM-024,HND,BUM,132.9,114.3,OP001,工具缺失
2024-08-22 06:22:00,M16,HND-028,HND-020,HND,HND,44.2,51.8,OP031,正常
2026-04-25 20:32:00,M05,CUP-014,CUP-021,CUP,CUP,23.1,22.8,OP043,模具故障
2024-09-16 17:22:00,M21,BUM-021,BUM-010,BUM,BUM,40.0,49.9,OP014,工具缺失
2026-04-07 21:09:00,M24,WLC-015,TLP-008,WLC,TLP,183.3,212.3,OP023,正常
2025-02-28 03:04:00,M18,HND-015,BUM-028,HND,BUM,60.5,72.2,OP032,模具故障
2025-03-17 02:52:00,M29,LFR-004,LRB-001,LFR,LRB,146.4,153.7,OP048,模具故障
2024-04-27 08:47:00,M25,WLC-013,WLC-019,WLC,WLC,61.5,65.6,OP043,物料未到位
2024-10-12 03:16:00,M23,WLC-007,TLP-014,WLC,TLP,205.5,235.8,OP046,工具缺失
2024-11-20 07:59:00,M07,DRH-020,VEN-027,DRH,VEN,235.1,211.2,OP013,正常
2025-12-23 03:54:00,M26,LFR-003,LRB-012,LFR,LRB,259.0,247.6,OP034,模具故障
2024-06-25 14:46:00,M24,WLC-013,DUO-024,WLC,DUO,183.3,169.6,OP027,工具缺失
2025-12-16 02:46:00,M19,BUM-025,BUM-021,BUM,BUM,38.3,47.4,OP019,正常
2024-09-27 21:47:00,M29,LRB-001,LFR-005,LRB,LFR,384.5,336.0,OP046,物料未到位
2025-11-05 09:00:00,M03,VEN-024,VEN-026,VEN,VEN,20.6,21.8,OP008,物料未到位
2025-06-06 09:25:00,M18,BUM-028,BUM-021,BUM,BUM,37.5,46.1,OP019,模具故障
2025-05-06 10:08:00,M10,DRH-002,DRH-030,DRH,DRH,16.5,17.6,OP010,正常
2025-11-20 13:35:00,M21,BUM-008,BUM-027,BUM,BUM,26.9,24.6,OP022,模具故障
2025-09-22 02:07:00,M07,VEN-025,CUP-009,VEN,CUP,96.2,100.0,OP003,正常
2025-08-29 10:45:00,M16,TLM-001,HND-019,TLM,HND,115.2,137.9,OP008,模具故障
2024-05-30 06:20:00,M25,WLC-006,WLC-009,WLC,WLC,32.2,29.7,OP031,正常
2026-02-05 04:44:00,M09,VEN-023,DRH-009,VEN,DRH,193.6,223.3,OP039,工具缺失
2026-04-11 03:15:00,M07,CUP-003,DRH-009,CUP,DRH,225.6,218.7,OP025,正常
2024-09-08 19:45:00,M01,CUP-021,CUP-014,CUP,CUP,26.6,26.1,OP020,正常
2024-09-12 04:59:00,M15,BUM-005,BUM-017,BUM,BUM,23.3,27.9,OP018,物料未到位
2024-11-01 10:17:00,M24,DUO-005,DUO-003,DUO,DUO,51.8,48.8,OP033,工具缺失
2025-11-11 12:00:00,M21,TLM-020,HND-009,TLM,HND,117.5,111.1,OP005,正常
2024-08-14 17:13:00,M21,TLM-003,BUM-011,TLM,BUM,63.6,73.1,OP023,正常
2025-10-23 00:24:00,M17,TLM-025,HND-025,TLM,HND,175.1,198.1,OP034,工具缺失
2024-04-17 11:47:00,M05,DRH-007,VEN-025,DRH,VEN,223.6,259.5,OP013,工具缺失
2026-01-18 05:03:00,M29,LRB-021,LRB-012,LRB,LRB,87.9,83.7,OP026,正常
2024-11-03 13:34:00,M08,CUP-009,VEN-001,CUP,VEN,178.2,184.3,OP023,物料未到位
2026-03-12 11:20:00,M24,DUO-002,WLC-023,DUO,WLC,363.2,446.0,OP013,物料未到位
2024-07-19 14:49:00,M25,TLP-011,TLP-012,TLP,TLP,53.4,59.4,OP040,物料未到位
2026-03-19 08:48:00,M11,VEN-027,VEN-025,VEN,VEN,37.1,36.1,OP034,正常
2024-02-07 09:22:00,M28,LFR-018,LRB-018,LFR,LRB,193.1,233.2,OP014,物料未到位
2025-08-04 07:37:00,M08,DRH-002,DRH-013,DRH,DRH,26.0,26.3,OP026,工具缺失
2024-06-03 19:53:00,M19,HND-016,TLM-019,HND,TLM,180.3,179.8,OP038,模具故障
2025-05-15 00:27:00,M09,VEN-023,CUP-005,VEN,CUP,196.2,222.7,OP005,工具缺失
2026-03-24 18:15:00,M24,TLP-010,DUO-023,TLP,DUO,452.0,424.7,OP043,正常
2024-01-01 13:27:00,M15,BUM-027,BUM-011,BUM,BUM,24.9,22.0,OP040,物料未到位
2025-07-17 08:07:00,M10,CUP-018,DRH-011,CUP,DRH,73.8,65.5,OP005,正常
2025-02-22 02:58:00,M13,VEN-025,CUP-030,VEN,CUP,190.0,226.5,OP027,正常
2025-03-19 23:26:00,M22,HND-026,TLM-025,HND,TLM,72.7,86.7,OP016,正常
2024-09-15 06:08:00,M28,LRB-020,LFR-003,LRB,LFR,188.6,205.5,OP002,模具故障
2025-08-23 04:37:00,M26,LRB-018,LFR-006,LRB,LFR,415.2,457.4,OP037,正常
2025-03-04 16:52:00,M23,WLC-002,DUO-009,WLC,DUO,495.8,579.3,OP037,模具故障
2025-04-04 18:04:00,M24,WLC-010,WLC-004,WLC,WLC,87.6,96.9,OP002,物料未到位
2024-10-27 05:43:00,M05,CUP-025,DRH-028,CUP,DRH,222.2,245.2,OP006,工具缺失
2026-04-27 17:36:00,M26,LFR-022,LRB-007,LFR,LRB,523.8,501.1,OP028,物料未到位
