record_id,record_time,machine_id,sku,material_type,qty_produced,theoretical_weight_kg,actual_consumption_kg,waste_rate_pct,material_source,material_cost_yuan
MC-0000029,2024-04-30 16:00:00,M09,VEN-030,PA66,65,15.854,17.27,8.93,混料,412.19
MC-0000030,2024-10-12 15:00:00,M07,CUP-016,PA66,87,74.349,75.416,1.44,回料,1298.64
MC-0000031,2025-09-29 13:00:00,M10,DRH-022,POM,992,298.66,351.461,17.68,新料,11998.69
MC-0000032,2025-03-03 10:00:00,M08,DRH-003,PP-GF20,381,91.201,93.117,2.1,回料,1843.33
MC-0000033,2025-09-24 12:00:00,M03,VEN-021,PC/ABS,698,220.715,239.692,8.6,混料,3968.07
MC-0000034,2025-08-27 17:00:00,M08,VEN-029,TPE,410,67.737,72.753,7.41,混料,2297.92
MC-0000035,2025-11-30 16:00:00,M15,HND-020,PP-GF20,866,190.973,216.805,13.53,新料,4520.07
MC-0000036,2025-03-03 11:00:00,M29,LFR-015,PA66,524,444.999,480.578,8.0,回料,16758.63
MC-0000037,2024-01-27 11:00:00,M04,VEN-002,PP,623,105.622,119.123,12.78,新料,2473.46
MC-0000038,2025-06-14 17:00:00,M22,TLM-004,ABS,236,80.824,92.48,14.42,新料,1285.06
MC-0000039,2025-07-12 15:00:00,M14,HND-009,PA66,866,519.846,595.534,14.56,新料,19322.85
MC-0000040,2025-03-15 16:00:00,M09,DRH-009,ABS,172,106.314,108.665,2.21,新料,3597.34
MC-0000041,2024-10-15 14:00:00,M13,VEN-008,PP,688,515.394,563.97,9.43,新料,8589.33
MC-0000042,2026-03-21 11:00:00,M05,VEN-022,PP,849,347.427,380.544,9.53,新料,12320.48
MC-0000043,2025-12-22 09:00:00,M21,BUM-001,PC/ABS,660,356.419,386.116,8.33,新料,8614.43
MC-0000044,2024-11-02 08:00:00,M15,BUM-005,PA66,813,107.186,110.883,3.45,新料,2356.67
MC-0000045,2024-03-31 11:00:00,M24,TLP-013,PA66,912,765.578,820.985,7.24,新料,7630.7
MC-0000046,2026-02-19 12:00:00,M24,TLP-024,PA6,772,242.683,272.352,12.23,回料,2616.7
MC-0000047,2025-09-11 13:00:00,M02,CUP-023,PC/ABS,593,246.759,283.466,14.88,混料,9752.86
MC-0000048,2025-02-24 12:00:00,M04,VEN-027,PA66,754,570.35,644.044,12.92,新料,13305.29
MC-0000049,2025-01-06 14:00:00,M07,CUP-010,PA6,383,195.549,202.548,3.58,新料,3174.97
MC-0000050,2024-04-01 08:00:00,M02,VEN-018,PP,862,152.623,159.797,4.7,回料,2161.92
MC-0000051,2025-12-11 13:00:00,M03,VEN-006,POM,913,47.49,47.614,0.26,混料,1470.11
MC-0000052,2025-11-25 13:00:00,M25,TLP-014,ABS,85,63.106,68.54,8.61,新料,1628.48
MC-0000053,2024-04-12 09:00:00,M17,TLM-021,PA6,794,77.693,79.65,2.52,混料,926.83
MC-0000054,2024-04-06 10:00:00,M12,VEN-017,PC/ABS,606,94.438,95.294,0.91,新料,1435.62
MC-0000055,2025-08-12 16:00:00,M11,CUP-023,TPE,119,49.518,50.887,2.76,新料,902.17
MC-0000056,2025-04-26 12:00:00,M07,CUP-026,PP,511,369.326,432.559,17.12,新料,8273.58
MC-0000057,2025-11-05 08:00:00,M05,DRH-016,PA66,829,564.323,643.075,13.96,混料,10142.37
MC-0000058,2025-04-11 11:00:00,M09,DRH-012,PA66,676,537.459,589.183,9.62,新料,7774.32
MC-0000059,2024-05-27 13:00:00,M18,BUM-013,PA6,127,106.911,114.505,7.1,新料,2388.58
MC-0000060,2024-09-02 16:00:00,M28,LRB-013,PA66,811,545.721,578.429,5.99,新料,5891.77
MC-0000061,2025-04-02 11:00:00,M25,WLC-002,ABS,334,145.692,147.971,1.56,混料,3524.75
MC-0000062,2026-04-10 10:00:00,M27,LRB-005,PA66,199,150.981,153.542,1.7,混料,4255.05
MC-0000063,2025-03-18 14:00:00,M16,HND-015,PP-GF20,844,466.216,482.368,3.46,新料,10001.15
MC-0000064,2025-09-16 15:00:00,M09,VEN-011,TPE,237,95.301,98.473,3.33,混料,3349.44
MC-0000065,2025-08-25 10:00:00,M29,LRB-004,PP-GF20,262,42.341,45.616,7.73,新料,1568.03
MC-0000066,2025-06-25 15:00:00,M19,HND-024,PA6,557,471.704,529.706,12.3,混料,14674.74
MC-0000067,2025-08-01 11:00:00,M17,HND-024,ABS,712,602.969,615.273,2.04,新料,5447.13
MC-0000068,2025-05-29 13:00:00,M27,LRB-005,PC/ABS,935,709.383,724.59,2.14,回料,20587.29
MC-0000069,2026-03-02 10:00:00,M02,DRH-002,PP-GF20,400,274.062,297.228,8.45,混料,6651.03
MC-0000070,2024-11-21 14:00:00,M29,LFR-012,PA66,664,86.106,93.421,8.5,新料,3097.13
MC-0000071,2024-05-15 16:00:00,M05,CUP-021,PP-GF20,592,58.659,68.025,15.97,混料,865.95
MC-0000072,2026-04-02 15:00:00,M23,TLP-024,PC/ABS,174,54.698,58.854,7.6,新料,1817.94
MC-0000073,2025-02-25 11:00:00,M25,WLC-020,POM,286,24.686,26.577,7.66,新料,602.04
MC-0000074,2025-10-04 14:00:00,M11,DRH-002,PC/ABS,503,344.633,360.652,4.65,新料,8346.38
MC-0000075,2026-01-09 12:00:00,M02,DRH-018,PP,78,16.879,17.69,4.8,新料,377.48
MC-0000076,2025-04-17 13:00:00,M14,BUM-020,PA6,589,172.78,175.57,1.61,新料,1922.54
MC-0000077,2024-02-12 12:00:00,M08,DRH-026,PA66,94,75.829,78.608,3.66,新料,2231.4
MC-0000078,2025-06-10 11:00:00,M14,TLM-020,ABS,639,419.649,477.467,13.78,混料,4918.69
MC-0000079,2024-09-22 12:00:00,M27,LFR-006,PP-GF20,960,626.899,727.808,16.1,新料,15598.18
MC-0000080,2026-04-07 13:00:00,M16,BUM-013,POM,603,507.617,555.294,9.39,新料,10888.75
MC-0000081,2024-07-31 08:00:00,M23,DUO-012,TPE,331,189.489,190.825,0.71,新料,1996.69
MC-0000082,2024-05-31 15:00:00,M11,VEN-024,PC/ABS,213,85.321,99.589,16.72,回料,1668.33
MC-0000083,2025-04-01 13:00:00,M11,DRH-029,PP,166,87.747,88.887,1.3,混料,3061.5
MC-0000084,2025-07-11 13:00:00,M10,DRH-019,ABS,177,79.888,80.857,1.21,新料,2396.77
MC-0000085,2025-03-27 10:00:00,M23,TLP-005,POM,469,73.572,83.385,13.34,新料,716.64
MC-0000086,2025-07-17 12:00:00,M09,CUP-010,ABS,749,382.418,384.455,0.53,新料,7373.46
MC-0000087,2025-07-22 11:00:00,M14,HND-008,PC/ABS,839,215.178,244.144,13.46,混料,3026.48
MC-0000088,2024-12-03 10:00:00,M08,CUP-013,POM,490,53.801,60.189,11.87,回料,1100.48
MC-0000089,2026-02-12 16:00:00,M04,VEN-027,TPE,979,740.547,863.339,16.58,回料,17366.56
MC-0000090,2025-09-29 11:00:00,M24,DUO-002,PP-GF20,248,124.629,145.821,17.0,新料,4074.94
MC-0000091,2026-03-07 14:00:00,M14,TLM-017,ABS,486,18.021,20.391,13.15,新料,265.97
MC-0000092,2024-09-28 17:00:00,M26,LFR-008,PA66,526,439.221,498.476,13.49,回料,11587.31
MC-0000093,2026-03-21 13:00:00,M06,CUP-029,ABS,451,68.75,76.468,11.23,新料,1009.13
MC-0000094,2026-02-07 10:00:00,M26,LFR-020,PA66,784,45.625,49.163,7.75,新料,896.53
MC-0000095,2025-11-01 08:00:00,M22,TLM-020,PP-GF20,451,296.184,346.715,17.06,混料,8978.35
MC-0000096,2025-02-08 12:00:00,M01,VEN-028,TPE,636,491.048,538.826,9.73,混料,9659.74
MC-0000097,2024-10-12 08:00:00,M13,DRH-025,PC/ABS,343,10.21,10.727,5.06,回料,341.56
MC-0000098,2026-02-26 13:00:00,M20,TLM-028,PA6,781,223.551,254.972,14.06,新料,4775.89
MC-0000099,2024-12-23 15:00:00,M13,CUP-015,PC/ABS,942,239.46,281.829,17.69,新料,6734.35
MC-0000100,2024-01-28 14:00:00,M09,CUP-012,PP-GF20,321,243.906,269.104,10.33,回料,2372.41
MC-0000101,2024-10-17 17:00:00,M21,HND-028,PA66,871,677.243,775.139,14.46,新料,26425.81
MC-0000102,2025-11-18 08:00:00,M02,VEN-003,TPE,224,69.954,71.95,2.85,新料,1536.44
MC-0000103,2025-11-21 10:00:00,M09,CUP-030,ABS,931,221.321,255.218,15.32,新料,2637.44
MC-0000104,2024-04-14 10:00:00,M29,LRB-011,PA66,618,467.22,506.315,8.37,回料,10791.93
MC-0000105,2025-01-31 08:00:00,M28,LFR-010,POM,903,610.883,614.911,0.66,新料,5220.71
MC-0000106,2026-04-29 10:00:00,M17,BUM-002,PP,88,49.825,55.163,10.71,新料,1072.35
MC-0000107,2024-05-03 11:00:00,M07,DRH-005,PP,92,31.536,34.321,8.83,新料,961.47
MC-0000108,2026-01-18 08:00:00,M21,TLM-026,PP,697,543.242,638.587,17.55,新料,12464.75
MC-0000109,2024-10-17 11:00:00,M04,CUP-016,PA6,104,88.877,94.489,6.31,混料,3123.99
MC-0000110,2024-09-09 09:00:00,M22,TLM-016,PP-GF20,601,139.158,148.887,6.99,新料,3086.88
MC-0000111,2025-10-06 14:00:00,M23,WLC-009,ABS,93,34.484,37.81,9.65,混料,859.07
MC-0000112,2024-02-04 13:00:00,M02,CUP-002,ABS,317,276.783,300.156,8.44,新料,4889.93
MC-0000113,2025-10-01 10:00:00,M25,WLC-013,POM,202,169.007,196.342,16.17,回料,4678.3
MC-0000114,2025-01-11 14:00:00,M23,WLC-006,PA6,875,239.823,280.43,16.93,新料,3034.52
MC-0000115,2024-09-06 09:00:00,M06,DRH-013,PA6,622,302.776,310.038,2.4,新料,3183.33
MC-0000116,2024-02-12 09:00:00,M06,VEN-010,PC/ABS,580,355.334,399.438,12.41,新料,3558.55
MC-0000117,2024-03-13 08:00:00,M05,VEN-022,PC/ABS,373,152.639,167.487,9.73,回料,2734.91
MC-0000118,2026-02-20 12:00:00,M06,VEN-006,PC/ABS,500,26.008,29.41,13.08,新料,636.03
MC-0000119,2026-02-07 11:00:00,M12,DRH-020,PA66,890,537.37,548.994,2.16,回料,4517.5
MC-0000120,2024-09-20 09:00:00,M03,VEN-005,PP,812,449.543,507.886,12.98,回料,6808.25
MC-0000121,2024-07-12 10:00:00,M09,VEN-030,TPE,593,144.635,151.261,4.58,回料,3723.71
MC-0000122,2025-06-21 08:00:00,M11,VEN-023,POM,695,359.142,374.79,4.36,新料,9018.0
MC-0000123,2026-04-23 11:00:00,M09,DRH-017,PP-GF20,716,328.474,376.731,14.69,新料,7172.27
MC-0000124,2024-11-06 09:00:00,M01,CUP-029,PA6,864,131.708,141.666,7.56,混料,1490.26
MC-0000125,2025-12-13 13:00:00,M14,BUM-017,PP,73,40.933,41.755,2.01,混料,1110.83
MC-0000126,2025-11-22 17:00:00,M13,DRH-008,PC/ABS,656,164.528,182.076,10.67,新料,4010.83
MC-0000127,2024-06-18 15:00:00,M01,CUP-020,TPE,288,127.941,134.862,5.41,新料,3318.11
MC-0000128,2024-11-14 16:00:00,M05,DRH-026,PA6,97,78.25,82.356,5.25,新料,1583.7
MC-0000129,2024-05-28 09:00:00,M20,BUM-006,PA66,442,241.242,268.533,11.31,混料,6538.24
MC-0000130,2025-06-16 12:00:00,M13,DRH-005,POM,137,46.961,49.035,4.42,回料,523.52
MC-0000131,2024-05-15 12:00:00,M09,CUP-026,ABS,493,356.316,396.308,11.22,回料,3243.54
MC-0000132,2025-04-06 15:00:00,M28,LRB-012,POM,204,37.317,40.533,8.62,回料,340.85
MC-0000133,2024-04-18 10:00:00,M13,VEN-012,POM,971,638.683,687.859,7.7,回料,9065.23
MC-0000134,2024-05-02 17:00:00,M12,VEN-017,PP,143,22.285,24.215,8.66,新料,658.2
MC-0000135,2025-02-07 13:00:00,M05,DRH-021,ABS,896,325.407,347.254,6.71,新料,10394.61
MC-0000136,2024-07-30 14:00:00,M07,DRH-024,POM,865,137.919,152.851,10.83,混料,1433.47
MC-0000137,2024-02-21 13:00:00,M08,CUP-008,PC/ABS,387,238.409,260.515,9.27,新料,7558.48
MC-0000138,2025-12-19 14:00:00,M23,TLP-002,PA6,54,33.594,35.386,5.33,回料,334.87
MC-0000139,2025-03-02 16:00:00,M18,TLM-006,ABS,277,52.155,52.403,0.48,新料,1506.79
MC-0000140,2026-03-14 13:00:00,M21,HND-021,ABS,410,185.221,217.316,17.33,新料,7148.48
MC-0000141,2024-11-10 17:00:00,M28,LRB-013,TPE,777,522.843,530.439,1.45,回料,6704.92
MC-0000142,2025-10-17 10:00:00,M29,LFR-005,PP-GF20,767,134.855,157.33,16.67,新料,5479.6
MC-0000143,2024-12-08 17:00:00,M03,VEN-013,PA66,266,39.097,42.828,9.54,新料,951.58
MC-0000144,2024-05-08 14:00:00,M01,VEN-014,TPE,685,452.681,473.37,4.57,新料,6289.7
MC-0000145,2024-09-04 08:00:00,M19,BUM-017,PA6,95,53.27,59.437,11.58,新料,2051.07
MC-0000146,2026-01-08 12:00:00,M15,TLM-004,PA66,651,222.951,228.444,2.46,新料,4968.39
MC-0000147,2025-06-13 10:00:00,M21,BUM-011,PP,777,511.958,577.241,12.75,新料,12611.4
MC-0000148,2026-03-31 08:00:00,M12,VEN-017,ABS,947,147.58,157.329,6.61,新料,1957.38
MC-0000149,2025-02-24 10:00:00,M25,DUO-025,PC/ABS,71,49.268,49.387,0.24,新料,1289.12
MC-0000150,2025-03-02 15:00:00,M01,CUP-009,PP-GF20,368,171.44,176.525,2.97,新料,5873.5
MC-0000151,2025-06-28 17:00:00,M03,DRH-013,PA6,698,339.771,353.315,3.99,新料,9698.37
MC-0000152,2025-07-08 08:00:00,M11,CUP-009,TPE,686,319.586,331.895,3.85,回料,3554.93
MC-0000153,2025-03-30 16:00:00,M15,HND-006,PA6,821,554.48,600.388,8.28,回料,7519.19
MC-0000154,2026-01-06 14:00:00,M03,VEN-028,TPE,594,458.62,515.61,12.43,混料,9959.28
MC-0000155,2026-04-10 15:00:00,M11,CUP-005,POM,962,544.081,621.667,14.26,新料,6991.86
MC-0000156,2024-02-26 10:00:00,M16,TLM-016,PP-GF20,820,189.866,223.456,17.69,新料,2622.21
MC-0000157,2024-07-27 12:00:00,M01,DRH-018,TPE,160,34.624,38.683,11.72,新料,679.03
MC-0000158,2024-04-01 10:00:00,M11,VEN-021,PC/ABS,775,245.063,258.068,5.31,回料,3063.0
MC-0000159,2026-03-15 17:00:00,M18,BUM-028,PA66,130,48.485,48.708,0.46,混料,1375.3
MC-0000160,2024-05-09 09:00:00,M06,DRH-019,PA66,346,156.166,182.977,17.17,新料,5219.93
MC-0000161,2024-12-03 08:00:00,M12,DRH-018,PC/ABS,285,61.675,71.4,15.77,新料,743.07
MC-0000162,2025-01-12 14:00:00,M07,DRH-017,ABS,556,255.072,279.543,9.59,新料,8507.61
MC-0000163,2026-02-24 08:00:00,M13,DRH-020,PP-GF20,720,434.726,510.246,17.37,回料,13447.02
MC-0000164,2025-04-30 11:00:00,M25,WLC-012,PA66,272,67.967,69.548,2.33,回料,678.47
MC-0000165,2024-08-26 13:00:00,M10,CUP-019,TPE,961,691.693,701.624,1.44,混料,19467.56
MC-0000166,2025-04-24 11:00:00,M23,WLC-025,PA66,621,137.009,141.676,3.41,混料,1221.52
MC-0000167,2024-04-29 14:00:00,M14,BUM-014,TPE,951,687.728,690.638,0.42,新料,19853.2
MC-0000168,2024-07-08 11:00:00,M12,CUP-009,PP-GF20,116,54.041,61.389,13.6,混料,1614.96
MC-0000169,2026-03-19 16:00:00,M25,DUO-024,PC/ABS,650,161.283,167.608,3.92,新料,2018.52
MC-0000170,2025-12-06 13:00:00,M28,LRB-015,ABS,277,176.55,194.077,9.93,新料,5195.75
MC-0000171,2025-02-12 17:00:00,M10,CUP-015,POM,409,103.969,119.711,15.14,新料,2018.77
MC-0000172,2025-12-09 17:00:00,M06,DRH-017,TPE,494,226.628,240.535,6.14,新料,7046.86
MC-0000173,2026-04-23 13:00:00,M27,LRB-003,PP,128,60.159,61.609,2.41,回料,1194.52
MC-0000174,2025-04-06 13:00:00,M28,LFR-011,PP,772,507.233,578.505,14.05,新料,16547.88
MC-0000175,2025-12-25 08:00:00,M16,HND-026,PA66,429,82.365,93.911,14.02,回料,3185.89
MC-0000176,2024-01-28 11:00:00,M13,CUP-024,PA6,329,44.189,46.73,5.75,新料,745.59
MC-0000177,2024-03-02 11:00:00,M12,CUP-014,PP,245,180.733,189.258,4.72,回料,3660.68
MC-0000178,2024-12-20 15:00:00,M06,VEN-016,TPE,138,85.099,90.209,6.0,新料,2264.88
MC-0000179,2025-06-08 12:00:00,M04,DRH-019,PC/ABS,69,31.143,34.936,12.18,混料,1109.93
MC-0000180,2024-02-12 08:00:00,M23,TLP-025,TPE,166,30.828,31.749,2.99,混料,937.36
MC-0000181,2026-03-24 10:00:00,M12,CUP-015,PP,564,143.371,165.725,15.59,新料,2899.8
MC-0000182,2025-07-08 17:00:00,M27,LFR-012,PC/ABS,682,88.44,96.788,9.44,回料,2073.23
MC-0000183,2025-01-10 08:00:00,M08,DRH-001,TPE,229,181.95,206.7,13.6,混料,4907.34
MC-0000184,2024-08-21 08:00:00,M01,VEN-009,POM,770,470.229,505.009,7.4,新料,10399.47
MC-0000185,2026-02-01 11:00:00,M21,HND-009,PA6,754,452.614,478.805,5.79,回料,7709.79
MC-0000186,2026-01-22 16:00:00,M16,TLM-027,PC/ABS,758,81.743,86.912,6.32,回料,957.26
MC-0000187,2025-01-13 08:00:00,M29,LRB-001,POM,69,5.7,6.26,9.82,新料,99.33
MC-0000188,2024-03-08 16:00:00,M24,WLC-020,POM,532,45.919,51.447,12.04,混料,641.21
MC-0000189,2025-08-10 12:00:00,M08,CUP-027,PP,605,464.683,538.125,15.8,新料,6333.87
MC-0000190,2025-01-25 12:00:00,M11,DRH-020,PP-GF20,823,496.916,511.609,2.96,回料,5296.65
MC-0000191,2025-06-09 13:00:00,M21,BUM-008,PC/ABS,960,212.295,246.573,16.15,回料,4513.96
MC-0000192,2025-11-14 15:00:00,M27,LRB-016,PA6,843,157.247,161.126,2.47,新料,2539.02
MC-0000193,2024-06-06 16:00:00,M25,TLP-002,PC/ABS,118,73.41,78.463,6.88,新料,2335.0
MC-0000194,2025-11-02 13:00:00,M29,LFR-013,ABS,674,413.616,445.094,7.61,混料,6765.18
MC-0000195,2025-03-08 14:00:00,M27,LRB-007,TPE,857,406.929,415.169,2.02,新料,12511.73
MC-0000196,2024-08-13 11:00:00,M09,VEN-006,ABS,93,4.837,5.468,13.05,新料,152.09
MC-0000197,2025-03-28 13:00:00,M07,DRH-025,PA6,458,13.633,16.057,17.78,混料,222.22
MC-0000198,2025-12-14 15:00:00,M14,HND-015,PA6,168,92.801,106.823,15.11,新料,1694.91
MC-0000199,2024-01-25 15:00:00,M21,HND-026,PP,439,84.284,84.758,0.56,新料,2188.46
MC-0000200,2026-02-08 17:00:00,M06,VEN-002,PA6,361,61.203,64.019,4.6,新料,1060.2
MC-0000201,2024-05-30 08:00:00,M05,DRH-021,TPE,688,249.866,277.669,11.13,混料,7553.19
MC-0000202,2026-03-26 16:00:00,M09,CUP-027,PP-GF20,524,402.469,456.406,13.4,回料,15900.47
MC-0000203,2024-02-12 14:00:00,M17,HND-013,PA66,758,124.528,140.296,12.66,新料,1775.27
MC-0000204,2024-10-22 14:00:00,M20,TLM-010,ABS,795,369.629,420.931,13.88,新料,7560.8
MC-0000205,2025-10-24 12:00:00,M06,DRH-002,PP-GF20,696,476.869,532.138,11.59,回料,5188.97
MC-0000206,2024-09-02 10:00:00,M28,LFR-016,TPE,248,194.288,209.526,7.84,新料,6485.32
MC-0000207,2026-02-28 13:00:00,M10,VEN-013,POM,603,88.63,91.7,3.46,新料,2527.5
MC-0000208,2024-01-08 12:00:00,M20,TLM-006,POM,364,68.535,72.042,5.12,新料,1848.12
MC-0000209,2024-04-26 09:00:00,M27,LFR-009,PP,95,59.395,61.649,3.79,混料,962.16
MC-0000210,2025-01-22 16:00:00,M21,TLM-020,PA6,852,559.532,575.12,2.79,回料,7631.37
MC-0000211,2026-03-26 11:00:00,M19,BUM-006,PA6,141,76.957,84.571,9.89,回料,1323.37
MC-0000212,2026-01-21 14:00:00,M01,DRH-024,ABS,278,44.325,46.478,4.86,新料,1423.44
MC-0000213,2026-03-16 11:00:00,M15,BUM-002,POM,851,481.829,560.652,16.36,新料,18077.97
MC-0000214,2025-01-27 17:00:00,M28,LFR-012,PA6,815,105.687,124.581,17.88,新料,2537.67
MC-0000215,2024-08-18 17:00:00,M01,DRH-010,PP-GF20,236,138.847,162.839,17.28,新料,2804.85
MC-0000216,2024-05-03 12:00:00,M23,WLC-021,PP-GF20,797,73.225,81.64,11.49,回料,1771.82
MC-0000217,2026-02-22 09:00:00,M29,LRB-020,ABS,887,38.828,41.651,7.27,新料,757.18
MC-0000218,2025-11-04 13:00:00,M27,LFR-022,POM,229,35.64,39.418,10.6,新料,636.8
MC-0000219,2026-01-17 14:00:00,M01,DRH-021,PP-GF20,125,45.397,51.496,13.43,混料,931.08
MC-0000220,2026-04-27 12:00:00,M08,CUP-017,PP,514,14.983,16.885,12.69,新料,319.23
MC-0000221,2024-10-04 17:00:00,M21,HND-011,PA6,98,51.853,57.4,10.7,混料,502.86
MC-0000222,2025-04-14 16:00:00,M18,TLM-026,PA66,114,88.852,90.049,1.35,回料,2161.62
MC-0000223,2026-01-31 15:00:00,M11,DRH-008,ABS,962,241.274,276.183,14.47,混料,8128.27
MC-0000224,2024-02-01 16:00:00,M03,VEN-029,PC/ABS,556,91.858,104.54,13.81,回料,3642.85
MC-0000225,2026-03-24 17:00:00,M07,DRH-023,PA6,654,385.647,394.516,2.3,新料,13021.62
MC-0000226,2025-03-18 08:00:00,M26,LFR-009,POM,594,371.375,383.36,3.23,混料,5342.89
MC-0000227,2024-01-23 12:00:00,M14,HND-004,PA6,301,126.337,146.277,15.78,新料,1784.39
MC-0000228,2024-05-31 10:00:00,M04,DRH-014,PP-GF20,954,668.182,785.52,17.56,新料,7079.13
MC-0000229,2024-11-07 17:00:00,M18,TLM-012,PA66,484,245.721,285.49,16.18,新料,5915.38
MC-0000230,2025-09-15 15:00:00,M29,LFR-011,POM,478,314.064,339.35,8.05,回料,5659.06
MC-0000231,2025-01-10 15:00:00,M27,LFR-016,TPE,188,147.283,164.832,11.92,新料,3857.23
MC-0000232,2024-09-21 14:00:00,M08,VEN-001,TPE,335,117.041,123.462,5.49,新料,4153.29
MC-0000233,2025-06-19 09:00:00,M03,CUP-024,TPE,346,46.472,48.059,3.41,新料,975.72
MC-0000234,2025-07-13 08:00:00,M21,HND-012,PC/ABS,635,76.262,83.7,9.75,新料,913.02
MC-0000235,2025-10-31 13:00:00,M02,DRH-028,PP-GF20,490,403.205,427.892,6.12,回料,3495.46
MC-0000236,2026-04-29 14:00:00,M03,CUP-030,POM,623,148.102,151.138,2.05,新料,4086.56
MC-0000237,2026-03-18 13:00:00,M08,VEN-015,PP-GF20,730,278.128,326.203,17.29,回料,5097.88
MC-0000238,2025-03-07 13:00:00,M27,LRB-007,PA6,434,206.076,227.899,10.59,回料,5199.3
MC-0000239,2025-12-11 08:00:00,M22,HND-014,PP-GF20,585,95.564,106.289,11.22,混料,1545.68
MC-0000240,2024-11-20 09:00:00,M22,HND-012,PC/ABS,457,54.885,64.369,17.28,新料,987.56
MC-0000241,2025-12-05 17:00:00,M19,BUM-004,PC/ABS,371,316.06,318.44,0.75,新料,10217.74
MC-0000242,2025-07-26 15:00:00,M01,VEN-015,PA66,363,138.302,148.426,7.32,新料,2471.23
MC-0000243,2025-09-13 14:00:00,M08,CUP-013,PP-GF20,68,7.466,8.16,9.3,新料,128.66
MC-0000244,2024-08-02 17:00:00,M15,TLM-009,POM,254,169.948,190.407,12.04,新料,5654.31
MC-0000245,2024-02-07 14:00:00,M23,WLC-001,PP,569,113.932,117.117,2.8,新料,3668.48
MC-0000246,2024-10-04 16:00:00,M20,HND-008,PA6,707,181.324,182.67,0.74,回料,3699.39
MC-0000247,2025-11-20 13:00:00,M04,VEN-020,PA66,450,356.941,399.089,11.81,新料,7310.54
MC-0000248,2024-05-22 12:00:00,M24,DUO-023,PP,70,51.263,51.27,0.01,新料,1325.24
MC-0000249,2026-01-06 09:00:00,M08,VEN-028,TPE,356,274.863,310.964,13.13,新料,4242.55
MC-0000250,2025-02-11 11:00:00,M23,DUO-003,PA66,768,622.786,688.036,10.48,新料,19612.92
